branch_record_id,branch,branch_head,current_state,stale_reason,recommended_disposition
T1D09-BR-001,agent/add-founder-review-agent-package-v1.0.0,0350730469a9960632270a480347f46c9a86ef56,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-002,agent/install-founder-review-agents-v1.0.0,57210494c1e82e60efd4c329ebf34fda236972d8,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-033,codex/cgp-006-wave-1-activation-evidence-planning-v1,f94c26188e8d35c413b366135df12057b58c2d7d,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-056,codex/ci-egress-runner-verification-20260712,d93ed30b3650118016ca17fc24754b743ba97dcb,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-069,codex/core-navigation-visual-system-pia-founder-approved-v1,40ad3ae6c5961bc81da4a98c21025215033c15bd,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-074,codex/facility-pia-founder-decisions-and-structured-review-v1,56b0a88722d983e05baec0d3b1ea5b7b88c24001,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-075,codex/facility-pia-founder-decisions-v1,de7b0166a440673d023160ed7c3af214d49cd40f,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-076,codex/facility-pia-r2-compliant-structured-review-v1,5e549056ee25fd1992846bbd6fedaba4329ab668,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-077,codex/facility-pia-valid-fresh-segregated-review-v1,1741ab394e4b23c5ec85a71483d90ea1d95b6863,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-078,codex/facility-tenant-organizational-structure-pia-v1,a5cf78295ad43cde7f73e383b3d5e98a11000382,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-079,codex/founder-review-phase1-operating-model-v1,6565c87f2d2a1499ecd7f6efd83fbbbb67aeb29b,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-080,codex/founder-review-phase1-pilot-a-mode-b-attempt-03-v1,34c427c0196d3f8273ac3ea88ad05a2bbe5a2c29,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-081,codex/founder-review-phase1-pilot-a-mode-b-attempt-04-founder-disposition-v1,0255271b704cf630b871683128659d2d66e42f50,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-082,codex/founder-review-phase1-pilot-a-mode-b-attempt-04-v1,ebd6a1ed18a2231b450e7bbfb58035198bfcb93c,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-084,codex/item-03-founder-decisions-strengthened-candidate-v1,da10e2f729bc5d98d6087ef846e3e6449557898f,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-085,codex/item-04-founder-approved-v0-3-documentary-integration-v1,0eba16c8bf9670933a714634c6941446fa4fbcd2,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-086,codex/item-05-core-navigation-shell-v0-4-exact-byte-integration-v1,458b5156859492773d014095e1c698a5df1da650,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-087,codex/item-05-core-navigation-shell-v0-4-fresh-review-blocked-receipt-v1,f2a0be100bf2f400388ccc36d3aa5facc9367a3e,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-088,codex/item-06-tcsn-pia-canonical-remediation-fresh-review-v1,108e015cfc3cfdb6b07f40023b8e98c33f183f4d,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-089,codex/item-06-tcsn-pia-fresh-structured-review-v1,9e1041e64d5aa20282ef093fc520f84feb02c3f3,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-093,codex/remaining-pia-program-v1,05eaa53be3e5e6aa00814eaeee49f145b3bc6c49,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-096,codex/stage2-f0001-execution-baseline,0be6172a28b75238c5facabf91d43ed09aaf0d54,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-097,codex/stage2a-execution-foundation-remediation,56dc68ce761b84800caa60997af7fb62ab34f82d,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
T1D09-BR-101,export/governance-implementation-atlases-2026-07-25,c5f433c7adf87feedcda29e6cf2a4532c62a7e5d,UNMERGED_BRANCH,Remote branch is not an ancestor of protected branch and has no open PR in current open-PR list.,PRESERVE_AS_EVIDENCE_ONLY
