branch,remote_ref,head,base_branch,ancestor_of_protected,current_state
agent/add-founder-review-agent-package-v1.0.0,origin/agent/add-founder-review-agent-package-v1.0.0,0350730469a9960632270a480347f46c9a86ef56,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
agent/install-founder-review-agents-v1.0.0,origin/agent/install-founder-review-agents-v1.0.0,57210494c1e82e60efd4c329ebf34fda236972d8,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
chatgpt/cgp-006-stripe-financial-provider-runtime-evidence-v1,origin/chatgpt/cgp-006-stripe-financial-provider-runtime-evidence-v1,6b8bdeb0657a397689f85de63200425ebca35fae,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
ci/honest-test-execution,origin/ci/honest-test-execution,fbad5ed597e87434be0732141a9d01c7626a92b4,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/backend-runtime-dev-dependency-split-v1,origin/codex/backend-runtime-dev-dependency-split-v1,819708aefc2187d5556c06184c4cb688a189e045,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-001-repository-integration-receipt-metadata-v1,origin/codex/cgp-001-repository-integration-receipt-metadata-v1,5959362c43a4dba9af44b3930138b8374ae923f2,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-001-repository-integration-receipt-v1,origin/codex/cgp-001-repository-integration-receipt-v1,3c9ffbeee874ef22f95f05b682a5340e0da79ecf,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-002-repository-integration-metadata-v1,origin/codex/cgp-002-repository-integration-metadata-v1,ee6871d8fb9aef1c7a2774d647cc0c244651d7d1,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-002-repository-integration-receipt-v1,origin/codex/cgp-002-repository-integration-receipt-v1,49a5c2ab0e47d73c331b4ab689023705e6ad8a75,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-003-repository-integration-metadata-v1,origin/codex/cgp-003-repository-integration-metadata-v1,d838541075970a9f5f7f30e4121f44000457bce2,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-003-repository-integration-receipt-v1,origin/codex/cgp-003-repository-integration-receipt-v1,24a17778cc4bc9c062d0241af2828fc3fc3c08d3,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-004-repository-integration-metadata-v1,origin/codex/cgp-004-repository-integration-metadata-v1,7912a591d4562a7215d863b28ac5bf3775a080ac,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-004-repository-integration-receipt-v1,origin/codex/cgp-004-repository-integration-receipt-v1,ebbab60b82afdbd481b3d7b0ab801e4a6c39c282,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-005-repository-integration-metadata-v1,origin/codex/cgp-005-repository-integration-metadata-v1,23630874a6db053e75452f49446236143078d35e,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-005-repository-integration-receipt-v1,origin/codex/cgp-005-repository-integration-receipt-v1,293d73220e85efc724d116912d70a6b3965c8251,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-classification-custody-receipt,origin/codex/cgp-006-classification-custody-receipt,7586e5158ef02dfe043bd304ed88c6acda1c08c1,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-classification-metadata-reconciliation,origin/codex/cgp-006-classification-metadata-reconciliation,6db3800c7b5ab503e6a46becb13f6eab3586d2e3,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-document-classification-gate-v1,origin/codex/cgp-006-document-classification-gate-v1,975d606c569e999c7598ad1cc5ee26f0acc20a32,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-founder-approved-solo-founder-determination-accession-v1,origin/codex/cgp-006-founder-approved-solo-founder-determination-accession-v1,7c276bd5db37681e7d7cca40e0ca7606ff58a996,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-founder-approved-solo-founder-determination-custody-v1,origin/codex/cgp-006-founder-approved-solo-founder-determination-custody-v1,d48feae60f8028d6f2b53aa9004ab57e7004536b,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-iwp-0002-guardian-minor-custody-closure-v1,origin/codex/cgp-006-iwp-0002-guardian-minor-custody-closure-v1,2ec0fc966301f6f85c3fabc6d1841d8498ceb20e,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-iwp-0002-guardian-minor-safeguarding-v1-1,origin/codex/cgp-006-iwp-0002-guardian-minor-safeguarding-v1-1,74f79bc7e9452e593247aff7624c1668649da02b,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
