source_id,exact_title,artifact_class,version,repository_path,git_blob,source_commit,sha256,byte_length,lifecycle_state,authority_state,relevant_section,predecessor,successor,current_or_historical_status,unresolved_conflict
SRC-0004,MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.json,787244b39e79c28715dc14c21e1f436fc69726f9,1eb384d80daa700ba2e71ee42872cc9bba926332,6ad000d6da464bb6c50b4b88dc467c8418203910c8150ff921e821dcd679f6ef,20777,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0005,Master AI Founder Decision Register V2.0,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.md,c8037a4aacb84742521ff598888a25819d8f1a1a,1eb384d80daa700ba2e71ee42872cc9bba926332,d414acd661b2cf1eb22662331b12c795f89b2ff012b42423589ad953907c4e7d,11477,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0017,MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_FINAL_LOCK_MANIFEST,MANIFEST_OR_CHECKSUM_LEDGER,V2.0,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_FINAL_LOCK_MANIFEST.json,312446467960b27fa0dae25f33d73d1af6c265d0,1eb384d80daa700ba2e71ee42872cc9bba926332,81e10594cae0831f3c4e31c35271b23034132602a70b09009bc719507b1bb8a6,1488,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0018,Master External Architecture and Adapter Model V2.0 Final Lock Report,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_FINAL_LOCK_REPORT.md,368148be0bf33e0223dbbf929fcf82693a80b777,1eb384d80daa700ba2e71ee42872cc9bba926332,05a6805641909f67fa721890baee9682a62b93ad55b41c24602e52ca93a7d672,1848,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0024,Master Horse Transfer and Continuity Policy Final Lock Report,CONSTITUTIONAL_GOVERNANCE_SOURCE,UNSPECIFIED_VERSION,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_FINAL_LOCK_REPORT.md,6a81c0f1097d8bf161c7261c0b60eed28b83d714,1eb384d80daa700ba2e71ee42872cc9bba926332,1681c6fc298c1c2ada88cf7538fee50fd4bafa2b1edbd87f1246435ce89026c7,1923,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0029,"Master Identity, Account, and Actor Model V2.0 Final Lock Decision",CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_DECISION.md,4fdd27d91f2cf671bae0bea683a04dc96c0900ff,1eb384d80daa700ba2e71ee42872cc9bba926332,5634f75dbefe32616f8908b9a731187c5c165a43b4de97f14d6cbd8449cf0b46,929,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0030,"Master Identity, Account, and Actor Model V2.0 Final Lock Report",CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_REPORT.md,fe7e7bf6530505a4c7bd1ba9df65e0a2d739c3a0,1eb384d80daa700ba2e71ee42872cc9bba926332,f2f9a3ad2b660dea27170db63b81c11decb8aeaeb8809bf0d1de234dd747a0b9,1673,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0031,"Master Identity, Account, and Actor Model V2.0 Lock Manifest",MANIFEST_OR_CHECKSUM_LEDGER,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_LOCK_MANIFEST.md,d404a4cc4cd6b4bd7514c4ad04fae09e853d5adb,1eb384d80daa700ba2e71ee42872cc9bba926332,0ca39f803324efa66803d0c5f041489adf522ac013bbfd431e9f398973574920,5774,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0032,Identity V2.0 Lock Verification Matrix,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_LOCK_VERIFICATION_MATRIX.md,5a543055ad5b90c7c31d1d33afea24147fbed445,1eb384d80daa700ba2e71ee42872cc9bba926332,0238a69d0e4b731d8066dce7c2fb0afaed275a19bfadf5bb5fbf24818012353e,1198,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0049,MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_LOCK_MANIFEST,MANIFEST_OR_CHECKSUM_LEDGER,V2.0,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_LOCK_MANIFEST.json,9b6cf5f1a4bdd184c17c52cee05d8b5eac9a0158,1eb384d80daa700ba2e71ee42872cc9bba926332,18a2b79d2ca50800f0738093fc0c1c6f5c57e1e9b0f80059dbbaa91cd626f772,3339,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
