requirement_id,section_number,section_title,evidence_rule,mandatory_validation,closure_criterion,prohibited_overclaim
T1D10-REQ-001,1,Document control,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-002,2,Authority boundary,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-003,3,Audit objectives,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-004,4,Full portfolio audit,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-005,5,Bounded-scope audit,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-006,6,Audit scope,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-007,7,Audit exclusions,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-008,8,Evidence rules,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-009,9,Source-authentication rules,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-010,10,Exact-byte rules,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-011,11,Sampling rules,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
