determination,meaning,authority_effect
COMPLETE,All in-scope audit requirements are satisfied with evidence.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
COMPLETE_WITH_RETAINED_RISKS,Complete within scope while retained risks remain visible.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
COMPLETE_WITH_CERTIFIED_EXCEPTIONS,Complete with explicit certified exceptions.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
COMPLETE_FOR_BOUNDED_SCOPE_ONLY,Only the named bounded scope is complete.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
PARTIALLY_COMPLETE,Some required evidence or review remains open.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
ACCEPTABLE_FOR_CONTROLLED_CONTINUATION,Sufficient for a bounded next step but not full closure.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
BLOCKED,A required gate failed or required evidence is unavailable.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
NOT_ASSESSED,The scope did not assess this state.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
SUPERSEDED,A successor audit controls.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
REOPENED,Prior closure reopened by trigger.,NO_AUTHORITY_EFFECT_WITHOUT_FOUNDER_RATIFICATION
