source_id,repository_path,title,source_disposition,authority_state,sha256,byte_length,git_blob,canonical_representation,controlling_version,implementation_use,duplicate_cluster_id,content_differs_from_canonical,founder_disposition_required
SRC-RR2-00001,docs/AI_CODING_PROMPTS.md,AI_CODING_PROMPTS.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,0aedc603f1282a216b173c044fb15de0b3b688fc5ae3a42cd54d0f8188884383,1885,8379c91a572cf65a8a35c34805ab8ca33b841bf3,docs/AI_CODING_PROMPTS.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00002,docs/API_CONTRACTS.md,API_CONTRACTS.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,9b3ab185502813ac12d5f14bc0c22a08fca5a02ec182c8549e4891ee2a223f23,3095,a3009f0b4ecc27aa19219f00f42e5130ff4677da,docs/API_CONTRACTS.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00003,docs/API_VERSIONING.md,API_VERSIONING.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,9514986f575e9246deada22dbf25433d8b9e1421719a5626dbb645a71f287f91,547,69b540aeb7d2adb3bd35a54c77e3ce3ed1a073e6,docs/API_VERSIONING.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00004,docs/APP_STORE_PRODUCTION_READINESS.md,App Store Production Readiness,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,65f4e7bcc521405a21c9d40256e30226dbb25a3d8a4e1b6f901dbcf682e4e9e6,9114,bd1c092621d99e0cb251d0432465cbdd23d8b15e,docs/APP_STORE_PRODUCTION_READINESS.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00005,docs/ARCHITECTURE.md,ARCHITECTURE.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,bc31ec7882aa7c6c2ba7b0a15abc0b10365ed410d18cd9f35ac3c89b0992741c,5224,2275f837b166873539cca84af671bdbfd42fc430,docs/ARCHITECTURE.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00006,docs/AUDIT_LOGGING.md,Audit Logging (Phase 5),authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,b0341f8b2494e72dcf6db2c1dfc900dd136266a188bfceaaa35021649ea75c37,7292,ba653eb822e2c391c2549b8e1d5697fab9c24464,docs/AUDIT_LOGGING.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00007,docs/BILLING_REFERENCE.md,BILLING_REFERENCE.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,0d48ed3292ced674d4ab95c25c3e26d825e0e6981b81eebd359e6896a8f0e283,8048,c7a658943238ce7fee2c3115aefd228e12ff2108,docs/BILLING_REFERENCE.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00008,docs/BN20_BN12_LAUNCH_CLOSURE.md,BN20 / BN12 Launch Closure,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,a05cabf938783362900f08c521b21c1022485c7da5abfb09a5b9cf01ff39f858,3192,8cded6613fad33f320672a09cdfeaded9cb329c3,docs/BN20_BN12_LAUNCH_CLOSURE.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00009,docs/BN21_FIRST_CLIENT_PILOT_GO_NO_GO.md,BN21 First-Client Pilot Go/No-Go,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,45e26cb3b49cf60e3d7d25c96f3bd091158216795ae6ef40cd754842c4d0f2b8,2474,ff96d09ddd8c812c1c54fc626dc13db0fbf2c839,docs/BN21_FIRST_CLIENT_PILOT_GO_NO_GO.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00010,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,BN22A Capacitor Native Readiness + Shell Integration,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,28e3defb9cc517635acb6075f7e85f5ae0e3ef65fb8abceb6f387cf67a484ac1,3522,b79ea6dd2d83d2333d9ce342f6a48786acd2b08c,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00011,docs/BRAND_AND_LOGO_GUIDE.md,BRAND_AND_LOGO_GUIDE.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,0133c6455ad14d3f5e01569f6f3471e9e7e1f4509e3936e237fb1da43f347a8d,6416,6ad55c55c3cee2062e002f2806afadb8456f9900,docs/BRAND_AND_LOGO_GUIDE.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00012,docs/BUILD_NEXT_12_CURRENT_INPUTS_STATUS.md,Build-Next-12 Current Inputs Status,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,cbab7ad6dc1d0124fa0b5f97a3389163d1b7f7593be6a255cc958a575eef7f99,3915,b01563fe8daf902b292e91a300a22f1922daf08a,docs/BUILD_NEXT_12_CURRENT_INPUTS_STATUS.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00013,docs/BUILD_NEXT_12_ROLE_READINESS_CHECKLIST.md,Build-Next-12 Role Account Readiness Checklist,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,b387cb25daaa03866a46384bef1ce52cf1e2ca0772d77a3765fd20aa50d375a4,3315,fd7f93013a55a73975a2efd5e41570362549affd,docs/BUILD_NEXT_12_ROLE_READINESS_CHECKLIST.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00014,docs/CARE_WORKFLOW_STRENGTHENING.md,Care Workflow Strengthening (Phase 6),authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,ab9034a378db744ececec2c577b13045a7141a67dc57ddd0187b174de6e3e93d,10535,0a7e56f1c3a774aac48a647061791b2ef1d43a69,docs/CARE_WORKFLOW_STRENGTHENING.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00015,docs/DATA_MODEL.md,DATA_MODEL.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,2e6c1a4ec0a0693474d622b3c82a3a1792fa303ad02cb9960e4011c29242c6d0,8201,88a603bdc1f922c6d9760b4250a9e24d9d44b5b2,docs/DATA_MODEL.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00016,docs/DECISION_LOG.md,DECISION_LOG.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,95318021bfe9959a487a3797bf5ebd0d56cd59a401d225b352f51a61e575601b,8902,dd234baf004228bcda2b24ca183b0c0d179b3e3e,docs/DECISION_LOG.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00017,docs/DEPENDENCY_AUDIT.md,DEPENDENCY_AUDIT.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,d742afc388a7bdf98d428f94f910b9e7cf508e82e6608d676700db2161449654,3414,c125c5e429ea1bd163c330742fc0ef5bd492138e,docs/DEPENDENCY_AUDIT.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00018,docs/DESIGN_TOKENS.md,DESIGN_TOKENS.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,531b10bffccf98181cc32664a2b995ca9e8abea43002f3ba1dfd7d262d8ce636,3445,e967f9c5884b4870f3f9a09ca3acb3e18ed71d25,docs/DESIGN_TOKENS.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00019,docs/EMERGENT_START_PROMPT.md,EMERGENT_START_PROMPT.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,8912d19774b5ac8cae96cc72a805c82d05cf3bda6512ad599c147e6c51fc38d4,1186,74229e97c30328262b0c1d55d45ad0d2c96643d9,docs/EMERGENT_START_PROMPT.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00020,docs/EMERGENT_ZIP_INTEGRATION.md,Emergent ZIP Integration,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,267d50641209614dc638352a9e7fcf04526bff8c1d463be9a7a75fc66e3dfdef,3204,5b9ae06814e828ab7ad3b1f62e4aa44bc2744b6d,docs/EMERGENT_ZIP_INTEGRATION.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00021,docs/ENGINEERING_RULES.md,ENGINEERING_RULES.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,e19376b4c7d92f7c6696fff3b6eda8ca4ce2454dfe3efd7ea562ee362579c0e9,3409,380169d4efcba1eb87d75dcbdce5594340ed8923,docs/ENGINEERING_RULES.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00022,docs/FEATURE_BACKLOG_FOUNDATIONS.md,EquineSync Feature Backlog Foundations,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,168113ad73fd7c0374954f09fa9b00dba4b7df295b9b49288cdf02bf7ebd4a0f,14052,6f9d96be677212a33b99a6328b1e7b822e915bc5,docs/FEATURE_BACKLOG_FOUNDATIONS.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00023,docs/FEATURE_ROADMAP.md,FEATURE_ROADMAP.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,0c78e58fc48c53d93f2c893656c40e17f72da2c0d21b5e13d375154dc340d6ff,4755,95020d9afc2a2529b1210c1cd09076d17110f53b,docs/FEATURE_ROADMAP.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00024,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,Field Reliability Offline Matrix,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,ce61a028ae65adffa1ad32653b32bd98a360537fcae61306e60bb7131b447180,9390,b044dc2d0ffabab6391e6ee2310657e987909130,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00025,docs/FOUNDER_ACCEPTANCE_LEDGER.md,Founder Acceptance Ledger,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,63b3b989db520fe5543f16b88c9522ffca1559b89ccec74595db436556123d5c,3731,a321ce14512c1da21cf487a1eec254c9f64e4ef6,docs/FOUNDER_ACCEPTANCE_LEDGER.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00026,docs/INCIDENT_RESPONSE.md,INCIDENT_RESPONSE.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,49f5fc4e7932b0f3b562c91303e31c248e26a7b2ffa1e2fff1e2facc6b298377,778,f5130213bc75f9e7a4de3f725b16d35aa333b869,docs/INCIDENT_RESPONSE.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00027,docs/INITIAL_ADMIN_AND_DEMO_SETUP.md,Initial Admin Access + Client-Like Demo Account,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,df818af69b263ded22f6d2a5fc1dcbac518cd89b9054bed1750db8fa33a7ff2d,9051,3acba39f52af4025dca43d00bc5a2938e17cba62,docs/INITIAL_ADMIN_AND_DEMO_SETUP.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00028,docs/KNOWN_TECH_DEBT.md,KNOWN_TECH_DEBT.md,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,4d3fa72f9df669bb2cb1426a7927a6b4558e0d923ea2cbc2056c994f027b19f5,10124,6d643b64b49174469599be55f66979f706af39e7,docs/KNOWN_TECH_DEBT.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
SRC-RR2-00029,docs/LAUNCH_READINESS_AUDIT.md,EquineSync Launch Readiness Audit,authoritative current source,PROTECTED_REPOSITORY_BYTES_PRESENT,e1cd0425839b5ea25cfad525797f0961e63959ad9a51e20611a24002e105ba02,5035,e5b8220e4dc793672bc2cd8245a43d51e3522b23,docs/LAUNCH_READINESS_AUDIT.md,VERSION_NOT_DECLARED,safe for documentary source mapping only,NO_DUPLICATE_CLUSTER,NOT_APPLICABLE,NO
