record_id,record_type,severity,domain,source,source_path,description,affected_scope,affected_users,affected_artifacts,evidence,owner,steward,required_treatment,compensating_controls,related_RF,related_IWP,related_PIA,related_Code_Guide,related_PR,dependency,target_gate,due_date,expiry,review_trigger,current_status,closure_criterion,closure_authority,closure_evidence,closure_date,residual_risk,certification_or_waiver,successor_or_transfer_target,reopening_conditions
T1D06-REC-001,review observation,P2,CONSTITUTIONAL_GOVERNANCE_SOURCE,Canon Historical Provenance Exception Ledger,docs/canon/CANON_HISTORICAL_PROVENANCE_EXCEPTION_LEDGER.md,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/CANON_HISTORICAL_PROVENANCE_EXCEPTION_LEDGER.md,4e4c1cbc42539b4e721675f6f7c39f9ed1483389f2c38fa61e647836d7a686e0,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-002,review observation,P2,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-003,review observation,P2,ADOPTION_RECORD_OR_ADOPTED_SOURCE,C0_023_C0_035_LOCK_READINESS_FINDINGS,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_FINDINGS.json,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_FINDINGS.json,599b22f661bd5e1a8b3a5e5307a3cff166e1ea50a1c62eea7b9129606a2219ab,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-004,review observation,P2,ADOPTION_RECORD_OR_ADOPTED_SOURCE,C0_023_C0_035_LOCK_READINESS_RERUN_FINDINGS,docs/canon/adoptions/c0_023_c0_035_lock_readiness_rerun/C0_023_C0_035_LOCK_READINESS_RERUN_FINDINGS.json,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/adoptions/c0_023_c0_035_lock_readiness_rerun/C0_023_C0_035_LOCK_READINESS_RERUN_FINDINGS.json,f795963add61e89e0f1035216ea65eaf28330979223e07f0b47099b4bb8d7532,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-005,review observation,P2,ADOPTION_RECORD_OR_ADOPTED_SOURCE,Master Security Incident Response and Disclosure Model Adoption Record,docs/canon/adoptions/c0_batch_1/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_ADOPTION_RECORD.md,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/adoptions/c0_batch_1/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_ADOPTION_RECORD.md,92ca7148d0631dadbcf312d510a71a3f8ea893df50778c2b133107247caa42e1,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-006,review observation,P2,DRAFT_OR_CANDIDATE,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,docs/canon/candidates/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0.md,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/candidates/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0.md,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-007,governance gap,P2,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER RECORD GOVERNANCE GAP MATRIX,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0.md,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0.md,9f2b6f47234f0b4743416674c71040eba28274872ffbd71ce471024f30d152f8,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-008,governance gap,P2,CONSTITUTIONAL_GOVERNANCE_SOURCE,Master Record Governance Gap Matrix V2.0 Classification Report,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0_CLASSIFICATION_REPORT.md,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0_CLASSIFICATION_REPORT.md,7814db6664815a659bb04ca8866f28b1f7968ff7bd103b8cf47a7a18f266f852,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-009,review observation,P2,LOCK_RECORD,C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_CERTIFICATE,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_CERTIFICATE.json,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_CERTIFICATE.json,2366564065fa76a51f9ad83631a4b4e518dfc1a12dc80ae6dc384cbdff8d0ad5,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
T1D06-REC-010,review observation,P2,LOCK_RECORD,Master Security Incident Response and Disclosure Model Constitutional Lock Record,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_RECORD.md,Source row requires preservation until exact closure evidence and authority are verified.,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NOT_ASSESSED,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_RECORD.md,ff4537e3e322bc6ebcb4927b57365d1ef9e5bd972201192bc6940dc31db1cb31,UNASSIGNED_OWNER_REQUIRES_DOCUMENT_07_ROW,DOCUMENTARY_STEWARD_REQUIRED,REVIEW_AND_RECORD_EVIDENCE_BEFORE_CLOSURE,NONE_ACCEPTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DOCUMENT_04_AND_DOCUMENT_05_RECONCILIATION,FOUNDER_REVIEW,NOT_SET_BY_THIS_PACKAGE,NOT_SET_BY_THIS_PACKAGE,"Source conflict, expired exception, missing evidence, or authority claim.",RETAINED,"Exact evidence, reviewer validation, and closure authority.",Founder or expressly delegated authority.,NOT_PROVIDED_BY_THIS_PACKAGE,NONE,RETAINED,NONE_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,"Evidence loss, source conflict, expired waiver, or overclaim."
