label_1,label_2,evidence_id,evidence_kind,locator,integrity_or_status,sha256_or_reference,used_for
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-001,FROZEN_ZIP,/Users/rianray/Downloads/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip,PASS,91cdb1c24f13940814035036c2c76c7cec415945337edbf3778e2a77c4a140f6,Frozen review object
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-002,REPOSITORY_COMMIT,acb518ea5a160820e64681ff95a16b010fe1156c,LOCAL_PASS,git_object,Governance baseline
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-003,REPOSITORY_COMMIT,56dc68ce761b84800caa60997af7fb62ab34f82d,COORDINATOR_GITHUB_API_PASS_LOCAL_SINGLE_BRANCH_ABSENT,github_api,Stage 2A Founder closure
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-004,REPOSITORY_COMMIT,75c56ac67b0de694436c093fc2dc5ff5dffe4ff3,LOCAL_AND_REMOTE_BRANCH_PASS,git_object,Controlled-thread authorization and branch base
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT01,LANE_MANIFEST,lane_outputs/CMT-01/OUTPUT_MANIFEST.json,COMPLETED,36e605ffcbbf95e90ef639a9ea16a37a2c49e94214c3d20d7f9835b03d3ddd6f,Custody and authority dissent
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT02,LANE_MANIFEST,lane_outputs/CMT-02/OUTPUT_MANIFEST.json,COMPLETED,ebdee9eed382b38e833471c36896ec788a9aa4131df28b6e7742b9aa77b15480,Identity domain review
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT03,LANE_MANIFEST,lane_outputs/CMT-03/OUTPUT_MANIFEST.json,COMPLETED,a22d2175b59b64cd440838b2a5599735eda19334e8fe8597f49a3743a742694a,Relationships domain review
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT04,LANE_MANIFEST,lane_outputs/CMT-04/OUTPUT_MANIFEST.json,COMPLETED,244cb779b05ad39613231a6fd3c13c654bae9d60d57705be4e218915190bdbc2,Independent conformance
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT05,LANE_MANIFEST,lane_outputs/CMT-05/OUTPUT_MANIFEST.json,COMPLETED,7472a36313c9127a4c45a67f8d17ed5de5c612e9f4cf79c84ba9483124c9cb93,Blind adversarial challenge
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT06,LANE_MANIFEST,lane_outputs/CMT-06/OUTPUT_MANIFEST.json,COMPLETED,1d09ec680b9fef17f737176360ed002e0848d49738fc9b43e5aeafe59e1a1d34,Machine validation
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT07,LANE_MANIFEST,lane_outputs/CMT-07/OUTPUT_MANIFEST.json,COMPLETED,61b59fe79ffd562f136a9f4d4e4e52748f1ce7e014360f2b4431c410119d04d7,Documentary golden paths
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,E-CMT08,LANE_MANIFEST,lane_outputs/CMT-08/OUTPUT_MANIFEST.json,COMPLETED,final_package_validation_rehash,Segregated synthesis and proposed redlines
