record_type,record_id,severity,classification,recorded_status,authorization_state,candidate_iwp,source_register,custody_statement
GAP,CGP006-MAP-GAP-0001,P1_HIGH,DOCUMENTARY_CONTROL_ONLY,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,NONE,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0002,P1_HIGH,PARTIALLY_IMPLEMENTED,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0001,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0003,P1_HIGH,PARTIALLY_IMPLEMENTED,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0002,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0004,P1_HIGH,DEFERRED_TO_LATER_AUTHORIZED_STAGE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0008,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0005,P1_HIGH,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0004,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0006,P2_MEDIUM,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0005,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0007,P2_MEDIUM,DEFERRED_TO_LATER_AUTHORIZED_STAGE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0007,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0008,P3_LOW,BLOCKED_BY_MISSING_DEPENDENCY_OR_ENVIRONMENT,OPEN,NO_IMPLEMENTATION_AUTHORIZATION_REQUIRED_FOR_RECORD_ONLY,NONE,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0009,P2_MEDIUM,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0006,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0010,P2_MEDIUM,UNKNOWN_REQUIRES_FURTHER_EVIDENCE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0005,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
