mapping_id,source_type,source_id,source_title,source_status,implementation_authority,repository_requirement_domain,current_state_classification,evidence_classification,repository_evidence_paths,gap_ids,notes
PIA-MAP-0001,PIA_PORTFOLIO_POSITION,PIA-01,"Identity, Account, Actor, and Onboarding",UNDERLYING_ITEM_01_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,FALSE,"Identity, accounts, actor onboarding",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/routes/auth.py;backend/core/auth.py;backend/core/account_memberships.py;frontend/src/pages/Signup.jsx,CGP006-MAP-GAP-0001,Underlying Identity package located; current successor text remains pending fresh segregated review. Enrollment is contained here and is not a separate PIA.
PIA-MAP-0002,PIA_PORTFOLIO_POSITION,PIA-02,"Facility, Tenant, and Organizational Structure",NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,"Facility, tenant, and organization boundaries",PARTIALLY_IMPLEMENTED,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/core/tenancy.py;backend/routes/barns.py;backend/routes/admin_portal/facilities.py,CGP006-MAP-GAP-0002,"Canonical inputs located; Task B will produce a draft, not an approval."
PIA-MAP-0003,PIA_PORTFOLIO_POSITION,PIA-03,"Relationship, Authorization, and Permission",UNDERLYING_COMPONENT_A_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,FALSE,"Relationship, authorization, and permission",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/core/permissions.py;backend/core/account_memberships.py;docs/ROLE_PERMISSION_MATRIX.md,CGP006-MAP-GAP-0002,Relationships is Component A; Authorization and Permission are Components B and C.
PIA-MAP-0004,PIA_PORTFOLIO_POSITION,PIA-04,"Horse Identity, Profile, and Lifecycle",NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,"Horse identity, profile, lifecycle",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/routes/horses.py;backend/routes/horse_ledger.py;frontend/src/pages/HorseProfile.jsx,CGP006-MAP-GAP-0001,Horse canonical source family located.
PIA-MAP-0005,PIA_PORTFOLIO_POSITION,PIA-05,"Core Navigation, Search, and Application Shell",NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,"Core navigation, search, shell",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,frontend/src/App.js;frontend/src/components/AppShell.jsx;frontend/src/lib/roleNavigation.js,CGP006-MAP-GAP-0001,Product vision and search canonical sources located.
PIA-MAP-0006,PIA_PORTFOLIO_POSITION,PIA-06,"Task, Calendar, Scheduling, and Notification",NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,"Task, calendar, scheduling, notification",PARTIALLY_IMPLEMENTED,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/task_engine.py;backend/notifications.py;backend/routes/operations.py;frontend/src/pages/Today.jsx,CGP006-MAP-GAP-0001,Notification canonical source located; no primary PIA package found.
PIA-MAP-0007,PIA_PORTFOLIO_POSITION,PIA-07,Care Operations,NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,Care operations,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/routes/care.py;backend/routes/horse_ledger.py;frontend/src/pages/CareLedgerTab.jsx,CGP006-MAP-GAP-0001,Barn and equine-health canonical inputs located.
PIA-MAP-0008,PIA_PORTFOLIO_POSITION,PIA-08,"Lessons, Training, Rider, and Guardian",NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,"Lessons, training, rider, guardian",PARTIALLY_IMPLEMENTED,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/routes/operations.py;backend/routes/student_guardians.py;backend/core/minor_safety.py;backend/core/minor_communication.py,CGP006-MAP-GAP-0003,Safeguarding canonical input located.
PIA-MAP-0009,PIA_PORTFOLIO_POSITION,PIA-09,"Billing, Payments, and Financial Operations",NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,"Billing, payments, financial operations",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/routes/billing.py;backend/routes/recurring_charges.py,CGP006-MAP-GAP-0005,Financial canonical input located.
PIA-MAP-0010,PIA_PORTFOLIO_POSITION,PIA-10,Owner Portal and Communications,NO_PRIMARY_PIA_PACKAGE_LOCATED,FALSE,Owner portal and communications,PARTIALLY_IMPLEMENTED,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,backend/routes/owner.py;backend/routes/owner_updates.py;backend/routes/digests.py;frontend/src/pages/OwnerPortal.jsx,CGP006-MAP-GAP-0001,Communication and media canonical inputs located.
