schema_inventory_id,data_store,collection_or_table,category,first_observed_evidence,static_reference_count,tenancy_or_owner_key_observed,index_or_constraint_evidence,migration_evidence,rls_or_equivalent_control,schema_definition_status,current_state_gap_ids
DATA-0001,MongoDB,account_memberships,identity_auth,backend/routes/student_guardians.py:136,4,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0002,MongoDB,account_subscriptions,billing_finance,backend/core/lifespan.py:208,3,barn_id_or_account_id_observed,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0003,MongoDB,account_usage_limits,billing_finance,backend/core/lifespan.py:212,4,barn_id_or_account_id_observed,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0004,MongoDB,arena_schedule_blocks,feature_module_or_backlog,backend/routes/backlog.py:1561,2,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0005,MongoDB,audit_log,audit_support_observability,backend/routes/admin_portal/alerts.py:203,27,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0006,MongoDB,auth_tokens,identity_auth,backend/core/auth_tokens.py:45,6,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0007,MongoDB,automation_suggestions,feature_module_or_backlog,backend/routes/backlog.py:2041,2,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0008,MongoDB,barn,facility_onboarding,backend/routes/barns.py:61,12,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0009,MongoDB,barns,facility_onboarding,backend/core/account_route_context.py:35,56,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0010,MongoDB,billing_events,billing_finance,backend/core/lifespan.py:199,19,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
