finding_id,source_assertion,exact_repository_evidence,file_identity,line_or_symbol,evidence_type,primary_disposition,severity,likelihood,affected_scope,existing_gap_or_iwp_relationship,required_documentary_treatment,later_authority_requirement,final_status,rationale
CGP006-COPILOT-FIND-0001,root README is placeholder or materially inadequate,README.md:1,README.md sha256=4d98a881426d611841978ecdc7192d83446a2191081b08776b94c39019ccda1f bytes=29,README.md line 1,DIRECT_FILE_CONTENT,VALID_NEW_GAP,P2_MEDIUM,CERTAIN,"repository onboarding, product orientation, setup, security, deployment, and contributor guidance",NEW_GAP=CGP006-MAP-GAP-0013;NEW_IWP=CGP006-IWP-CANDIDATE-0009,Record repository README/documentation orientation gap without editing root README.,Founder must authorize any root README or documentation implementation change.,OPEN_RECONCILED,"Root README contains only a one-line placeholder and no product, architecture, setup, test, security, license, or deployment orientation."
CGP006-COPILOT-FIND-0002,no repository-root license exists,"git tree at required PR head contains no root LICENSE, LICENSE.*, COPYING, or COPYING.* file",root_tree=6a66df5553ecede3aa91eec07a912abef41afc67;required_pr_head=7e99fb8ea2f6db8a6bf91c4a60164a749a931e54,repository root tree,GIT_TREE_ABSENCE_CHECK,VALID_REPOSITORY_POLICY_DECISION_REQUIRED,P2_MEDIUM,CERTAIN,"distribution, contribution, reuse, and legal-policy posture",NEW_GAP=CGP006-MAP-GAP-0014;NEW_IWP=CGP006-IWP-CANDIDATE-0010,Record license-policy decision gap without selecting or adding a license.,Founder/legal policy decision required before any license is selected or added.,OPEN_RECONCILED,"No recognized root license file is present; license choice is policy/legal authority, not a Copilot-remedy execution task."
CGP006-COPILOT-FIND-0003,backend requirements mix runtime and development/test tooling,backend/requirements.txt:10;backend/requirements.txt:26;backend/requirements.txt:48;backend/requirements.txt:64;backend/requirements.txt:81;backend/requirements.txt:85;backend/requirements.txt:90;.github/workflows/ci.yml:48-49;.github/workflows/ci.yml:121-122,backend/requirements.txt sha256=868ba96cc66725ea3a514bc547acd44846ff90adb00d74e65b3961d88807f430 bytes=2243;.github/workflows/ci.yml sha256=15f85483dd200bbf75edf2d9042fefa962819bf639e7f5fdbf15cc1627585d90 bytes=8300,"black, flake8, isort, mypy, pycodestyle, pyflakes, pytest",DIRECT_DEPENDENCY_MANIFEST_AND_CI_USAGE,VALID_NEW_GAP,P2_MEDIUM,LIKELY,"backend production install boundary, CI dependency cache, developer/test tooling boundary",NEW_GAP=CGP006-MAP-GAP-0015;NEW_IWP=CGP006-IWP-CANDIDATE-0011,Record runtime/dev dependency separation gap without moving packages or changing requirements.,Founder must authorize dependency and CI workflow changes before separation work.,OPEN_RECONCILED,"The same backend requirements file contains runtime packages and tooling/test packages, and current CI installs that single file."
CGP006-COPILOT-FIND-0004,"CI lacks dedicated lint, formatting, typing, SAST, and dependency-audit enforcement",.github/workflows/ci.yml:31-222;.github directory file inventory contains CODEOWNERS and workflows/ci.yml only,.github/workflows/ci.yml sha256=15f85483dd200bbf75edf2d9042fefa962819bf639e7f5fdbf15cc1627585d90 bytes=8300,"jobs backend-collect, backend-tests, frontend-build",DIRECT_CI_CONFIGURATION_REVIEW,VALID_PARTIALLY_CAPTURED_REQUIRES_EXPANSION,P1_HIGH,LIKELY,"pull-request assurance, false-pass prevention, dependency and static-analysis evidence",EXPANDS_GAP=CGP006-MAP-GAP-0011;EXPANDS_IWP=CGP006-IWP-CANDIDATE-0003,Expand existing CI evidence gap and candidate IWP without editing workflow files.,Founder must authorize CI workflow and external/security tooling changes.,OPEN_RECONCILED,"CI runs backend collection, backend tests with known-failure gate, and frontend build; no dedicated lint, format, typing, SAST, secret-scan, license-scan, or dependency-audit enforcement is present in the workflow."
CGP006-COPILOT-FIND-0005,frontend installation relies on --legacy-peer-deps because of peer conflicts,frontend/package.json:48-50;.github/workflows/ci.yml:215-219;frontend/vercel.json:2;docs/VERCEL_FRONTEND_DEPLOYMENT.md:10;frontend/package-lock.json peerDependencies for react-day-picker require ^16.8.0 || ^17.0.0 || ^18.0.0,frontend/package.json sha256=fca09efd733f2da0c4fc97bb5da8688351eb83bd227691703d387e1a0ad897f9 bytes=3169;frontend/package-lock.json sha256=7b5781f7164b0ac9250d670fb5ab27b62570d2fa7d6a22e1cad82deb704602fe bytes=789734;.github/workflows/ci.yml sha256=15f85483dd200bbf75edf2d9042fefa962819bf639e7f5fdbf15cc1627585d90 bytes=8300,react ^19.0.0; npm ci --legacy-peer-deps,DIRECT_FRONTEND_MANIFEST_AND_CI_CONFIGURATION,VALID_NEW_GAP,P2_MEDIUM,LIKELY,"frontend dependency installation, CI build reproducibility, Vercel frontend deployment install behavior",NEW_GAP=CGP006-MAP-GAP-0016;NEW_IWP=CGP006-IWP-CANDIDATE-0012,"Record frontend peer-dependency remediation gap without installing, updating, or changing dependencies.",Founder must authorize dependency and lockfile changes before remediation.,OPEN_RECONCILED,React 19 is declared while CI and Vercel install with legacy peer dependency handling; the workflow comment directly documents the peer-conflict reason.
CGP006-COPILOT-FIND-0006,large modules create maintainability and review-risk concentration,backend/routes/backlog.py size 121861;backend/routes/horse_ledger.py size 112850;frontend/src/pages/RoleIntake.jsx size 102267;frontend/src/pages/CareLedgerTab.jsx size 86725;backend/task_engine.py size 48455,backend/routes/backlog.py sha256=6ace6f477ead7123ee8fccc5faef51052599f282adbee136dc3069e514092832 bytes=121861;backend/routes/horse_ledger.py sha256=9d65c5957f7ea02d2cb35389173fb96dd5c1e62881cecd44914aecb7fae0bd07 bytes=112850;frontend/src/pages/RoleIntake.jsx sha256=aec09c7dddea51e551eb14ca5981f7afd944b0864aae79b4ea10d8a7200f2b2b bytes=102267;frontend/src/pages/CareLedgerTab.jsx sha256=9a25fb5b5f87f7cf23b8b0b18868fc7c24e2dc0c0a409f0b94990d831dbebaa0 bytes=86725;backend/task_engine.py sha256=60916741ad93bb6361d7411cbf8508d9fd8690074b6412acab91df6fea5637bc bytes=48455,largest risk-sensitive source files by byte size,STATIC_FILE_SIZE_AND_RESPONSIBILITY_CONCENTRATION_REVIEW,VALID_MAINTAINABILITY_OBSERVATION,OBSERVATION,POSSIBLE,"reviewability, testability, auth/billing/task/ledger change risk",NEW_IWP=CGP006-IWP-CANDIDATE-0014;NO_NEW_GAP_OBSERVATION_ONLY,Record as maintainability observation and candidate refactor-risk review; do not call size alone a defect.,Founder must authorize product-code refactor before any module decomposition.,OBSERVED_NOT_DEFECT,"Large files are real review-risk signals, but size alone does not prove a runtime defect or security failure."
CGP006-COPILOT-FIND-0007,secret or API-key scanning evidence is absent or incomplete,".gitignore:34-38;.gitignore:86-94;.github/workflows/ci.yml:31-222;.github directory file inventory contains no CodeQL, secret scan, or Dependabot workflow/config",.gitignore sha256=726ed5833d96dfc7bc90af5532f8544322ad5572e5c1eeac90cc15f221ebce79 bytes=1137;.github/workflows/ci.yml sha256=15f85483dd200bbf75edf2d9042fefa962819bf639e7f5fdbf15cc1627585d90 bytes=8300,environment ignore patterns; CI jobs,STATIC_SECRET_BOUNDARY_AND_SCAN_CONFIGURATION_REVIEW,UNVERIFIED_RISK_REQUIRES_EVIDENCE,P2_MEDIUM,POSSIBLE,"secret custody, provider credentials, repository history, CI assurance evidence",NEW_GAP=CGP006-MAP-GAP-0017;NEW_IWP=CGP006-IWP-CANDIDATE-0013,Record absence of scan evidence without asserting exposed secrets.,"Founder must authorize any scanner setup, repository-setting change, or historical scan evidence work.",OPEN_RECONCILED_UNVERIFIED,"Ignore rules cover environment/credential patterns, but no current CI or repository-local scanner evidence was found; this is not proof of leakage."
CGP006-COPILOT-FIND-0008,no automated linter enforcement,.github/workflows/ci.yml:31-222;backend/requirements.txt:10;backend/requirements.txt:26;backend/requirements.txt:48;backend/requirements.txt:64;frontend/package.json:83-90,.github/workflows/ci.yml sha256=15f85483dd200bbf75edf2d9042fefa962819bf639e7f5fdbf15cc1627585d90 bytes=8300;backend/requirements.txt sha256=868ba96cc66725ea3a514bc547acd44846ff90adb00d74e65b3961d88807f430 bytes=2243;frontend/package.json sha256=fca09efd733f2da0c4fc97bb5da8688351eb83bd227691703d387e1a0ad897f9 bytes=3169,CI jobs and lint-related package declarations,DIRECT_CI_CONFIGURATION_REVIEW,DUPLICATE_OF_OTHER_FINDING,P2_MEDIUM,LIKELY,style/type/static enforcement,DUPLICATE_OF=CGP006-COPILOT-FIND-0004;EXPANDS_GAP=CGP006-MAP-GAP-0011,Do not double-count; retain under the broader CI assurance finding.,Same as CGP006-COPILOT-FIND-0004.,DUPLICATE_RETAINED_NOT_DOUBLE_COUNTED,Automated linter enforcement is a subset of the broader CI lint/format/typing/static/dependency assurance finding.
CGP006-COPILOT-FIND-0009,large committed package-lock is presented as a concern,frontend/package-lock.json lockfileVersion=3 size 789734;frontend/package.json:95;.github/workflows/ci.yml:209-219,frontend/package-lock.json sha256=7b5781f7164b0ac9250d670fb5ab27b62570d2fa7d6a22e1cad82deb704602fe bytes=789734;frontend/package.json sha256=fca09efd733f2da0c4fc97bb5da8688351eb83bd227691703d387e1a0ad897f9 bytes=3169,package-lock lockfileVersion 3; CI npm cache/install,DIRECT_LOCKFILE_INTEGRITY_REVIEW,REJECTED_AS_DEFECT_WITH_RECORDED_RATIONALE,OBSERVATION,POSSIBLE,frontend dependency integrity and reproducible install evidence,NO_NEW_GAP_REJECTED_AS_DEFECT,Retain rationale; do not create a defect or gap from lockfile size alone.,Dependency audit or lockfile update authority required only if a separate vulnerability/integrity issue is proven.,REJECTED_AS_DEFECT_RETAINED,"A committed lockfile is normal reproducibility evidence; no corruption, unmanaged generation, incompatible package-manager failure, or integrity defect was proven by size alone."
CGP006-COPILOT-FIND-0010,no top-level Dockerfile or standardized deployment documentation,docs/VERCEL_FRONTEND_DEPLOYMENT.md:1-56;frontend/vercel.json:1-11;repository root contains no top-level Dockerfile at required PR head,docs/VERCEL_FRONTEND_DEPLOYMENT.md sha256=0345c5b0129293c81aeecb8a22a0dfc232c579dfa97f06085aa6301d9a60b71a bytes=1974;frontend/vercel.json sha256=6e214be324a4798dfde5a006e1e31f97b748f900071dba8df78bcdc6b54302ff bytes=245;root_tree=6a66df5553ecede3aa91eec07a912abef41afc67,Vercel frontend deployment docs and config; absent root Dockerfile,DEPLOYMENT_DOCUMENTATION_AND_CONFIGURATION_REVIEW,CONTEXT_DEPENDENT_REQUIRES_FOUNDER_DECISION,P3_LOW,POSSIBLE,"deployment reproducibility documentation, backend hosting model, containerization decision",NEW_GAP=CGP006-MAP-GAP-0018;NEW_IWP=CGP006-IWP-CANDIDATE-0015,Record deployment-model documentation decision gap; do not assume Docker is required.,Founder must decide deployment model and authorize docs/config changes before remediation.,OPEN_RECONCILED_CONTEXT_DEPENDENT,"Frontend Vercel deployment is documented and configured, but root/container/backend deployment standardization remains a policy and deployment-model decision."
