work_package_id,objective,mapped_gaps,affected_repository_paths,expected_product_code_scope,schema_or_migration_implications,security_and_safeguarding_implications,test_requirements,evidence_requirements,rollback_requirements,dependencies,recommended_order,repository_relative_complexity,external_tools_proposed,founder_decisions_required,prohibited_activities_absent_later_authority,implementation_authorization_status
CGP006-IWP-CANDIDATE-0001,Create endpoint-level API and frontend route authorization/tenancy matrix and close high-risk gaps.,CGP006-MAP-GAP-0002,backend/server.py;backend/routes;backend/core/permissions.py;backend/core/tenancy.py;frontend/src/App.js,Potential route dependency and query-filter changes after separate authorization.,Possible none; verify collection key/index needs.,High; access-control boundary.,Positive and negative auth tests; cross-barn denial tests; route inventory tests.,"Endpoint matrix, test report, CI run, review receipt.",Route-level revert plan and feature flag assessment if product changes authorized.,Founder implementation authorization; prepared test environment.,1,LARGE,No new tools required; optional later security scan only with authorization.,Authorize implementation mapping-to-remediation for auth/tenancy.,IMPLEMENTATION_NOT_AUTHORIZED; DEPLOYMENT_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0002,Complete guardian/minor safeguard enforcement and evidence across declared workflows; implemented by PR #71 and corrected by PR #75.,CGP006-MAP-GAP-0003,backend/core/minor_safety.py;backend/core/minor_communication.py;backend/routes/student_guardians.py;backend/routes/operations.py;backend/routes/billing.py;backend/routes/recurring_charges.py;backend/tests/test_cgp006_iwp0002_guardian_minor_safeguarding.py,Completed under Founder-authorized PR #71 implementation and PR #75 post-merge correction; no product code is authorized or present on PR #72.,"No destructive schema, dependency, lockfile, CI, branch-protection, provider, or production-backfill change authorized by closure custody.",High; protected participant workflows closed for authorized repository scope with continuing runtime and deployment boundaries.,"Satisfied by focused Guardian/Minor regression, abuse, legacy-link, state-token, materialization, payment, messaging, and positive-control tests.","Satisfied by PR #71 implementation package, PR #75 correction package, PR #72 refreshed custody package, validators, and protected PR checks.","If later regression appears, suspend affected minor-facing workflow and reopen a governed corrective package; no runtime activation occurs here.",Closed for CGP006-IWP-0002 after PR #72 protected merge; all unrelated candidates and GAP_0004 remain separate.,2,LARGE,No.,No further Founder decision required for this scope-limited closure after PR #72 protected merge; later runtime/deployment/pilot decisions remain unauthorized.,PILOT_NOT_AUTHORIZED; STAGING_NOT_AUTHORIZED; PRODUCTION_NOT_AUTHORIZED; DEPLOYMENT_NOT_AUTHORIZED; PROVIDER_CALL_NOT_AUTHORIZED; GAP_0004_REMAINS_OPEN; WAVE_2_NOT_AUTHORIZED; CGP_007_NOT_AUTHORIZED,IMPLEMENTED_CORRECTED_VERIFIED_MERGED_CUSTODY_COMPLETE
CGP006-IWP-CANDIDATE-0003,"Codify CI known-failure baseline governance, false-pass prevention, and static/dependency assurance evidence.",CGP006-MAP-GAP-0011,.github/workflows/ci.yml;backend/tests/ci_known_failure_gate.py;backend/tests/ci_known_failure_baseline.json;backend/requirements.txt;frontend/package.json;frontend/package-lock.json,Likely tests/CI governance only after authorization.,None expected.,Medium; prevents unsafe evidence claims.,"Required-check policy review, known-failure baseline tests, and separately authorized lint/format/type/SAST/dependency/secret scan evidence.","CI required-check settings, recent green CI run, known-failure report custody, and authorized static/dependency assurance reports.",Revert CI/baseline policy changes if gate blocks valid work.,Founder authorization for workflow/test changes.,3,MEDIUM,No new external setup.,"Authorize whether CI workflow changes, static analysis, dependency audit, SAST, secret scan, license scan, and dependency-update automation may be added.",CI_WORKFLOW_CHANGE_NOT_AUTHORIZED;EXTERNAL_TOOL_SETUP_NOT_AUTHORIZED;DEPENDENCY_CHANGE_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0004,Provider-safe financial and document-signature integration evidence package.,CGP006-MAP-GAP-0005;CGP006-MAP-GAP-0012,backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/routes/document_signatures.py;backend/core/document_signing.py,Possible webhook/test hardening after separate authorization.,Possible payment/document event audit fields.,High for financial/legal records.,"Stripe/DocuSign sandbox tests, webhook replay/HMAC tests, no raw payload storage tests.","Provider receipts, redacted logs, reconciliation reports.",Provider disablement and local state reconciliation plan.,Provider credentials and external tool authorization.,4,LARGE,Stripe and DocuSign sandbox only if separately authorized.,Authorize external provider setup/use and evidence capture.,NO_EXTERNAL_TOOL_CONNECTED_OR_CONFIGURED; DEPLOYMENT_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0005,"Runtime configuration, support-access, and production/staging readiness evidence packet.",CGP006-MAP-GAP-0006;CGP006-MAP-GAP-0010,backend/core/config.py;backend/core/db.py;backend/routes/admin_portal/support.py;docs/INITIAL_ADMIN_AND_DEMO_SETUP.md,Possible docs/tests/config checks after authorization.,None expected unless support audit fields added.,"High for secrets, support access, production boundaries.","Redacted env checks, startup validation tests, support role negative tests.","No-secret proof, startup logs, support access custody records.",Disable support access/credential paths if evidence fails.,Founder runtime evidence authorization.,5,MEDIUM,No new tools; runtime env access only if authorized.,Authorize staging/runtime evidence access.,STAGING_NOT_AUTHORIZED; PRODUCTION_USE_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0006,"Audit retention, recovery, and privacy evidence package.",CGP006-MAP-GAP-0009,backend/core/audit.py;backend/routes/audit.py;backend/routes/admin_portal/audit_logs.py;docs/AUDIT_LOGGING.md,Possible retention/index/read-access changes after authorization.,Potential TTL/retention fields or indexes.,Medium-high for auditability and privacy.,"Redaction, access, retention, recovery, fail-open risk tests.",Retention policy and recovery proof.,Revert retention changes or preserve audit export before change.,Founder retention policy decision.,6,MEDIUM,No.,Approve retention/deletion policy.,SCHEMA_AND_MIGRATION_CHANGE_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0007,Optional assurance-tool setup sequence for later independent checks.,CGP006-MAP-GAP-0007,GitHub repository settings; .github/workflows if later authorized,None expected.,None.,Medium; third-party access and permissions.,Tool-specific setup verification and access review.,"Setup receipts, permission matrix, outputs custody.",Disable/revoke tool access.,Founder tool authorization and credential review.,7,MEDIUM,"CodeQL, Codex Security, Playwright, or other tools only if authorized.",Approve each tool and access level.,EXTERNAL_TOOL_SETUP_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0008,GAP_0004 closure-readiness package after authorized remediation/evidence exists.,CGP006-MAP-GAP-0004,backend;frontend;.github;governance/implementation/code-guides,Depends on authorized preceding packages.,Depends on authorized preceding packages.,High; final closure gate.,"All relevant implementation, CI, runtime, staging/pilot evidence tests.",Complete evidence dossier and Founder closure disposition.,Reopen/suspend if evidence invalidates closure.,Completion of earlier packages and Founder review.,8,LARGE,Only those separately authorized.,Authorize closure evaluation; decide residual risks.,GAP_0004_CLOSED_PROHIBITED,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0009,Create Founder-approved root README/documentation orientation package.,CGP006-MAP-GAP-0013,README.md;docs,Root README and supporting docs only if later authorized.,None expected unless docs reference runtime env examples.,Improves safe onboarding and prevents readiness overclaim.,"Documentation review, internal link checks, non-overclaim checks.","Founder-approved README content, setup/test/security/deployment orientation evidence.",Revert documentation-only changes if overclaim or authority conflict found.,Founder content and policy decisions.,9,SMALL,NONE,Approve README scope and public/private disclosure posture.,NO_ROOT_README_CHANGED_UNDER_THIS_DIRECTIVE,IMPLEMENTATION_NOT_AUTHORIZED
CGP006-IWP-CANDIDATE-0010,Record or add repository license policy after Founder/legal decision.,CGP006-MAP-GAP-0014,LICENSE;README.md;governance legal-policy records,Root license/distribution docs only if later authorized.,None.,Legal/policy implications for reuse and contribution.,License-file identity and policy consistency checks.,Founder/legal selected license or closed-source/private distribution record.,Remove unauthorized license text if selected incorrectly.,Founder/legal policy selection.,10,SMALL,NONE,Choose license or expressly record private/no-license distribution posture.,NO_LICENSE_SELECTED_OR_ADDED_UNDER_THIS_DIRECTIVE,IMPLEMENTATION_NOT_AUTHORIZED
