label_1,label_2,review_cycle,lane_id,coverage_id,area,numerator,denominator,percent,invalid_references,uncovered_or_open,result,classification,severity,notes
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-001,root manifest payload coverage,13,13,100.00,0,0,PASS,EXACTLY_ALIGNED,,Path bytes and SHA-256
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-002,root checksum coverage,14,14,100.00,0,0,PASS,EXACTLY_ALIGNED,,Includes root manifest
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-003,embedded manifest payload coverage,130,130,100.00,0,0,PASS,EXACTLY_ALIGNED,,Five packages
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-004,embedded checksum payload coverage,130,130,100.00,0,0,PASS,EXACTLY_ALIGNED,,Five packages
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-005,embedded ZIP to expanded byte coverage,140,140,100.00,0,0,PASS,EXACTLY_ALIGNED,,Exact path and bytes
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-006,CSV parse coverage,48,48,100.00,0,0,PASS,EXACTLY_ALIGNED,,841 data rows
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-007,CSV row-width coverage,841,841,100.00,0,0,PASS,EXACTLY_ALIGNED,,No blank rows
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-008,JSON parse coverage,15,15,100.00,0,0,PASS,EXACTLY_ALIGNED,,No duplicate keys
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-009,Identity human-machine row parity,238,238,100.00,0,0,PASS,EXACTLY_ALIGNED,,Twelve mapped arrays
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-010,Relationships human-machine row parity,360,360,100.00,0,0,PASS,EXACTLY_ALIGNED,,Fourteen exact arrays
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-011,human-JSON validation-report parity,48,48,100.00,0,0,PASS,EXACTLY_ALIGNED,,8 plus 28 plus 12 checks
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-012,Identity Founder decision ID denominator,12,12,100.00,0,0,PASS,EXACTLY_ALIGNED,,IDENTITY-FD-001 through 012
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-013,Identity formal ADR ID denominator,7,7,100.00,0,0,PASS,EXACTLY_ALIGNED,,ADR-IDENTITY-001 through 007
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-014,Relationships Founder decision ID denominator,16,16,100.00,0,0,PASS,EXACTLY_ALIGNED,,REL-FD-001 through 016
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-015,Relationships formal ADR ID denominator,7,7,100.00,0,0,PASS,EXACTLY_ALIGNED,,ADR-REL-001 through 007
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-016,Identity acceptance direct requirement coverage,30,48,62.50,0,18,PARTIAL_INFORMATIONAL,EXACTLY_ALIGNED,,All 30 references valid; no claim each requirement needs a distinct acceptance row
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-017,Identity tests to acceptance coverage,30,30,100.00,0,0,PASS,EXACTLY_ALIGNED,,One test reference per acceptance criterion
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-018,Identity requirement source-reference occurrence validity,96,96,100.00,0,0,PASS,EXACTLY_ALIGNED,,16 of 17 registered source IDs used
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-019,Identity ADR decision-reference occurrence validity,21,21,100.00,0,0,PASS,EXACTLY_ALIGNED,,11 of 12 decision IDs covered; IDENTITY-FD-005 not mapped by formal ADR register
