review_id,review_type,responsible_owner,responsible_owner_appointment_state,operative_state,review_frequency,proposed_next_review_date,triggering_events,required_evidence,completion_criteria,proposed_escalation_deadline,date_binding_state,escalation_addressee,overdue_state,completion_record
T1R2-REV-001,governance stewardship,governance stewardship,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-002,product domain ownership,product domain ownership,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-003,technical implementation,technical implementation,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-004,security,security,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-005,privacy,privacy,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-006,safeguarding,safeguarding,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-007,financial controls,financial controls,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-008,equine health and welfare,equine health and welfare,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-009,records and evidence custody,records and evidence custody,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-010,release authority,release authority,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-011,incident response,incident response,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-012,review administration,review administration,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-013,source reconciliation,source reconciliation,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
T1R2-REV-014,findings management,findings management,VACANT_PENDING_FOUNDER_APPOINTMENT,NOT_OPERATIVE_PENDING_FOUNDER_APPOINTMENT,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,PROPOSED_NOT_BINDING_NO_APPOINTED_OWNER_EXISTS,NONE_NO_ESCALATION_IS_POSSIBLE_WHILE_THE_ROLE_IS_VACANT,NOT_APPLICABLE_REVIEW_IS_NOT_OPERATIVE,NOT_COMPLETED
