surface,status,owner,route_or_file,user_facing_promise,evidence,next_action,notes
Brand naming and visual identity,live,Product and Design,docs/BRAND_AND_LOGO_GUIDE.md,EquineSync is the current product name; Equine-Sync is limited to domain styling or legacy asset titles,docs/BRAND_AND_LOGO_GUIDE.md,Enforce with copy-drift test,TW-1 guardrail
Public landing,gated,Marketing,frontend/src/pages/Landing.jsx,Public copy may describe verified outcomes horse ledger passport value and governed rollout but must not claim unsupported launch breadth,frontend/src/pages/Landing.jsx,Horse ledger passport positioning approved; launch-safe capability matrix remains TW-9,TW-1 copy pass plus approved ledger positioning
Enrollment and signup,pilot,Growth,frontend/src/pages/Enrollment.jsx;frontend/src/pages/Signup.jsx,Self-signup and role entry may explain reviewed access and plan selection within current boundaries,frontend/src/pages/Signup.jsx,Keep trainer/provider copy narrow,TW-1 trust language
Role intake,live,Product,frontend/src/pages/RoleIntake.jsx,Users can complete role intake and see setup-aware status for their role,frontend/src/pages/RoleIntake.jsx,Replace vague placeholders with status-aware copy,TW-1 copy pass
Trainer intake,live,Product,frontend/src/pages/RoleIntake.jsx;backend/routes/trainer_intake.py,Trainer profile review and intake are current-user scoped,backend/tests/test_build_next_13g_trainer_intake_shell.py,Maintain no private-workflow links,TW-1 guardrail
Trainer operating center,gated,Product and Engineering,frontend/src/pages/RoleIntake.jsx;backend/routes/trainer_operating_center.py,Approved trainers may see read-only assigned-work context when facility gates allow it,backend/tests/test_rf9_trainer_operating_center.py,Do not expand to billing or multi-facility until later gates,Facility-gated RF9 boundary
Trainer daily workflow,gated,Product,frontend/src/features/dashboards/TrainerDashboard.jsx;frontend/src/components/TrainerWorkflowPanel.jsx,Trainer Today command center is visible as a governed work map with assigned-context boundaries,docs/trust_workflow/TRAINER_WORKFLOW_REGISTRY.csv,TW-7 workflow map added; backend note lifecycle remains later-gated,No new trainer workflow persistence in TW-7
Owner dashboard and portal,live,Product,frontend/src/features/dashboards/OwnerDashboard.jsx;frontend/src/pages/OwnerPortal.jsx;frontend/src/components/OwnerWellbeingPanel.jsx,Owners can view approved owner-facing context where connected,backend/tests/test_owner_trust.py,TW-6 wellbeing map added; digest delivery remains later-gated,TW-6 source-level wellbeing only
Owner requests,pilot,Product,frontend/src/pages/OwnerPortal.jsx;frontend/src/components/NotificationsBell.jsx,Owner requests and review decisions exist within approved workflow boundaries,backend/tests/test_review_queue_and_lifecycle.py,TW-6 request-path language added; backend state-machine expansion remains later-gated,No new decision persistence in TW-6
Owner digest and updates,pilot,Product,frontend/src/components/OwnerDigestCard.jsx;frontend/src/pages/OwnerUpdates.jsx,Owner-visible updates and digest previews require review and provider/storage truth where applicable,backend/tests/test_owner_updates.py,TW-6 wellbeing map references digest timeline as reviewed future work,Do not claim live object storage without provider proof
Facility setup,gated,Product,frontend/src/pages/Onboarding.jsx;frontend/src/components/dashboard/SetupConciergeCard.jsx;frontend/src/components/FacilityReadinessPanel.jsx,Eligible facility roles can complete setup and see readiness context,backend/tests/test_build_next_16b_setup_readiness_contract.py,TW-5 readiness panel added; backend readiness expansion remains later-gated,TW-5 source-level readiness only
Facility manager review queue,gated,Product,frontend/src/features/dashboards/ManagerDashboard.jsx,Daily manager review queue is planned,docs/trust_workflow/RECOMMENDATION_TRACEABILITY_MATRIX.csv,TW-4/TW-5 proof panels added; deeper queue expansion remains later-gated,No new queue implementation in TW-5
Today and staff work,live,Operations,frontend/src/pages/Today.jsx;frontend/src/pages/MyWork.jsx;frontend/src/pages/HandoffReports.jsx,Staff and authorized roles can use current operational task surfaces,backend/tests/test_build_next_15a_today_pulse_contract.py,TW-4 handoff proof labels added; workflow persistence remains later-gated,TW-4 source-level proof only
Field draft capture,draft_only,Operations,frontend/src/lib/taskSync.js;frontend/src/lib/horseOpsDrafts.js,Draft capture may preserve local work but does not imply broad offline sync or official write completion,backend/tests/test_build_next_18d_field_reliability_proof.py,Keep draft labels explicit until synced and accepted,TW-1 status registry
Billing and payments,provider_required,Business,frontend/src/pages/Billing.jsx;frontend/src/pages/Payments.jsx;frontend/src/pages/SubscriptionBilling.jsx;frontend/src/components/BusinessReadinessPanel.jsx,Billing surfaces must distinguish records/readiness from live provider processing,backend/tests/test_build_next_1_billing_launch_readiness.py,TW-9 plan-fit and billing-clarity proof added; payment activation remains separately gated,No new payment activation in TW-9
Documents and signatures,provider_required,Operations,frontend/src/pages/FormsSignatures.jsx;frontend/src/pages/HealthDocuments.jsx,Document workflows may show records/readiness but signatures require provider proof,backend/tests/test_build_next_6_signature_connector.py,Clarify provider status in TW-1,No signature activation in TW-1
Messaging notifications and SMS,pilot,Operations,frontend/src/pages/Messaging.jsx;frontend/src/pages/GroupMessaging.jsx;frontend/src/components/NotificationsBell.jsx,Messaging must distinguish internal records previews and approved pilot channels from broad delivery,backend/tests/test_rf13_messaging_notifications_delivery_truth.py,Add safety controls in TW-3,Respect urgent-only SMS boundary
AI automation,provider_required,Engineering,frontend/src/pages/AiAutomation.jsx,AI automation must be labeled as governed/proof-dependent until provider proof and mutation authority exist,backend/tests/test_build_next_18a_provider_live_proof.py,Keep draft/review boundaries,TW-1 overclaim guard
Admin portal,live,Platform Operations,frontend/src/pages/admin/AdminLayout.jsx;frontend/src/pages/admin/AdminDashboard.jsx,Platform admin surfaces are namespaced under /admin/portal and platform-role gated,backend/tests/test_admin_portal_route_lock_guard.py,TW-5 admin proof panel added; mutation controls remain later-gated,TW-5 read-only admin proof
Support operations console,gated,Platform Operations,frontend/src/pages/admin/AdminSupport.jsx,Support diagnostics and permission explanations are planned,docs/trust_workflow/RECOMMENDATION_TRACEABILITY_MATRIX.csv,TW-5 support proof panel added; impersonation and hidden privilege remain out of scope,No unsafe impersonation
Service provider dashboard,gated,Product,frontend/src/features/dashboards/ServiceProviderDashboard.jsx;frontend/src/components/ProviderAccessPanel.jsx,Provider dashboard exists as constrained role surface with visible scoped-access boundaries,backend/tests/test_build_next_17a_launch_trust_route_taxonomy.py,TW-8 access map added; live provider lifecycle remains later-gated,Do not treat providers as staff
Provider access and visit workflow,gated,Product and Compliance,frontend/src/lib/providerAccessWorkflow.js;frontend/src/components/ProviderAccessPanel.jsx,Provider invite scope visit packets notes documents billing handoff and emergency access are mapped but not activated,docs/trust_workflow/PROVIDER_ACCESS_REGISTRY.csv,TW-8 source-level access model added; backend grant lifecycle remains later-gated,TW-8 no live invite revoke emergency document payment or external messaging
Mobile and app-store readiness,gated,Engineering,frontend/src/pages/MobileReadiness.jsx;frontend/src/components/QualityGatePanel.jsx,Mobile readiness and app-store posture remain evidence-gated,backend/tests/test_build_next_18e_app_store_readiness_proof.py,TW-10 quality gate panel added; screenshots and app-store evidence still required,No app-store launch authority
Multi-facility switching,unavailable,Product and Engineering,planned later gate,Multi-facility switching is not available without permission-safe model and visual isolation proof,docs/trust_workflow/RECOMMENDATION_TRACEABILITY_MATRIX.csv,Defer until explicit gate approval,Stop on accidental claims
Data export and portability,gated,Platform Operations,frontend/src/pages/AdvancedReports.jsx;frontend/src/lib/businessWorkflow.js,Data export and account portability are visible as governed posture but not live export authority,docs/trust_workflow/BUSINESS_MARKETING_REGISTRY.csv,TW-9 portability posture added; live export workflow remains separately gated,No export expansion in TW-9
Design system QA,gated,Design and Engineering,frontend/src/lib/qualityGate.js;frontend/src/components/QualityGatePanel.jsx,Design-system QA gate is visible as launch-readiness evidence but not production authority,docs/trust_workflow/QUALITY_GATE_REGISTRY.csv,TW-10 source-level QA evidence added; browser screenshots and accessibility evidence still required,No production launch authority
