privacy_control_id,control_name,legal_or_policy_basis,affected_data,affected_users,minors_or_guardians_affected,design_evidence,implementation_evidence,test_method,test_environment,test_date,sample_or_population,expected_result,actual_result,exceptions,incident_history,owner,independent_reviewer,effectiveness_status,retest_trigger,evidence_artifact
PRIV-001,lawful basis or consent,personal-data processing basis,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-002,guardian authorization,guardian approval and verification,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-003,minors' data,minor data minimization and safeguards,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-004,notice,privacy notice and user-facing disclosures,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-005,access controls,role and account access boundaries,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-006,role-based visibility,"trainer, facility, guardian, owner, admin visibility",PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-007,data minimization,collection and retention limits,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-008,retention and deletion,retention schedule and deletion execution,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-009,correction rights,data correction workflow,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-010,export or access requests,subject access/export workflow,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-011,payment-data boundaries,processor boundary and no raw card-data custody,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,NO_UNLESS_MINOR_PAYMENT_CONTEXT_EXISTS,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-012,vendor and subprocessor controls,vendor data-processing and subprocessor obligations,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-013,audit logging,privacy-sensitive audit events,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-014,breach detection,detection and escalation signal,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-015,incident response,privacy incident handling,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
PRIV-016,suspension triggers,control failure and high-risk stop conditions,PENDING_SCOPE_DEFINITION,PENDING_SCOPE_DEFINITION,YES_IF_MINOR_USERS_OR_GUARDIANS_IN_SCOPE,REQUIREMENTS_DEFINED,EVIDENCE_PENDING,PENDING_LIVE_OR_REPRESENTATIVE_TEST_METHOD,PENDING,,PENDING,PENDING,NOT_TESTED,PENDING,PENDING,Privacy/control owner,PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER,PRIVACY_REQUIREMENTS_DEFINED_OPERATING_EFFECTIVENESS_NOT_VERIFIED,"Control, data, user, vendor, environment, legal, incident, or release-scope change.",LIVE_PRIVACY_CONTROL_EFFECTIVENESS_REVIEW_TEMPLATE.md
