question_id,status,historical_question_or_issue,founder_disposition,implemented_by_rule_ids,implemented_in_files,history_preserved,blocking_effect_after_revision
OQ-001,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Authority classification,"Classify this standard as portfolio-level operating standard subordinate to locked constitutional governance, not constitutional canon.",ES-GPS-AUTH-002; ES-GPS-CLASS-001,Standard section 2; ARTIFACT_CLASS_DEFINITION_MATRIX; AUTHORITY_EFFECT_MATRIX,YES,"No adoption, lock, activation, or implementation authority until separate lifecycle events."
OQ-002,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Lock eligibility,Initial standard remains amendable controlled operating standard; later exact-byte lock reserved after actual cycles demonstrate stability.,ES-GPS-LOCK-001; ES-GPS-AMEND-001,Standard sections 8 and 16; SUPERSESSION_AMENDMENT_AND_CORRECTION_MATRIX,YES,Blocks lock only; draft revision can proceed.
OQ-003,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Activation model,"Activation is phased and scope-specific; initial future scope should be documentary classification, lifecycle reconciliation, maintenance, source reconciliation, findings administration, certification recording, and closing-audit procedure.",ES-GPS-ACT-001; ES-GPS-MAINT-001,Standard sections 8 and 17; LIFECYCLE_STATE_AND_TRANSITION_MATRIX,YES,No portfolio-wide implementation or runtime effect from adoption alone.
OQ-004,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Review cadence,"Default cadence is monthly automated integrity validation, quarterly owner/lifecycle/source/risk/exception review, bounded pre-release governance review, annual review/recertification, and event-triggered review; Founder may certify sufficient substitute cycle.",ES-GPS-MAINT-001; ES-GPS-FCR-001,Standard section 17; REOPENING_TRIGGER_MATRIX,YES,Future maintenance activation uses cadence unless stricter source controls.
OQ-005,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Governance V1.0 historical conflict,Earlier closure assessment is historical evidence of its date/state; later checksum-backed lock record and aggregate manifest control their stated scope; neither proves all later layers complete.,ES-GPS-SRC-001; ES-GPS-NONFALSE-001; ES-GPS-HIST-001,"Standard sections 3, 10, 12; SOURCE_AND_AUTHORITY_REGISTER; CONFLICT_AND_OPEN_QUESTION_REGISTER",YES,Blocks unqualified global completion claims but not revision.
OQ-006,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Missing historical or PIA source bytes,"Exact bytes remain preferred; Founder may issue Historical Evidence Certification permitting bounded reliance despite unavailable historical source, without claiming missing bytes were inspected or exact-byte continuity proven.",ES-GPS-HIST-001; ES-GPS-FAIL-001; ES-GPS-NONFALSE-001,"Standard sections 3, 10, 12; FOUNDER_HISTORICAL_EVIDENCE_CERTIFICATION_TEMPLATE; FOUNDER_CERTIFICATION_MACHINE_READABLE_SCHEMA",YES,Affected PIA/source claims require exact evidence or FCR-01.
OQ-007,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Operational-readiness authority,"Operational readiness may be declared by Founder or Founder-designated operational/release authority acting within written delegation; Founder may accept alternative operational, pilot, in-house, or certification evidence.",ES-GPS-OPS-001; ES-GPS-ALT-001; ES-GPS-PILOTEVD-001,Standard sections 9 and 13; COMPLETION_AND_READINESS_EVIDENCE_MATRIX,YES,Does not itself create pilot or production authority.
OQ-008,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Production authority,"Founder exact-head production-release authorization remains required unless later controlling instrument delegates; exceptions do not automatically grant production authority, but Founder may combine production authorization with express exceptions.",ES-GPS-PROD-001; ES-GPS-CERT-PROD-001; ES-GPS-WAIVE-001,Standard section 9; AUTHORITY_EFFECT_MATRIX; PROHIBITED_OVERCLAIM_MATRIX,YES,Blocks production claims absent exact production authorization.
OQ-009,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Machine-readable companions,"Machine-readable companion required for adoption, lock, activation, lifecycle, source, custody, findings, risk, certification, waiver, closure, and production authority; low-risk notes may be exempt or covered by Founder-certified alternative structured record.",ES-GPS-MR-001; ES-GPS-FCR-001,Standard section 19; FOUNDER_CERTIFICATION_MACHINE_READABLE_SCHEMA,YES,Future acceptance burden clarified.
OQ-010,CLOSED_FOUNDER_DISPOSITION_INCORPORATED,Conflicting registers,"Use exact, checksum-backed, properly authorized, later lifecycle evidence over stale candidate/descriptive/tracking rows; preserve conflicts as historical evidence; Founder may issue Current-State Certification where no decisive exact record exists.",ES-GPS-SRC-001; ES-GPS-FCR-001; ES-GPS-NONFALSE-001,Standard sections 3 and 12; CONFLICT_AND_OPEN_QUESTION_REGISTER; SOURCE_AND_AUTHORITY_REGISTER,YES,Unsupported current-state claims still fail closed unless certified.
