core_id,protected_rule_id,protected_requirement,binding_scope,mechanisms_barred,permitted_narrowing,prohibited_effect,detection_method,violation_consequence,reopening_trigger
CORE-001,ES-GPS-VALID-001,truthful validation,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-002,ES-GPS-CORE-001,non-falsification and historical preservation,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-003,ES-GPS-SRC-001,durable authority and exact source records,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-004,ES-GPS-PROD-001,exact release scope and production identity,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-005,ES-GPS-OVER-001,unsupported-overclaim prohibition,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-006,ES-GPS-2REV-001,independent second review for high-consequence authority,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-007,ES-GPS-DOWNSTREAM-001,documentary approval does not prove downstream assurance outcomes,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-008,ES-GPS-LEGAL-001,external legal and regulatory obligations cannot be internally satisfied without required qualified evidence,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-009,ES-GPS-IMPLCOMP-001,implementation completion requires exact-scope evidence and qualified review,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-010,ES-GPS-PRODREADY-001,production readiness requires release-specific gate evidence,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-011,ES-GPS-PRIVEFF-001,privacy operating effectiveness requires live or representative testing evidence,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-012,ES-GPS-BRANCH-001,branch-protection enforcement requires authoritative repository evidence,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
CORE-013,ES-GPS-ANCHOR-001,external integrity anchoring requires independent signed or external record evidence,All FCR classes and authority mechanisms,FCR-01 through FCR-10; waiver; deferral; substitution; override; risk acceptance,Only narrower truthful scope with durable record,"Cannot waive, nullify, or rewrite the protected requirement","Validator, review, challenge procedure, or source reconciliation",Blocks validation or reopens affected claim,"Credible defect, missing evidence, or contradictory authority"
