metric_id,metric,purpose,source
GHM-001,open_certifications_by_class,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-002,open_waivers,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-003,waiver_age,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-004,expired_records,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-005,revoked_records,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-006,unresolved_findings,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-007,findings_by_severity,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-008,overdue_reviews,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-009,unresolved_source_gaps,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-010,lifecycle_state_distribution,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-011,evidence_status_distribution,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-012,pointer_failures,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-013,schema_failures,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-014,mean_time_to_closure,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-015,reopened_findings,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-016,exception_density_by_artifact,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-017,implementation_verification_coverage,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
GHM-018,production_verification_coverage,Portfolio health monitoring,"certification register, findings register, validation report, lifecycle matrix, source register"
