control_id,repository,branch,control,required_state,observed_state,verification_method,verified_by,verified_at,evidence_reference,gap,blocking_effect,status
BRANCH-001,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,protected branch identity,integrate-emergent-final-zip identified as protected base where relied upon,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-002,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,prohibition on direct pushes,direct pushes disabled or expressly governed,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-003,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,pull-request requirement,PR required before protected branch mutation,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-004,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,required approvals,required approval count configured,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-005,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,required Independent Second Reviewer or CODEOWNERS approval,high-consequence changes require configured reviewer/CODEOWNERS evidence where applicable,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-006,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,required status checks,package validation checks required before merge,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-007,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,stale approval dismissal,stale approvals dismissed on new commits,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-008,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,conversation resolution,required conversations resolved before merge,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-009,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,signed commit requirement,signed commits required if adopted as repository control,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-010,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,force-push prohibition,force pushes disabled,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-011,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,deletion prohibition,branch deletion disabled,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-012,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,administrator bypass treatment,admin bypass disabled or recorded with compensating control,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-013,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,merge-method restrictions,allowed merge methods configured,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-014,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,deployment environment protection,environment approvals/checks configured where deployments exist,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
BRANCH-015,rianray2012-coder/EquineSync-V4,integrate-emergent-final-zip,audit evidence,settings/audit evidence retained,NOT_VERIFIED_IN_REPOSITORY_SETTINGS_BY_THIS_PACKAGE,PENDING_AUTHORITATIVE_REPOSITORY_SETTINGS_OR_AUDIT_EVIDENCE,,,BRANCH_PROTECTION_VERIFICATION_TEMPLATE.md,Requirement defined; enforcement not verified.,Nonblocking for documentary approval; blocks claim that authoritative custody controls are fully operational.,BRANCH_PROTECTION_REQUIREMENTS_DEFINED_ENFORCEMENT_NOT_VERIFIED
