obligation_id,domain,status,basis,required_confirmation,rule_ids
REG-001,state privacy laws,REQUIRES_LEGAL_CONFIRMATION,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-002,CCPA/CPRA,REQUIRES_LEGAL_CONFIRMATION,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-003,GDPR or UK GDPR,REQUIRES_LEGAL_CONFIRMATION,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-004,children and minors privacy,REQUIRES_LEGAL_CONFIRMATION,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-005,PCI DSS boundaries,REQUIRES_LEGAL_CONFIRMATION,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-006,employment or contractor records,POTENTIALLY_APPLICABLE,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-007,safeguarding duties,POTENTIALLY_APPLICABLE,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-008,contractual obligations,POTENTIALLY_APPLICABLE,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-009,vendor obligations,POTENTIALLY_APPLICABLE,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
REG-010,equine/facility/veterinary/professional requirements,REQUIRES_LEGAL_CONFIRMATION,"Applicability depends on users, geography, data processed, vendors, and launch scope.",Legal or competent external-obligation review before compliance claims.,"[""ES-GPS-EXTLAW-001""]"
