required_label_1,required_label_2,review_cycle,lane,runtime,thread_context_id,source_thread_id,timestamp_utc,base_source_id,base_title,reconciled_source_id,reconciled_title,id_stability,reconciliation_state,classification,severity,finding_ids,evidence,required_action,output_hash_reference
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-001,EquineSync Global Governance V1.0,,,OMITTED,NOT_REGISTERED_IN_RECONCILIATION,MISSING_TRACEABILITY,P1,CMT03-P1-001;CMT03-P1-002,"SOURCE_REGISTER.csv:2;SOURCE_RECONCILIATION_REGISTER.csv:1-17","Restore constitutional baseline row under stable ID and reconcile exact authority reference.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-002,Product Implementation Atlas Master Standard and Controlled Template V1.1,REL-SRC-015,Product Implementation Atlas Master Standard and Controlled Template V1.1,REMAPPED,EXACT_REPOSITORY_BYTES_PENDING,MISSING_TRACEABILITY,P1,CMT03-P1-001;CMT03-P1-002,"SOURCE_REGISTER.csv:3;SOURCE_RECONCILIATION_REGISTER.csv:16","Keep original ID or publish crosswalk and update all requirement references; reconcile bytes.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-003,Master Relationship Model V2.0,REL-SRC-001,Master Relationship Model V2.0,REMAPPED,FULLY_VERIFIED,MISSING_TRACEABILITY,P1,CMT03-P1-001,"SOURCE_REGISTER.csv:4;SOURCE_RECONCILIATION_REGISTER.csv:2;REQUIREMENT_REGISTER.csv:2-69","Preserve original ID or provide deterministic crosswalk used by every requirement link.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-004,Constitutional Authority Matrix V1.2,REL-SRC-005,EquineSync Constitutional Authority Matrix V1.2,REMAPPED,SHA256_AND_LIFECYCLE_LINKAGE_PENDING,MISSING_TRACEABILITY,P1,CMT03-P1-001;CMT03-P1-002,"SOURCE_REGISTER.csv:5;SOURCE_RECONCILIATION_REGISTER.csv:6","Crosswalk stable ID and complete hash/lifecycle evidence.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-005,Constitutional Cross Reference Index V1.2,REL-SRC-006,EquineSync Constitutional Cross Reference Index V1.2,REMAPPED,SHA256_AND_LIFECYCLE_LINKAGE_PENDING,MISSING_TRACEABILITY,P1,CMT03-P1-001;CMT03-P1-002,"SOURCE_REGISTER.csv:6;SOURCE_RECONCILIATION_REGISTER.csv:7","Crosswalk stable ID and complete hash/lifecycle evidence.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-006,"Master Identity, Account, and Actor Model V2.0",REL-SRC-002,"Master Identity, Account, and Actor Model V2.0",REMAPPED,FULLY_VERIFIED,MISSING_TRACEABILITY,P1,CMT03-P1-001,"SOURCE_REGISTER.csv:7;SOURCE_RECONCILIATION_REGISTER.csv:3","Preserve original ID or provide deterministic crosswalk used by every requirement link.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-007,Master Permission and Access-Control Model,REL-SRC-007,Master Permission Model V1.1,STABLE,ACTIVE_PATH_AND_LIFECYCLE_UNRESOLVED,SOURCE_GAP,P1,CMT03-P1-002;CMT03-P1-008,"SOURCE_REGISTER.csv:8;SOURCE_RECONCILIATION_REGISTER.csv:8","Resolve active path/lifecycle and Authorization PIA/counterparty contract.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-008,"Master Agreement, Consent, and Authorization Model",REL-SRC-008,"Master Agreement, Consent, and Authorization Model V2.1",STABLE,ACTIVE_PATH_AND_LIFECYCLE_UNRESOLVED,SOURCE_GAP,P1,CMT03-P1-002,"SOURCE_REGISTER.csv:9;SOURCE_RECONCILIATION_REGISTER.csv:9","Resolve active path/lifecycle and execution-profile dependency.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-009,"Master Minor, Guardianship, Safeguarding, and Protected Participant Model V1.1",REL-SRC-009,"Master Minor, Guardianship, Safeguarding, and Protected Participant Model V1.2",STABLE,VERSION_CHANGED_HASH_AND_TERMINAL_LOCK_PENDING,SOURCE_GAP,P1,CMT03-P1-002,"SOURCE_REGISTER.csv:10;SOURCE_RECONCILIATION_REGISTER.csv:10","Document successor relation and complete hash/terminal lock evidence.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,REL-SRC-010,"Master Claims, Disputes, and Authority Model",REL-SRC-003,"Master Claims, Disputes, and Authority Model V2.0",REMAPPED,FULLY_VERIFIED,MISSING_TRACEABILITY,P1,CMT03-P1-001,"SOURCE_REGISTER.csv:11;SOURCE_RECONCILIATION_REGISTER.csv:4;REQUIREMENT_REGISTER.csv:5","Preserve original ID or provide deterministic crosswalk used by requirement links.",OUTPUT_MANIFEST.json
