required_label_1,required_label_2,review_cycle,lane,runtime,thread_context_id,source_thread_id,timestamp_utc,work_item_id,work_item,status,result_classification,severity,evidence,limitation_or_note,output_hash_reference
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-001,Read complete CMT-03 controlling prompt,COMPLETE,EXACTLY_ALIGNED,,CMT-03_PROMPT.md:1-13,"Prompt read in full before task execution.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-002,Read controlling directive classification/severity and lane boundaries,COMPLETE,EXACTLY_ALIGNED,,CODEX_CONTROLLED_MULTI_THREAD_REVIEW_DIRECTIVE.md:117-146,"No alternate classification vocabulary used.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-003,Review Relationships PIA V1.1.0 complete text and registers,COMPLETE,EXACTLY_ALIGNED,,PIA_RELATIONSHIPS_DELEGATED_AUTHORITY_V1_1_0.md:1-1076,"Documentary review only.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-004,Review REL-FD-001 through REL-FD-016 and lifecycle evidence,COMPLETE,MISSING_TRACEABILITY,P1,"FOUNDER_DECISION_REGISTER.csv:1-17;FOUNDER_DECISION_APPROVAL_INGESTION.csv:1-17;FOUNDER_DECISION_TO_FORMAL_ADR_TRACEABILITY.csv:1-17","Terminal package approval-state contradiction remains open.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-005,Review ADR-REL-001 through ADR-REL-007 recommendations,COMPLETE,EXACTLY_ALIGNED,,ADR-REL-001.md:1 through ADR-REL-007.md,"Recommendation text reviewed; no recommendation approval claimed by this lane.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-006,Review ADR-REL-001 through ADR-REL-007 formal texts,COMPLETE,CONTROL_WEAKENING,P1,ADR-REL-001_FORMAL.md:1 through ADR-REL-007_FORMAL.md,"ADR-REL-003 findings remain open; 7/7 core recommendation sections otherwise match.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-007,Review Identity-to-Relationships contract across package copies,COMPLETE,CROSS_DOMAIN_CONFLICT,P1,"IDENTITY_RELATIONSHIPS_CONTRACT.md:1-50;Identity PIA:216-277;Relationships PIA:201-240","Party-reference and representation-basis defects remain open.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-008,Review Relationships-to-Authorization contract,COMPLETE,SOURCE_GAP,P1,RELATIONSHIPS_AUTHORIZATION_CONTRACT.md:1-66,"Authorization PIA/counterparty approval absent.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-009,Review source reconciliation and requirement links,COMPLETE,MISSING_TRACEABILITY,P1,"SOURCE_REGISTER.csv:1-17;SOURCE_RECONCILIATION_REGISTER.csv:1-17;SOURCE_RECONCILIATION_REPORT.md:1-39;REQUIREMENT_REGISTER.csv:1-69","Source IDs remapped; 12/16 incomplete; Privacy absent.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-010,Review MIAP terminology and authority placement,COMPLETE,EXACTLY_ALIGNED,,MIAP_TERMINOLOGY_AND_AUTHORITY_CONFIRMATION.md:1-7,"No active MAIP occurrence found in reviewed materials.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-011,Observe segregation/no-network/no-runtime/no-Git/frozen-input constraints,COMPLETE,EXACTLY_ALIGNED,,LANE_REPORT.md:Provenance and control boundary,"Other lane outputs were not read; frozen inputs not modified.",OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-03,"Generic controlled Codex thread; GPT-5 family; exact model ID not exposed",019f810e-f196-7bb0-9c28-319a61251f80,019f8104-9235-7f03-8a3e-c68d4b199e09,2026-07-20T19:52:11Z,CMT03-WORK-012,Produce prescribed eight-file output set with provenance labels evidence limitations self-audit attestation and hashes,COMPLETE,EXACTLY_ALIGNED,,LANE_REPORT.md;OUTPUT_MANIFEST.json,"Completion attests scope completion only; not ratification readiness.",OUTPUT_MANIFEST.json
