review_id,review_type,responsible_owner,review_frequency,next_review_date,triggering_events,required_evidence,completion_criteria,escalation_deadline,overdue_state,completion_record
T1R2-REV-001,governance stewardship,Governance Stewardship,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-002,product domain ownership,Product Domain Ownership,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-003,technical implementation,Technical Implementation,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-004,security,Security,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-005,privacy,Privacy,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-006,safeguarding,Safeguarding,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-007,financial controls,Financial Controls,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-008,equine health and welfare,Equine Health And Welfare,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-009,records and evidence custody,Records And Evidence Custody,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-010,release authority,Release Authority,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-011,incident response,Incident Response,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-012,review administration,Review Administration,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-013,source reconciliation,Source Reconciliation,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
T1R2-REV-014,findings management,Findings Management,90 days,2026-10-31,source drift; new PR; Founder decision; unresolved finding; incident; waiver expiration,"review notes, source snapshot, issue disposition, owner acceptance evidence if applicable",all required evidence attached or open gap preserved,2026-11-14,NOT_OVERDUE,NOT_COMPLETED
