decision_id,prior_status,approved_recommendation,founder_refinement,affected_artifacts,affected_requirements,affected_workflows,affected_interfaces,affected_risks_or_controls,incorporation_status,verification_status
FAC-FD-001,FOUNDER_DECISION_REQUIRED,Tenant is strict application context; Facility is durable physical place; Organization is entity identity; Barn is an operational context/topology label; Business is an Organization-domain operating identity. None is automatically equivalent to another.,,PIA_FACILITY_TENANT_ORGANIZATION_V1_1_0.md;DATA_DICTIONARY.md;PIA_FACILITY_TENANT_ORGANIZATION_MACHINE_READABLE.json,FAC-REQ-001,FAC-WF-001;FAC-WF-003,FAC-API-009;FAC-API-010,FAC-RISK-001,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-002,FOUNDER_DECISION_REQUIRED,Yes. Require an explicit Tenant context for every protected record/action or a documented global classification; missing context fails closed or quarantines.,,PIA_FACILITY_TENANT_ORGANIZATION_V1_1_0.md;PERMISSION_AND_AUTHORIZATION_BOUNDARY_MATRIX.csv;AS_BUILT_RECONCILIATION.md,FAC-REQ-002;FAC-REQ-034;FAC-REQ-039,FAC-WF-003;FAC-WF-014,FAC-API-001;FAC-API-002;FAC-API-003;FAC-API-004;FAC-API-005;FAC-API-006;FAC-API-007;FAC-API-008;FAC-API-009;FAC-API-010;FAC-EVT-001;FAC-EVT-002;FAC-EVT-004,FAC-RISK-001;FAC-RISK-010,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-003,FOUNDER_DECISION_REQUIRED,"Allow it only through separate typed, dated Tenant-Organization associations plus current action-specific authority; the association itself never proves control authority.",,DATA_DICTIONARY.md;WORKFLOW_REGISTER.md,FAC-REQ-004;FAC-REQ-005,FAC-WF-005;FAC-WF-006,FAC-API-004;FAC-EVT-003,FAC-RISK-002,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-004,FOUNDER_DECISION_REQUIRED,"Allow explicit time-bounded associations where legitimate, while maintaining separate tenant-scoped records and prohibiting cross-tenant visibility or record cascade.",,DATA_DICTIONARY.md;PERMISSION_AND_AUTHORIZATION_BOUNDARY_MATRIX.csv,FAC-REQ-002;FAC-REQ-004,FAC-WF-002;FAC-WF-006,FAC-API-001;FAC-API-004,FAC-RISK-001;FAC-RISK-003,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-005,FOUNDER_DECISION_REQUIRED,"Use Facility > Area with acyclic parent-area nesting sufficient for site, campus, structure, zone, room, stall, paddock, pasture, asset or hazard; keep labels configurable.",,DATA_DICTIONARY.md;STATE_TRANSITION_MATRIX.csv,FAC-REQ-008,FAC-WF-004,FAC-API-003;FAC-EVT-002,FAC-RISK-007,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-006,FOUNDER_DECISION_REQUIRED,"Support legal entity, sole proprietor, operating business, nonprofit/rescue, professional practice, service provider/vendor, governmental/educational body and other reviewed type; preserve type provenance and allow multiple non-authorizing types.",,DATA_DICTIONARY.md;SOURCE_REGISTER.md,FAC-REQ-004;FAC-REQ-026,FAC-WF-005,FAC-API-004,FAC-RISK-009,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-007,FOUNDER_DECISION_REQUIRED,"Adopt the candidate state sets in the State Transition Matrix, with closed/decommissioned identities retained and no silent reactivation.",,STATE_TRANSITION_MATRIX.csv;PIA_FACILITY_TENANT_ORGANIZATION_V1_1_0.md,FAC-REQ-003;FAC-REQ-011,FAC-WF-008;FAC-WF-009,FAC-API-006;FAC-EVT-001,FAC-RISK-004,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-008,FOUNDER_DECISION_REQUIRED,"Use reviewed effective-dated change sets and lineage events; never cascade people, horses, authority, payments, agreements, private records or evidence.",,WORKFLOW_REGISTER.md;GOLDEN_PATHS.md;ADVERSARIAL_SCENARIOS.md,FAC-REQ-009;FAC-REQ-010,FAC-WF-006;FAC-WF-007;FAC-WF-009,FAC-API-004;FAC-API-005;FAC-API-006,FAC-RISK-003;FAC-RISK-007,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-009,FOUNDER_DECISION_REQUIRED,"Require active membership, allowed associations, explicit visible user selection and per-consequential-request revalidation; record context-selection and action audit evidence.",,PIA_FACILITY_TENANT_ORGANIZATION_V1_1_0.md;WORKFLOW_REGISTER.md;PERMISSION_AND_AUTHORIZATION_BOUNDARY_MATRIX.csv,FAC-REQ-006;FAC-REQ-007;FAC-REQ-032,FAC-WF-003;FAC-WF-014;FAC-WF-015,FAC-API-002;FAC-API-009,FAC-RISK-002,INCORPORATED,INTERNAL_VALIDATION_PASS
FAC-FD-010,FOUNDER_DECISION_REQUIRED,"Expose stable IDs, typed topology, lifecycle, effective associations and sensitivity/status facts as versioned references; consumers cannot rewrite topology and must own their own decisions.",,INHERITANCE_AND_SHARED_CONTROL_REGISTER.md;API_EVENT_JOB_CONTRACTS.md,FAC-REQ-004;FAC-REQ-005;FAC-REQ-010,FAC-WF-005;FAC-WF-006,FAC-EVT-002;FAC-EVT-003,FAC-RISK-002;FAC-RISK-003,INCORPORATED,INTERNAL_VALIDATION_PASS
