acceptance_id,requirement_id,criterion,method,evidence_id,status
FAC-AC-001,FAC-REQ-001,Objective review demonstrates the exact obligation in FAC-REQ-001 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-001,SPECIFIED_NOT_EXECUTED
FAC-AC-002,FAC-REQ-002,Objective review demonstrates the exact obligation in FAC-REQ-002 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-002,SPECIFIED_NOT_EXECUTED
FAC-AC-003,FAC-REQ-003,Objective review demonstrates the exact obligation in FAC-REQ-003 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-003,SPECIFIED_NOT_EXECUTED
FAC-AC-004,FAC-REQ-004,Objective review demonstrates the exact obligation in FAC-REQ-004 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-004,SPECIFIED_NOT_EXECUTED
FAC-AC-005,FAC-REQ-005,Objective review demonstrates the exact obligation in FAC-REQ-005 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-005,SPECIFIED_NOT_EXECUTED
FAC-AC-006,FAC-REQ-006,Objective review demonstrates the exact obligation in FAC-REQ-006 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-006,SPECIFIED_NOT_EXECUTED
FAC-AC-007,FAC-REQ-007,Objective review demonstrates the exact obligation in FAC-REQ-007 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-007,SPECIFIED_NOT_EXECUTED
FAC-AC-008,FAC-REQ-008,Objective review demonstrates the exact obligation in FAC-REQ-008 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-008,SPECIFIED_NOT_EXECUTED
FAC-AC-009,FAC-REQ-009,Objective review demonstrates the exact obligation in FAC-REQ-009 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-009,SPECIFIED_NOT_EXECUTED
FAC-AC-010,FAC-REQ-010,Objective review demonstrates the exact obligation in FAC-REQ-010 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-010,SPECIFIED_NOT_EXECUTED
