decision_id,current_status,classification,gate,decision_date,controlling_record,notes
FAC-FD-001,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-002,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-003,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-004,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-005,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-006,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-007,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-008,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-009,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-010,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-011,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-012,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-013,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
