record_id,artifact_path,artifact_name,artifact_family,package_id,classification,authority_effect,classification_basis,classification_evidence,controlling_status,lifecycle_status,approval_status,adoption_status,version,supersedes,superseded_by,canonical_path,source_path,selected_in_cgp_005,cgp_005_selection_type,code_guide_dependency,affected_code_guides,change_effect,review_required,source_hash,package_hash,baseline_commit,last_reviewed_commit,notes
"DACR-0001","governance/pia/items/*/founder_disposition/; governance/pia/items/*/source_package/","Founder-approved PIAs","PIA","PIA_PORTFOLIO","NORMATIVE_AUTHORITY","DIRECT_NORMATIVE_EFFECT","Founder-approved PIAs define product behavior, actor boundaries, workflow requirements, acceptance criteria, and privacy/safeguarding obligations when operative text controls current work.","PIA portfolio records and item-level founder disposition records","CONTROLLING","APPROVED","FOUNDER_APPROVED","ADOPTED","MIXED","","","governance/pia/items/","external and repository PIA packages","PARTIAL","UNKNOWN","CGP-005 source-freeze dependency where selected","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10;later guides as mapped","IMPACT_REVIEW_REQUIRED","YES","","","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Classify each PIA component file before implementation use; manifests and receipts remain custody evidence."
"DACR-0002","governance/pia/items/*/**/HISTORICAL*; governance/pia/items/*/**/prior*","PIA historical predecessors","PIA","PIA_PORTFOLIO","HISTORICAL_REFERENCE","HISTORICAL_ONLY","Predecessor PIA materials preserve lineage but do not control current implementation unless a current authority record says so.","Historical predecessor and source-package lineage records","HISTORICAL","ARCHIVED","NOT_APPLICABLE","NOT_APPLICABLE","MIXED","","","governance/pia/items/","external and repository historical packages","NO","NOT_SELECTED","Lineage only","REFERENCE_ONLY","NO_EFFECT","NO","","","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Escalate if a historical artifact claims current controlling status."
"DACR-0003","governance/pia/items/05_core_navigation_search_application_shell/source_branch_tree/docs/canon/reviews/core_navigation_search_application_shell_pia_v0_4_0/02_fresh_review_and_reconciliation/01_controlling_source/EquineSync_Core_Navigation_Search_Application_Shell_PIA_V0_4_0_Complete_Documentary_Candidate.md","Item 05 approved PIA source","PIA Item 05","ITEM_05_V0_4_0","NORMATIVE_AUTHORITY","DIRECT_NORMATIVE_EFFECT","Review disposition accepts exact V0.4.0 bytes as Founder-approved documentary baseline when read with named founder and review records.","REVIEW_DISPOSITION.md; SOURCE_FREEZE_REGISTER.csv; Item 05 repository integration receipt","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","ADOPTED","V0.4.0","","","governance/pia/items/05_core_navigation_search_application_shell/","source_branch_tree/docs/canon/reviews/core_navigation_search_application_shell_pia_v0_4_0/","NO","NOT_SELECTED","PIA source for later implementation freeze","Later source-specific guides","CUSTODY_REFRESH_ONLY","YES","","8698e1aa189f1faced0631cd7d9df629c152075a2519c93e80f57b9253a9049c","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Current repository work is exact-byte canonical placement, not content revision."
"DACR-0004","governance/pia/items/05_core_navigation_search_application_shell/package_bytes/*.sha256","Item 05 exact-byte package artifacts","PIA Item 05","ITEM_05_V0_4_0","CUSTODY_EVIDENCE","CUSTODY_ONLY","Package bytes and sidecar hashes prove source custody and exact-byte preservation.","Item 05 accession custody validation record","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","V0.4.0","","","governance/pia/items/05_core_navigation_search_application_shell/package_bytes/","external package bytes","NO","SUPPORTING_EVIDENCE","Custody only","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","YES","","8698e1aa189f1faced0631cd7d9df629c152075a2519c93e80f57b9253a9049c;89762bf2476f024e6016671f6418992110f19d5475cb63ed3022bfe08bee95f9","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Exact-byte claims supported by ZIP hashes and integrity PASS."
"DACR-0005","governance/pia/items/05_core_navigation_search_application_shell/repository_integration/ITEM_05_SHELL_REPOSITORY_INTEGRATION_RECEIPT.md","Item 05 repository integration receipt","PIA Item 05","ITEM_05_V0_4_0","CUSTODY_EVIDENCE","CUSTODY_ONLY","Receipt records canonical path placement and non-authorization boundaries without changing source bytes.","Receipt disposition SUCCESS_EXACT_BYTE_EVIDENCE_INTEGRATED_TO_DEFAULT_BRANCH_CANONICAL_ITEM_PATH_WITH_RETAINED_LIFECYCLE_FINDINGS","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","2026-07-25","","","governance/pia/items/05_core_navigation_search_application_shell/repository_integration/ITEM_05_SHELL_REPOSITORY_INTEGRATION_RECEIPT.md","governance/pia/items/05_core_navigation_search_application_shell/repository_integration/ITEM_05_SHELL_REPOSITORY_INTEGRATION_RECEIPT.md","NO","SUPPORTING_EVIDENCE","Custody only","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","529a2234e8ba5d7be7a69506c7492ca69563136b7f90d78c99c68907deca1632","","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","No implementation, schema, migration, deployment, production, pilot, or enrollment authority."
"DACR-0006","governance/pia/items/05_core_navigation_search_application_shell/repository_integration/ITEM_05_SHELL_ACCESSION_CUSTODY_VALIDATION_RECORD.md","Item 05 accession custody validation record","PIA Item 05","ITEM_05_V0_4_0","CUSTODY_EVIDENCE","CUSTODY_ONLY","Validation record proves canonical placement, source authentication, package integrity, and prior receipt preservation.","Complete documentary ZIP PASS; fresh review ZIP PASS; checksum ledgers PASS","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","2026-07-25","","","governance/pia/items/05_core_navigation_search_application_shell/repository_integration/ITEM_05_SHELL_ACCESSION_CUSTODY_VALIDATION_RECORD.md","governance/pia/items/05_core_navigation_search_application_shell/repository_integration/ITEM_05_SHELL_ACCESSION_CUSTODY_VALIDATION_RECORD.md","NO","SUPPORTING_EVIDENCE","Custody only","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","17137671eabc8e68ce1c758f426019fe7c9647b305fb779e6e0db17268b89889","","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Retained P1 source-binding findings remain visible for implementation freeze."
"DACR-0007","governance/implementation/code-guides/source-freeze/WAVE_1_SOURCE_FREEZE_CROSSWALK.csv; governance/implementation/code-guides/guides/*/source-freeze/*SOURCE_FREEZE_REGISTER.csv","CGP-005 selected source records","Code Guide Program","ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26","NORMATIVE_AUTHORITY","DIRECT_NORMATIVE_EFFECT","CGP-005 records curated guide-specific normative source-freeze rows for Wave 1 drafting prerequisite purposes.","CGP_005_REPOSITORY_INTEGRATION_RECEIPT.md; WAVE_1_SOURCE_FREEZE_SUMMARY.md","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","ADOPTED","0.5.0","","","governance/implementation/code-guides/source-freeze/","governance/implementation/code-guides/source-freeze/","YES","NORMATIVE_SELECTED_SOURCE","CGP-006 depends on accepted CGP-005 freeze","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","FREEZE_AMENDMENT_REQUIRED","YES","","e32589f37eee638fd72f0c8ca9efd214bbf06f364643667a79c9dbe411bc5685","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","139 curated normative crosswalk rows remain the controlling frozen selected-source set."
"DACR-0008","governance/implementation/code-guides/source-freeze/WAVE_1_REFERENCE_CORPUS_REGISTER.csv","CGP-005 reference corpus","Code Guide Program","ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26","CUSTODY_EVIDENCE","CUSTODY_ONLY","Reference corpus preserves indexed discovery evidence and is explicitly non-normative.","WAVE_1_SOURCE_FREEZE_SUMMARY.md; CGP_006_INPUT_REGISTER.md","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","0.5.0","","","governance/implementation/code-guides/source-freeze/WAVE_1_REFERENCE_CORPUS_REGISTER.csv","governance/implementation/code-guides/source-freeze/WAVE_1_REFERENCE_CORPUS_REGISTER.csv","YES","SUPPORTING_EVIDENCE","Discovery only","REFERENCE_ONLY","NO_EFFECT","NO","","e32589f37eee638fd72f0c8ca9efd214bbf06f364643667a79c9dbe411bc5685","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","2511 indexed records; not normative."
"DACR-0009","governance/implementation/code-guides/source-freeze/WAVE_1_SOURCE_EXCLUSION_REGISTER.csv","CGP-005 source exclusions","Code Guide Program","ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26","HISTORICAL_REFERENCE","HISTORICAL_ONLY","Reference-only exclusions preserve non-selected rows and must not be promoted silently.","WAVE_1_SOURCE_FREEZE_SUMMARY.md; CGP_006_INPUT_REGISTER.md","NON_CONTROLLING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","0.5.0","","","governance/implementation/code-guides/source-freeze/WAVE_1_SOURCE_EXCLUSION_REGISTER.csv","governance/implementation/code-guides/source-freeze/WAVE_1_SOURCE_EXCLUSION_REGISTER.csv","YES","NOT_SELECTED","Exclusion evidence","REFERENCE_ONLY","NO_EFFECT","NO","","e32589f37eee638fd72f0c8ca9efd214bbf06f364643667a79c9dbe411bc5685","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","8714 reference-only rows."
"DACR-0010","governance/implementation/code-guides/initiation/CGP-006/CGP_006_FOUNDER_DECISION_REGISTER.md","CGP-006 Founder decision register","Code Guide Program","ES-CGP-006-CONTROLLED-INITIATION-2026-07-26","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Records Founder-approved sequencing, source-treatment, and mandatory classification-gate decisions for Wave 1 candidate drafting.","CGP006-D-0001 through CGP006-D-0006 FOUNDER_APPROVED","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","0.6.0","","","governance/implementation/code-guides/initiation/CGP-006/CGP_006_FOUNDER_DECISION_REGISTER.md","governance/implementation/code-guides/initiation/CGP-006/CGP_006_FOUNDER_DECISION_REGISTER.md","NO","GOVERNING_CONSTRAINT","CGP-006 gate","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","CGP_006_INPUT_REFRESH_REQUIRED","YES","","ae7a1c72c92d4f8ed7cfacf5802ec24cce560adc49195345308928fcbb227ac2","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Authorizes bounded candidate drafting only after document-classification gate passes."
