issue_id,issue,classification,blocking,owner,due_date,closure_criteria,next_action
T1R2-EXT-F-01,External review finding F-01,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-02,External review finding F-02,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-03,External review finding F-03,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-04,External review finding F-04,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-05,External review finding F-05,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-06,External review finding F-06,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-07,External review finding F-07,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-08,External review finding F-08,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-09,External review finding F-09,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-10,External review finding F-10,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-11,External review finding F-11,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-12,External review finding F-12,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
