finding_id,severity,external_review_finding,round_2_disposition,authority_effect,merge_effect,founder_review_needed,evidence_path
F-01,S1,"Traceability register rows were source-text candidates, not verified requirements.",REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-02,S1,Closing review templates were structurally identical and terminology overexposed.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-03,S1,Two validator checks could not fail.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-04,S1,Nine invalid-state rules were not enforced while prose asserted enforcement.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-05,S1,Manifest and checksum files were not separately bound.,REMEDIATED_WITH_MANIFEST_OF_MANIFESTS_LIMITATION,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-06,S1,Recorded validation evidence was stale relative to the reviewed bytes.,REMEDIATED_WITH_REGENERATED_REPORTS_AND_LIMITATION_DISCLOSURE,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-07,S2,Founder decision dispositions were off-enum and self-contradictory.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-08,S2,Decision packet pre-stated recommendations.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-09,S2,Decision register and packet question text drifted.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-10,S2,Source duplicate-cluster foreign key was blank.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
