"label_1","label_2","review_cycle","lane_id","thread_id","source_thread_id","runtime_provenance","started_utc","generated_utc","redline_id","finding_ids","target","classification","severity","proposed_redline_or_action","independent_support","evidence_links","founder_or_owner_action_required","approval_status","fresh_review_required","dissent_ids","limitations","self_audit","completion_attestation","output_hash_reference"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-001","CMT08-P0-001","WORKFLOW_REGISTER.csv;GOLDEN_PATHS.md;IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md","CONTROL_WEAKENING","P0","Replace optional or ordinarily-separate minor-account language with: Every minor retains a separate canonical identity account credentials attribution and age/jurisdiction-aware capability state distinct from each guardian. Any non-minor protected-participant exception requires separately approved scope.","CMT02-PC-001;CMT05-F-003;CMT04-CD-004;CMT-08 frozen-clause check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:5;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/WORKFLOW_REGISTER.csv:5;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md:5","Founder exact-text ratification after Protected Participant/Safeguarding owner concurrence","PROPOSED_NOT_APPROVED","YES","","No jurisdiction-specific exception is created by CMT-08.","PASS: independently supported; no frozen file changed.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-002","CMT08-P0-002","IDENTITY_AUTHORIZATION_CONTRACT.md invariant 3;RecoveryCase control set","CONTROL_WEAKENING","P0","Replace invariant 3 with: Recovery restores bounded account access only. A recovered session cannot authorize a high-risk action until fresh step-up required risk checks or controlled manual review is complete under approved versioned policy; recovery never creates authority or restores revoked relationships or grants. Add the matching RecoveryCase actors states evidence segregation and post-recovery envelope.","CMT02-PC-002;CMT05-F-002;CMT07-P1-004;CMT-08 frozen-clause check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:7;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_AUTHORIZATION_CONTRACT.md:27;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/STATE_TRANSITION_MATRIX.csv:1-30","Founder exact-text ratification and Authorization owner concurrence","PROPOSED_NOT_APPROVED","YES","","No recovery implementation or reviewer role is selected.","PASS: independently supported; no frozen file changed.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-003","CMT08-P1-005","ADR-IDENTITY-006_FORMAL.md or a separately reviewed invitation ADR;FORMAL_ADR_REGISTER.csv","MISSING_TRACEABILITY","P1","Map IDENTITY-FD-005 to an owning ADR and add: Invitations are single-use revocable purpose-bound recipient-bound where feasible and short-lived under approved policy; privileged invitations require stricter assurance and duration. Update the formal register to the actual clause.","CMT02-PC-003;ES-REV-2026-002-F-0401;CMT04-CD-013;CMT06-COV-019;CMT-08 frozen-register check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:6;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FORMAL_ADR_REGISTER.csv:2-8","Founder exact-text ratification","PROPOSED_NOT_APPROVED","YES","","Placement in ADR-006 versus a separate ADR remains an owner choice.","PASS: approved FD text used without expansion.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-004","CMT08-P1-005","FORMAL_ADR_REGISTER.csv;ADR-IDENTITY-001,004,005,006,007","MISSING_TRACEABILITY","P1","Rebuild mappings from actual normative clauses: add verified-email and TOTP ownership accurately; remove metadata-only mappings unless their approved semantics are added; carry complete minor support closure merge-reversal downstream-effects and onboarding-completion terms in the owning ADRs.","CMT02-PC-004;ES-REV-2026-002-F-0401;CMT04 independent matrix;CMT-08 frozen-register check","lane_outputs/CMT-02/IDENTITY_TRACEABILITY.csv;lane_outputs/CMT-04/FOURTEEN_ADR_INDEPENDENT_MATRIX.csv:2-8;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FORMAL_ADR_REGISTER.csv:2-8","Founder exact-text ratification","PROPOSED_NOT_APPROVED","YES","","Do not add policy beyond the approved Founder directions without a separate decision.","PASS: mapping and semantic text both required.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-005","CMT08-P1-006","ADR-IDENTITY-002_FORMAL.md through ADR-IDENTITY-005_FORMAL.md","MATERIAL_ADDITION_REQUIRING_FOUNDER_DECISION","P1","For the single RP-domain and attestation defaults ES-AAL taxonomy numeric TOTP/step-up values opaque-session/native-token architecture and exact recovery hierarchy/code count: supply immutable approved recommendation provenance and submit exact text for Founder decision or move each choice to explicitly non-normative open implementation parameters.","CMT02-PC-005..CMT02-PC-008;ES-REV-2026-002-F-0401;CMT-08 frozen-ADR check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-002_FORMAL.md:15-17;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-003_FORMAL.md:15-17;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-004_FORMAL.md:15-17;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-005_FORMAL.md:15-17","Explicit Founder decision required for any retained normative material","PROPOSED_NOT_APPROVED","YES","","CMT-08 does not choose between adoption and parameterization.","PASS: material-decision boundary explicit.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-006","CMT08-P1-007","ADR-IDENTITY-006_FORMAL.md line 17","CROSS_DOMAIN_CONFLICT","P1","Replace the Identity-owned topology default with: Multi-location organization and tenancy topology is determined by approved Business Facility Relationships Authorization Privacy contractual financial and operational rules; Identity does not decide it.","CMT02-PC-009;CMT04-CD-011;CMT-08 frozen-clause check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-006_FORMAL.md:17,27-34","Owning-domain concurrence and Founder exact-text ratification","PROPOSED_NOT_APPROVED","YES","","No out-of-scope Facility or Business design is added.","PASS: domain boundary narrowed rather than redesigned.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-007","CMT08-P1-008","ADR-IDENTITY-007_FORMAL.md Open Implementation Parameters","AMBIGUOUS_REQUIRES_REMEDIATION","P1","Replace Maximum paused-case duration with Review escalation and service-level targets; elapsed time alone never completes a paused exception narrows a protective hold or expands authority.","CMT02-PC-010;CMT07-P1-004;CMT-08 frozen-clause check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:11;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-007_FORMAL.md:45-50","Founder exact-text ratification and Protected Participant/Safeguarding owner concurrence","PROPOSED_NOT_APPROVED","YES","","No service-level duration is selected.","PASS: clarification preserves approved hold semantics.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-008","CMT08-P1-009","STATE_TRANSITION_MATRIX.csv;PIA event catalog","MISSING_TRACEABILITY","P1","Add governed transitions and attributable events for RecoveryCase SupportAccessSession OrganizationEnrollmentCase ProtectedAccountTransitionCase identity-merge correction/reversal credential/assurance lifecycle and invitation accepted/consumed terminal behavior with version and evidence requirements.","CMT02-PC-014;CMT05-F-002;CMT07-P1-004;CMT-08 matrix check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/STATE_TRANSITION_MATRIX.csv:1-30;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/PIA_IDENTITY_ACCOUNT_ACTOR_ENROLLMENT_ONBOARDING_V1_1_0.md:438-452","Identity domain owner and Founder exact-text ratification","PROPOSED_NOT_APPROVED","YES","","Exact state names and authorities require controlled domain design review.","PASS: proposal limited to missing denominator categories.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-009","CMT08-P1-009","PERMISSION_MATRIX.csv PERM-001 and PERM-003","AMBIGUOUS_REQUIRES_REMEDIATION","P1","Set Audit Required to Yes for self-registration-case creation and invitation acceptance or define an equivalent mandatory attributable event obligation consistently with REQ-044 while prohibiting secret logging.","CMT02-PC-015;CMT04-CD-012;CMT-08 matrix check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/PERMISSION_MATRIX.csv:2,4;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/REQUIREMENT_REGISTER.csv:45","Identity and Audit/Evidence owner concurrence","PROPOSED_NOT_APPROVED","YES","","Equivalent attributable-event wording is allowed if independently reviewed.","PASS: audit contradiction directly addressed.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-PR-010","CMT08-P1-010","IDENTITY_AUTHORIZATION_CONTRACT.md","CONTROL_WEAKENING","P1","Require denial when required identity session relationship policy or authority facts are stale missing disputed or version-incompatible. Require decision evidence to preserve authenticated acting represented approving and executing principals as applicable plus tenant session fact policy authority outcome reason and correlation versions.","CMT02-PC-016;CMT04-CD-006;CMT04-CD-012;CMT-08 contract check","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_AUTHORIZATION_CONTRACT.md:15-30;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:10","Authorization and Audit/Evidence owner concurrence plus Founder exact-text ratification","PROPOSED_NOT_APPROVED","YES","","Authorization PIA remains outside this lane.","PASS: no final authorization policy invented.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
