artifact_id,artifact_name,artifact_class,primary_portfolio_position,dependent_positions,component,lifecycle_status,founder_approval_status,implementation_authority,supersedes,superseded_by,path
ES-PIA-MASTER-STANDARD-V1.1,EquineSync Product Implementation Atlas Master Standard V1.1,CONTROLLING_PIA_STANDARD,NONE,01;03,STANDARD,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/controlling/EquineSync_Product_Implementation_Atlas_Master_Standard_V1_1.pdf
ES-PIA-MASTER-STANDARD-V1.1-ADOPTION,Founder Adoption and Approval Record - PIA Master Standard V1.1,CONTROLLING_PIA_STANDARD,NONE,01;03,STANDARD,EFFECTIVE_2026_07_19,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/adoption/Founder_Adoption_and_Approval_Record_ES_PIA_Master_Standard_V1_1.pdf
ES-PIA-FRAMEWORK-SUPPLEMENTARY-ADOPTION,Founder Adoption Record - PIA Framework Supplementary,CONTROLLING_PIA_STANDARD,NONE,01;03,STANDARD,SUPPLEMENTARY_AUTHORITY,FOUNDER_ADOPTED_SUPPLEMENTARY_AUTHORITY,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/adoption/Founder_Adoption_Record_PIA_Framework_Supplementary.pdf
ES-PIA-MASTER-STANDARD-V1.0,Product Implementation Atlas Master Standard V1.0,HISTORICAL_SUPERSEDED,NONE,01;03,STANDARD,SUPERSEDED,NOT_CONTROLLING,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/historical/EquineSync_Product_Implementation_Atlas_Master_Standard_V1_0_SUPERSEDED.pdf
ES-IDENTITY-RELATIONSHIPS-CONTROLLED-MULTI-THREAD-REVIEW-HANDOFF-V1.0.0,Identity and Relationships Controlled Multi-Thread Review Handoff,PIA_HANDOFF_PACKAGE,01,03,CROSS_PIA_HANDOFF,FROZEN_REVIEW_INPUT,NO_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip
ES-PIA-PORTFOLIO-FACILITY-HANDOFF-V1.0.0,PIA Portfolio Realignment and Facility PIA Handoff,PIA_HANDOFF_PACKAGE,02,01;03;04;05;06;07;08;09;10,PORTFOLIO_AND_FACILITY_HANDOFF,FOUNDER_DIRECTED_HANDOFF,FOUNDER_DIRECTED_NO_IMPLEMENTATION_AUTHORITY,FALSE,NONE,NONE,external-handoff://EquineSync_PIA_Portfolio_Realignment_and_Facility_PIA_Handoff_V1_0_0.zip
ES-FACILITY-PIA-AUTONOMOUS-DRAFT-REVIEW-HANDOFF-V1.0.0,Facility PIA Autonomous Drafting and Review Handoff,PIA_HANDOFF_PACKAGE,02,01;03;04;05;06;07;08;09;10,FACILITY_DRAFT_REVIEW_HANDOFF,READY_FOR_CODEX_CONTINUATION,NO_INDEPENDENT_APPROVAL_OR_IMPLEMENTATION_EFFECT,FALSE,NONE,NONE,external-handoff://EquineSync_Facility_PIA_Autonomous_Drafting_Review_Handoff_V1_0_0.zip
ES-PIA-IDENTITY-ONBOARDING-V1.1.0,"Identity, Account, Actor, Enrollment, and Onboarding PIA Controlled Revision",PRIMARY_PIA_PACKAGE,01,NONE,PRIMARY,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,UNDERLYING_DESIGN_APPROVED_CURRENT_SUCCESSOR_TEXT_NOT_FOUNDER_APPROVED_PENDING_FRESH_SEGREGATED_REVIEW,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip!EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/identity/EquineSync_Identity_PIA_V1_1_0_Controlled_Revision.zip
ES-ADR-REL-RECOMMENDATIONS-V1.0.0,Relationships ADR Recommendations,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,RECOMMENDATIONS_COMPLETE_PENDING_FOUNDER_APPROVAL,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip!EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/relationships/EquineSync_Relationships_ADR_Recommendations_V1_0_0.zip
ES-REL-CONTROLLED-SEQUENCE-V1.0.0,Relationships Controlled Sequence,PIA_COMPONENT_PACKAGE,03,01,A,FORMAL_ADRS_DRAFTED_SOURCE_RECONCILIATION_PARTIAL_FREEZE_BLOCKED,UNDERLYING_PIA_DESIGN_APPROVED_FORMAL_ADRS_NOT_RATIFIED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip!EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/relationships/EquineSync_Relationships_Controlled_Sequence_V1_0_0.zip
