transition_id,entity,from_state,to_state,trigger,authorized_actor,guards,evidence,prohibited_automatic_behavior,requirement_ids
RAP-STM-001,RelationshipClaim,NONE,ASSERTED,"Attributable claim submitted","Accountable actor","Canonical parties; type; source; scope","Claim; actor; time; source","Automatic activation","RAP-REQ-002;RAP-REQ-003"
RAP-STM-002,RelationshipClaim,ASSERTED,PROVISIONAL,"Minimum source checks pass","Authorized verifier","Purpose-scoped verification; no conflict","Assessment; versions; reasons","Universal trust inference","RAP-REQ-002"
RAP-STM-003,RelationshipClaim,PROVISIONAL,ACTIVE,"All required evidence and acceptance pass","Authorized source owner","Current sources; restrictions; effective time","Decision; actors; versions","Activation from role payment context or portal","RAP-REQ-002;RAP-REQ-010"
RAP-STM-004,RelationshipClaim,ACTIVE,DISPUTED,"Attributable dispute accepted","Authorized claims actor","Claim reference; protective policy","Dispute; restrictions; notices","Automatic dispute resolution","RAP-REQ-011;RAP-REQ-016"
RAP-STM-005,RelationshipClaim,ACTIVE,SUSPENDED,"Protective or source hold applied","Authorized source/protective actor","Current hold basis","Restriction; actor; watermark","Silent reactivation","RAP-REQ-011;RAP-REQ-013"
RAP-STM-006,RelationshipClaim,"ACTIVE;DISPUTED;SUSPENDED",ENDED,"Source authority ends","Authorized source owner","End basis; affected grants","End event; affected refs; watermark","Destructive deletion","RAP-REQ-013;RAP-REQ-014"
RAP-STM-007,RelationshipClaim,ANY_NONTERMINAL,SUPERSEDED,"Attributable correction creates successor","Authorized source owner","Correction basis; successor exists","Original/successor; reason; digests","History rewrite","RAP-REQ-014"
RAP-STM-008,RepresentationBasis,NONE,PROPOSED,"Representation proposed","Accountable actor","Principal; actor; source; scope; purpose","Proposal; versions; time","Self-activation","RAP-REQ-004"
RAP-STM-009,RepresentationBasis,PROPOSED,PENDING_ACCEPTANCE,"Acceptance required","System under explicit rule","Eligible parties; current proposal","Notice; delivery; status","Acceptance inferred from delivery","RAP-REQ-004"
RAP-STM-010,RepresentationBasis,"PROPOSED;PENDING_ACCEPTANCE",ACTIVE,"Required acceptance and verification complete","Authorized principal/source owner","Current basis; restrictions; expiry","Acceptance; verifier; versions","Activation from login payment or portal","RAP-REQ-004;RAP-REQ-010"
RAP-STM-011,RepresentationBasis,ACTIVE,REVOKED,"Authorized revocation","Authorized principal/source owner","Current basis; revoker authority","Revocation; reason; watermark","Cached continuation","RAP-REQ-013"
RAP-STM-012,DelegationGrant,NONE,PROPOSED,"Bounded grant proposed","Current source-authority holder","Grant does not exceed source","Proposal; source version; scope","Source-free delegation","RAP-REQ-006;RAP-REQ-007"
RAP-STM-013,DelegationGrant,PROPOSED,PENDING_ACCEPTANCE,"Acceptance required","System under explicit rule","Eligible delegate; current source","Notice; proposal version","Acceptance inferred from action","RAP-REQ-006"
RAP-STM-014,DelegationGrant,"PROPOSED;PENDING_ACCEPTANCE",ACTIVE,"Acceptance and guards pass","Eligible delegate/source holder","Current source; scope; restrictions; expiry","Activation evidence; versions","Automatic renewal or expansion","RAP-REQ-006;RAP-REQ-007"
RAP-STM-015,DelegationGrant,ACTIVE,EXPIRED,"Trusted expiry reached","Named system actor under explicit rule","Trusted time; grant version","Expiry event; watermark","Grace authority beyond expiry","RAP-REQ-006;RAP-REQ-013"
RAP-STM-016,DelegationGrant,ACTIVE,REVOKED,"Authorized revocation","Authorized revoker","Revoker basis; affected scope","Revocation; reason; watermark","Silent cached allow","RAP-REQ-006;RAP-REQ-013"
RAP-STM-017,DelegationGrant,ACTIVE,INELIGIBLE,"Source authority lost","Named system actor under explicit rule","Source invalidation verified","Source event; grant list; watermark","Grant surviving source loss","RAP-REQ-007;RAP-REQ-013"
RAP-STM-018,DelegationGrant,"PROPOSED;PENDING_ACCEPTANCE;ACTIVE",DISPUTED,"Attributable dispute accepted","Authorized claims actor","Claim and protective policy","Dispute; restriction; notices","Automatic resolution or expansion","RAP-REQ-011;RAP-REQ-016"
RAP-STM-019,DelegationGrant,ANY_NONTERMINAL,SUPERSEDED,"Correction or narrowing creates successor","Authorized source owner","Successor within source authority","Original/successor; reason; digests","Destructive rewrite","RAP-REQ-014"
RAP-STM-020,AuthorizationDecision,NONE,FINAL,"Current evaluation completes","Trusted evaluation boundary","All required inputs; policy; evidence available","Request; inputs; result; reasons; versions","Mutation or reuse after material change","RAP-REQ-008;RAP-REQ-009;RAP-REQ-027"
