relationship_type_id,name,canonical_source,allowed_parties,authority_effect,required_evidence,states,restriction_notes,requirement_ids,status
RAP-REL-001,PERSON_SELF,Item 01,"person; actor","Identifies self-capacity only; final permission still evaluated","Canonical identity and assurance","ACTIVE;SUSPENDED;ENDED","Cannot confer organization or provider authority","RAP-REQ-001;RAP-REQ-002",DOCUMENTED
RAP-REL-002,GUARDIAN_PROTECTED_PARTICIPANT,Item 03 with Agreement and Safeguarding sources,"guardian; protected participant","Supplies a purpose-scoped representation candidate","Current legal/approved basis; agreement; safeguarding restrictions","ASSERTED;PROVISIONAL;ACTIVE;DISPUTED;ENDED;SUPERSEDED","Shared address or payment is insufficient","RAP-REQ-004;RAP-REQ-005",PREDECESSOR_QUALIFIED
RAP-REL-003,OWNER_HORSE,Item 04 with Item 03 authority,"person/organization; horse","Supplies ownership/custody authority input only","Current horse record; source authority; dispute state","ASSERTED;PROVISIONAL;ACTIVE;DISPUTED;ENDED;SUPERSEDED","Possession or payment alone is insufficient","RAP-REQ-002;RAP-REQ-021",PREDECESSOR_QUALIFIED
RAP-REL-004,LESSEE_HORSE,Item 04 with Agreement and Item 03,"lessee; horse","Supplies bounded agreement-derived input","Current agreement; horse; parties; scope; dates; restrictions","PROPOSED;ACTIVE;EXPIRED;REVOKED;DISPUTED;SUPERSEDED","Never implies ownership or unrestricted transfer","RAP-REQ-002;RAP-REQ-021",PREDECESSOR_QUALIFIED
RAP-REL-005,FACILITY_MEMBER,Item 02 with Item 03,"person; facility/tenant","Supplies context and candidate capacity only","Current identity; facility/tenant context; accepted relationship","PROPOSED;ACTIVE;SUSPENDED;ENDED;SUPERSEDED","Facility association and role do not grant permission","RAP-REQ-020",DOCUMENTED
RAP-REL-006,ORGANIZATION_REPRESENTATIVE,Item 03 with Item 02,"person; organization","Supplies a bounded representation basis","Organization source authority; acceptance; scope; accountable actor","PROPOSED;PENDING_ACCEPTANCE;ACTIVE;SUSPENDED;REVOKED;ENDED","Organization association or email domain is insufficient","RAP-REQ-004;RAP-REQ-020",PREDECESSOR_QUALIFIED
RAP-REL-007,STAFF_ENGAGEMENT,Owning domain and Item 03,"person; facility/organization","Supplies descriptive relationship and possible authority input","Agreement/engagement source; capacity; dates; restrictions","PROPOSED;ACTIVE;SUSPENDED;ENDED;SUPERSEDED","Job title or schedule assignment is insufficient","RAP-REQ-001;RAP-REQ-022",DOCUMENTED
RAP-REL-008,PROVIDER_CLIENT,Item 03,"provider principal; client principal","Supplies provider relationship input under GFD-003","Canonical parties; accountable humans; source basis; purpose; scope; dates","ASSERTED;PROVISIONAL;ACTIVE;DISPUTED;SUSPENDED;ENDED;SUPERSEDED","Profile API appointment payment and portal status are insufficient","RAP-REQ-017;RAP-REQ-018",DOCUMENTED_GFD_003
RAP-REL-009,PROVIDER_ORGANIZATION_ACTOR,Item 03,"provider organization; accountable human","Supplies representation candidate for provider action","Canonical organization; actor; representation source; acceptance; scope","PROPOSED;PENDING_ACCEPTANCE;ACTIVE;REVOKED;ENDED","Provider credential or organization login is insufficient","RAP-REQ-003;RAP-REQ-017",DOCUMENTED_GFD_003
RAP-REL-010,DELEGATOR_DELEGATE,Item 03,"authorized principal/actor; delegate","Carries only an accepted bounded delegation","Current source authority; grant; acceptance; scope; expiry; restrictions","PROPOSED;PENDING_ACCEPTANCE;ACTIVE;EXPIRED;REVOKED;INELIGIBLE;DISPUTED;SUPERSEDED","Cannot exceed or survive source authority","RAP-REQ-006;RAP-REQ-007",DOCUMENTED
RAP-REL-011,SUPPORT_CASE_ACCESS,Item 03 with support governance,"support principal/actor; tenant subject","Supplies a ticketed time-bound support basis","Approved ticket; purpose; scope; approver; start/expiry; notice rule","PROPOSED;ACTIVE;EXPIRED;REVOKED;SUPERSEDED","No invisible impersonation or global support authority","RAP-REQ-003;RAP-REQ-012",PREDECESSOR_QUALIFIED
RAP-REL-012,SYSTEM_ACTOR_DELEGATION,Item 03 with automation governance,"named system actor; accountable owner","Supplies only an explicitly governed automated action basis","Named actor; owner; policy; action; purpose; tenant; expiry; watermark","PROPOSED;ACTIVE;SUSPENDED;REVOKED;EXPIRED","No AI-inferred or universal authority","RAP-REQ-003;RAP-REQ-030",PREDECESSOR_QUALIFIED
