rule_id,subject,trigger,required_inputs,allowed_transition,prohibited_behavior,evidence,requirement_ids,status
RAP-REP-001,Representation creation,"Actor proposes to act for principal","Canonical parties; source basis; capacity; scope; purpose; time; accountable actor","NONE to PROPOSED","Self-assertion becoming active authority","Proposal; source reference; actor; time","RAP-REQ-003;RAP-REQ-004",DOCUMENTED
RAP-REP-002,Representation acceptance,"Acceptance is required by source rule","Current proposal; accepting principal/actor; assurance; restrictions","PROPOSED to ACTIVE","Acceptance inferred from silence login payment or portal use","Acceptance event; versions; restrictions","RAP-REQ-004",DOCUMENTED
RAP-REP-003,Guardian representation,"Guardian requests action for protected participant","Current representation basis; agreement/consent; safeguarding restrictions; purpose","PROVISIONAL to ACTIVE when all sources permit","Shared address family label or payer status creating authority","Basis; participant; guardian; restriction; review","RAP-REQ-005",PREDECESSOR_QUALIFIED
RAP-REP-004,Organization representation,"Actor acts for organization","Organization authority source; accountable human; scope; acceptance","PROPOSED/PENDING_ACCEPTANCE to ACTIVE","Email domain or organization membership creating authority","Source chain; acceptance; scope; expiry","RAP-REQ-004;RAP-REQ-020",PREDECESSOR_QUALIFIED
RAP-REP-005,Provider representation,"Actor acts for provider principal","Provider relationship; organization/human identity; representation basis; purpose","PROPOSED/PENDING_ACCEPTANCE to ACTIVE","Profile API key appointment payment or portal status creating authority","Provider principal chain; GFD-003 scope; versions","RAP-REQ-017;RAP-REQ-018",DOCUMENTED_GFD_003
RAP-DEL-001,Delegation proposal,"Authorized source holder proposes delegation","Current source authority; delegate; action/resource/field/purpose/time scope; restrictions","NONE to PROPOSED","Delegation exceeding source authority","Proposal; source version; scope; actor","RAP-REQ-006;RAP-REQ-007",DOCUMENTED
RAP-DEL-002,Delegation acceptance,"Acceptance required","Current proposal; eligible delegate; assurance; restrictions","PROPOSED to PENDING_ACCEPTANCE to ACTIVE","Acceptance inferred from use schedule payment or portal","Acceptance; actor; time; versions","RAP-REQ-006",DOCUMENTED
RAP-DEL-003,Delegation narrowing,"Delegator or controlling restriction narrows scope","Current grant; current source; narrower scope; reason","ACTIVE to ACTIVE successor","Silent expansion or destructive overwrite","Prior/successor grant; reason; watermark","RAP-REQ-006;RAP-REQ-014",DOCUMENTED
RAP-DEL-004,Delegation expiry,"Explicit expiry reached","Grant expiry; trusted time; current watermark","ACTIVE to EXPIRED","Silent renewal or grace-based authority","Expiry event; time; affected projections","RAP-REQ-006;RAP-REQ-013",DOCUMENTED
RAP-DEL-005,Delegation revocation,"Authorized revoker or source invalidation","Current grant; revoker basis; reason; affected scope","ACTIVE to REVOKED","Access continuing on cached allow","Revocation; actor; watermark; invalidations","RAP-REQ-006;RAP-REQ-013",DOCUMENTED
RAP-DEL-006,Delegation dispute,"Attributable dispute accepted for assessment","Grant; claimant; claim/evidence refs; protective rule","ACTIVE/PROPOSED to DISPUTED or SUSPENDED","Automatic dispute resolution or privilege expansion","Dispute; restriction; notices; decision lineage","RAP-REQ-006;RAP-REQ-011",PREDECESSOR_QUALIFIED
RAP-DEL-007,Source authority loss,"Relationship representation agreement or principal authority ends","Source invalidation; affected grants; watermark","ACTIVE to INELIGIBLE/REVOKED","Grant surviving source loss","Source event; affected grant list; watermark","RAP-REQ-007;RAP-REQ-013",DOCUMENTED
RAP-DEL-008,Delegation correction,"Material source or record error is corrected","Original grant; correction basis; accountable actor","Any non-terminal state to SUPERSEDED plus successor","Deleting original grant or rewriting evidence","Original/successor IDs; reason; digests","RAP-REQ-014",DOCUMENTED
