section,canonical_heading,source_ids,requirement_ids,acceptance_ids,test_ids,decision_ids,unresolved_ids,status
1,Document Control and Status,"RAP-SRC-001;RAP-SRC-008;RAP-SRC-010","RAP-REQ-032;RAP-REQ-033;RAP-REQ-035",RAP-AC-030,RAP-TST-036,ES-PIA-GFD-007,RAP-UNR-002,DOCUMENTED
2,Executive Summary,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-008","RAP-REQ-001;RAP-REQ-008;RAP-REQ-017;RAP-REQ-018","RAP-AC-003;RAP-AC-008;RAP-AC-015",RAP-TST-017,ES-PIA-GFD-003,NONE,DOCUMENTED
3,"Purpose, Outcomes, and Success Measures","RAP-SRC-001;RAP-SRC-003","RAP-REQ-010;RAP-REQ-012;RAP-REQ-027;RAP-REQ-036",RAP-AC-030,RAP-TST-034,NONE,RAP-UNR-002,DOCUMENTED
4,Authoritative Sources and Inheritance,"RAP-SRC-001;RAP-SRC-002;RAP-SRC-003;RAP-SRC-004;RAP-SRC-005;RAP-SRC-006;RAP-SRC-007;RAP-SRC-008;RAP-SRC-009;RAP-SRC-010;RAP-SRC-011;RAP-SRC-012","RAP-REQ-033;RAP-REQ-034",RAP-AC-029,RAP-TST-033,NONE,RAP-UNR-001,PREDECESSOR_QUALIFIED
5,"Scope, Boundaries, and Ownership","RAP-SRC-008;RAP-SRC-009;RAP-SRC-012","RAP-REQ-017;RAP-REQ-019;RAP-REQ-032",RAP-AC-020,RAP-TST-022,ES-PIA-GFD-003,RAP-UNR-003,DOCUMENTED
6,Definitions and Controlled Vocabulary,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-004",RAP-REQ-001,"RAP-AC-001;RAP-AC-002;RAP-AC-003",RAP-TST-001,NONE,NONE,DOCUMENTED
7,"Actors, Roles, Relationships, and Authorities","RAP-SRC-002;RAP-SRC-003;RAP-SRC-011","RAP-REQ-003;RAP-REQ-004;RAP-REQ-005","RAP-AC-002;RAP-AC-004;RAP-AC-005","RAP-TST-003;RAP-TST-004",NONE,RAP-UNR-006,PREDECESSOR_QUALIFIED
8,Capability Map and Release Classification,"RAP-SRC-001;RAP-SRC-003","RAP-REQ-032;RAP-REQ-035",RAP-AC-028,RAP-TST-032,ES-PIA-GFD-007,RAP-UNR-007,DOCUMENTED
9,User and Operational Workflows,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-008","RAP-REQ-006;RAP-REQ-014;RAP-REQ-017;RAP-REQ-018","RAP-AC-006;RAP-AC-012;RAP-AC-015",RAP-TST-017,ES-PIA-GFD-003,RAP-UNR-003,DOCUMENTED
10,Business Rules and Decision Logic,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-008","RAP-REQ-007;RAP-REQ-009;RAP-REQ-010;RAP-REQ-011;RAP-REQ-012;RAP-REQ-018","RAP-AC-006;RAP-AC-009;RAP-AC-015","RAP-TST-005;RAP-TST-009;RAP-TST-017",ES-PIA-GFD-003,NONE,DOCUMENTED
11,"Data Entities, Relationships, and Provenance","RAP-SRC-002;RAP-SRC-003;RAP-SRC-011","RAP-REQ-002;RAP-REQ-009;RAP-REQ-014;RAP-REQ-027","RAP-AC-012;RAP-AC-024","RAP-TST-013;RAP-TST-026",NONE,RAP-UNR-001,PREDECESSOR_QUALIFIED
