input_id,input_name,canonical_owner,required_when,freshness_rule,missing_or_invalid_result,authority_effect,requirement_ids
RAP-AIN-001,Authenticated actor,Item 01,ALL,"Current session assurance","DENY","Identity input only","RAP-REQ-001;RAP-REQ-003"
RAP-AIN-002,Acting actor and accountable human,Item 03,ALL,"Current and attributable","DENY","Actor chain input only","RAP-REQ-003"
RAP-AIN-003,Represented principal,Item 03,"Actor differs from principal","Current representation version","DENY","Principal target input only","RAP-REQ-004"
RAP-AIN-004,Tenant and facility context,Item 02,"Tenant-scoped action","Current context version","DENY","Constrains evaluation; never grants authority","RAP-REQ-020"
RAP-AIN-005,Action resource and fields,Owning domain,ALL,"Exact request version","DENY","Defines requested projection","RAP-REQ-012"
RAP-AIN-006,Purpose,Owning domain,ALL,"Current request purpose","DENY","Constrains evaluation; no independent authority","RAP-REQ-012;RAP-REQ-028"
RAP-AIN-007,Relationship claim and type,Item 03,"Relationship-dependent action","Current non-disputed source version","DENY","Source fact; not final permission","RAP-REQ-002"
RAP-AIN-008,Representation basis,Item 03,"Acting for another principal","Current accepted basis","DENY","Source authority candidate; not permission","RAP-REQ-004;RAP-REQ-005"
RAP-AIN-009,Delegation grant,Item 03,"Delegated action","Current accepted grant and source","DENY","Bounded authority input; not permission","RAP-REQ-006;RAP-REQ-007"
RAP-AIN-010,Agreement and consent versions,Agreement-owning domain,"Agreement/consent required","Current effective versions","DENY","Condition input; not permission","RAP-REQ-005;RAP-REQ-028"
RAP-AIN-011,Restriction and revocation state,Item 03,ALL,"Current watermark and records","DENY","Precedence input that may only narrow","RAP-REQ-011;RAP-REQ-013"
RAP-AIN-012,Dispute and claims state,Claims and Item 03,"Affected source is disputed","Current claim/restriction state","DENY_OR_STEP_UP","May hold or narrow; never creates allow","RAP-REQ-011;RAP-REQ-016"
RAP-AIN-013,Safeguarding state,Safeguarding and owning domain,"Protected participant or safety-sensitive action","Current protective state","DENY_OR_STEP_UP","Protective narrowing input","RAP-REQ-005;RAP-REQ-028"
RAP-AIN-014,Source and policy version set,All source owners,ALL,"Exact supported versions","DENY","Determinism and reconstruction input","RAP-REQ-009;RAP-REQ-027"
RAP-AIN-015,Time expiry and clock confidence,Trusted time source,ALL,"Current trusted time; bounded uncertainty","DENY_OR_STEP_UP","Temporal constraint only","RAP-REQ-009;RAP-REQ-015"
RAP-AIN-016,Device and synchronization state,Offline/device domain,"Offline or cached request","Current device assurance and proposal envelope","DENY_OR_QUEUE_PROPOSAL","Never grants local authority","RAP-REQ-015;RAP-REQ-031"
RAP-AIN-017,Provider context,Items 01/03/07/09/10,"Provider-related action","Current canonical versions from each owner","DENY","Connection profile API appointment payment and portal state remain non-authoritative","RAP-REQ-017;RAP-REQ-018;RAP-REQ-019"
RAP-AIN-018,Schedule and assignment state,Item 06,"Scheduled or assigned workflow","Current workflow version","DENY_IF_REQUIRED","Context only; never authority","RAP-REQ-022"
