verification_id,guide_id,target_type,target_id,verification_type,current_verification_status,evidence_grade,current_evidence,required_future_implementation_evidence,required_future_runtime_evidence,validator_or_review,limitations
W1-V11-VER-ES-CG-00-CTRL-0001,ES-CG-00,CONTROL,ES-CG-00-CTRL-0001,document review;register validation;reference validation;negative-fixture validation;assurance review,VERIFIABLE_NOW_DOCUMENTARY,E3 REPEATABLE,"Package-local validator plus source, control, and traceability registers.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,"No implementation, deployment, pilot, production, or runtime observation occurred."
W1-V11-VER-ES-CG-00-INV-0001,ES-CG-00,INVARIANT,ES-CG-00-INV-0001,document review;register validation;cross-guide review;adversarial review,VERIFIABLE_NOW_DOCUMENTARY,E2 DOCUMENTED,"Outcome and invariant register, cross-guide reconciliation, and adversarial review.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,Invariant is documentary and cannot prove implementation conformance.
W1-V11-VER-ES-CG-00-CTRL-0002,ES-CG-00,CONTROL,ES-CG-00-CTRL-0002,document review;register validation;reference validation;negative-fixture validation;assurance review,VERIFIABLE_NOW_DOCUMENTARY,E3 REPEATABLE,"Package-local validator plus source, control, and traceability registers.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,"No implementation, deployment, pilot, production, or runtime observation occurred."
W1-V11-VER-ES-CG-00-INV-0002,ES-CG-00,INVARIANT,ES-CG-00-INV-0002,document review;register validation;cross-guide review;adversarial review,VERIFIABLE_NOW_DOCUMENTARY,E2 DOCUMENTED,"Outcome and invariant register, cross-guide reconciliation, and adversarial review.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,Invariant is documentary and cannot prove implementation conformance.
W1-V11-VER-ES-CG-00-CTRL-0003,ES-CG-00,CONTROL,ES-CG-00-CTRL-0003,document review;register validation;reference validation;negative-fixture validation;assurance review,VERIFIABLE_NOW_DOCUMENTARY,E3 REPEATABLE,"Package-local validator plus source, control, and traceability registers.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,"No implementation, deployment, pilot, production, or runtime observation occurred."
W1-V11-VER-ES-CG-00-INV-0003,ES-CG-00,INVARIANT,ES-CG-00-INV-0003,document review;register validation;cross-guide review;adversarial review,VERIFIABLE_NOW_DOCUMENTARY,E2 DOCUMENTED,"Outcome and invariant register, cross-guide reconciliation, and adversarial review.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,Invariant is documentary and cannot prove implementation conformance.
W1-V11-VER-ES-CG-00-CTRL-0004,ES-CG-00,CONTROL,ES-CG-00-CTRL-0004,document review;register validation;reference validation;negative-fixture validation;assurance review,VERIFIABLE_NOW_DOCUMENTARY,E3 REPEATABLE,"Package-local validator plus source, control, and traceability registers.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,"No implementation, deployment, pilot, production, or runtime observation occurred."
W1-V11-VER-ES-CG-00-INV-0004,ES-CG-00,INVARIANT,ES-CG-00-INV-0004,document review;register validation;cross-guide review;adversarial review,VERIFIABLE_NOW_DOCUMENTARY,E2 DOCUMENTED,"Outcome and invariant register, cross-guide reconciliation, and adversarial review.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,Invariant is documentary and cannot prove implementation conformance.
W1-V11-VER-ES-CG-00-CTRL-0005,ES-CG-00,CONTROL,ES-CG-00-CTRL-0005,document review;register validation;reference validation;negative-fixture validation;assurance review,VERIFIABLE_NOW_DOCUMENTARY,E3 REPEATABLE,"Package-local validator plus source, control, and traceability registers.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,"No implementation, deployment, pilot, production, or runtime observation occurred."
W1-V11-VER-ES-CG-00-INV-0005,ES-CG-00,INVARIANT,ES-CG-00-INV-0005,document review;register validation;cross-guide review;adversarial review,VERIFIABLE_NOW_DOCUMENTARY,E2 DOCUMENTED,"Outcome and invariant register, cross-guide reconciliation, and adversarial review.",Required only after separate implementation-mapping and implementation authority.,Required only after separate activation or runtime-evidence authority.,validators/validate_guide_completion_adoption_candidate.py,Invariant is documentary and cannot prove implementation conformance.
