guide_id,stage,lifecycle_activity,authorized_range,stage_result,evidence,adoption_state,activation_state,required_future_authority,stage_22_disposition_reference
ES-CG-00,3,Current-state assessment,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Current and historical materials assessed with status labels; desired state and actual repository state distinguished.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,4,Mandatory-question matrix,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_RETAINED_CONDITIONS,All 32 prior questions reassessed; no question omitted; all answers limited to documentary evidence.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,5,Product outcomes and invariants,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Outcomes and invariants mapped to controls with evidence expectations.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,6,"Risk, misuse, abuse, and failure analysis",V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Risk rows cover authority misuse, validation failure, evidence overclaim, and domain-risk categories.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,7,Draft controls and patterns,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls written as documentary requirements with prohibited behaviors and exception limits.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,8,Quality and usability requirements,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Quality, usability, accessibility, and machine-readability requirements recorded.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,9,Verification design,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls and invariants mapped to objective documentary validation and future evidence boundaries.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,10,Atlas and documentary traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Frozen source, PIA, atlas, architecture, and custody traceability recorded as documentary overlay.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,11,Repository responsibility traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_LIMITED,"Only broad domains, generic profiles, and future obligations identified; no specific implementation mapping.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,12,Machine validation,V1_1_STAGES_3_THROUGH_21,PASS,Package-local validator and tests created; final execution recorded in validation report.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,13,Author self-review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Author self-review completed and findings retained.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,14,Technical peer review,V1_1_STAGES_3_THROUGH_21,CONDITIONED_INDEPENDENT_TECHNICAL_REVIEW_NOT_AVAILABLE,Technical review recorded without false claim of independent reviewer.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,15,Domain and user-workflow review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_NO_HUMAN_DOMAIN_EXPERT_APPROVAL_CLAIMED,"Document-based domain review completed against PIAs, atlases, and workflows.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,16,Cross-guide reconciliation,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Cross-guide definitions, authority, evidence, and activation boundaries reconciled.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,17,Adversarial and red-team review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_NO_P0_P1_FINDING,Adversarial attempts recorded; no open P0/P1 package blocker identified.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
