control_id,guide_id,title,normative_statement,rationale,applicability,required_evidence,prohibited_behavior,related_invariant,related_risk,verification_method,exception_eligibility,failure_treatment,dependency,assurance_relevance,source_rows,source_ids,evidence_grade,current_status,implementation_authority
ES-CG-00-CTRL-0001,ES-CG-00,Candidate Charter Authority Boundary,"For the V1.1 draft adoption-candidate ES-CG-00 text, charter authority boundary must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 29 frozen normative rows for ES-CG-00; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Code Guide Charter,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0001,W1-V11-RISK-ES_CG_00-0001,W1-V11-VER-ES-CG-00-CTRL-0001,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",NONE,A3 HIGH,CGP006-NR-0001;CGP006-NR-0002;CGP006-NR-0003;CGP006-NR-0004;CGP006-NR-0005;CGP006-NR-0006;CGP006-NR-0007;CGP006-NR-0008;CGP006-NR-0009;CGP006-NR-0010;CGP006-NR-0011;CGP006-NR-0012;CGP006-NR-0013;CGP006-NR-0014;CGP006-NR-0015;CGP006-NR-0016;CGP006-NR-0017;CGP006-NR-0018;CGP006-NR-0019;CGP006-NR-0020;CGP006-NR-0021;CGP006-NR-0022;CGP006-NR-0023;CGP006-NR-0024;CGP006-NR-0025;CGP006-NR-0026;CGP006-NR-0027;CGP006-NR-0028;CGP006-NR-0029,CGSRC-ATLAS-0006;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0001;CGSRC-CGP005-0002;CGSRC-CGP005-0003;CGSRC-CGP005-0004;CGSRC-CGP005-0201;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0014;CGSRC-GOV-0084;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0152;CGSRC-GOV-0153;CGSRC-REPO-0001;CGSRC-REPO-0002;CGSRC-REPO-0008;CGSRC-REPO-0009,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-00-CTRL-0002,ES-CG-00,Candidate Program Scope Boundary,"For the V1.1 draft adoption-candidate ES-CG-00 text, program scope boundary must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 29 frozen normative rows for ES-CG-00; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Code Guide Charter,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0002,W1-V11-RISK-ES_CG_00-0002,W1-V11-VER-ES-CG-00-CTRL-0002,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",NONE,A3 HIGH,CGP006-NR-0001;CGP006-NR-0002;CGP006-NR-0003;CGP006-NR-0004;CGP006-NR-0005;CGP006-NR-0006;CGP006-NR-0007;CGP006-NR-0008;CGP006-NR-0009;CGP006-NR-0010;CGP006-NR-0011;CGP006-NR-0012;CGP006-NR-0013;CGP006-NR-0014;CGP006-NR-0015;CGP006-NR-0016;CGP006-NR-0017;CGP006-NR-0018;CGP006-NR-0019;CGP006-NR-0020;CGP006-NR-0021;CGP006-NR-0022;CGP006-NR-0023;CGP006-NR-0024;CGP006-NR-0025;CGP006-NR-0026;CGP006-NR-0027;CGP006-NR-0028;CGP006-NR-0029,CGSRC-ATLAS-0006;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0001;CGSRC-CGP005-0002;CGSRC-CGP005-0003;CGSRC-CGP005-0004;CGSRC-CGP005-0201;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0014;CGSRC-GOV-0084;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0152;CGSRC-GOV-0153;CGSRC-REPO-0001;CGSRC-REPO-0002;CGSRC-REPO-0008;CGSRC-REPO-0009,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-00-CTRL-0003,ES-CG-00,Candidate Lifecycle Separation,"For the V1.1 draft adoption-candidate ES-CG-00 text, lifecycle separation must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 29 frozen normative rows for ES-CG-00; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Code Guide Charter,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0003,W1-V11-RISK-ES_CG_00-0003,W1-V11-VER-ES-CG-00-CTRL-0003,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",NONE,A3 HIGH,CGP006-NR-0001;CGP006-NR-0002;CGP006-NR-0003;CGP006-NR-0004;CGP006-NR-0005;CGP006-NR-0006;CGP006-NR-0007;CGP006-NR-0008;CGP006-NR-0009;CGP006-NR-0010;CGP006-NR-0011;CGP006-NR-0012;CGP006-NR-0013;CGP006-NR-0014;CGP006-NR-0015;CGP006-NR-0016;CGP006-NR-0017;CGP006-NR-0018;CGP006-NR-0019;CGP006-NR-0020;CGP006-NR-0021;CGP006-NR-0022;CGP006-NR-0023;CGP006-NR-0024;CGP006-NR-0025;CGP006-NR-0026;CGP006-NR-0027;CGP006-NR-0028;CGP006-NR-0029,CGSRC-ATLAS-0006;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0001;CGSRC-CGP005-0002;CGSRC-CGP005-0003;CGSRC-CGP005-0004;CGSRC-CGP005-0201;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0014;CGSRC-GOV-0084;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0152;CGSRC-GOV-0153;CGSRC-REPO-0001;CGSRC-REPO-0002;CGSRC-REPO-0008;CGSRC-REPO-0009,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-00-CTRL-0004,ES-CG-00,Candidate Ownership And Custody,"For the V1.1 draft adoption-candidate ES-CG-00 text, ownership and custody must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 29 frozen normative rows for ES-CG-00; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Code Guide Charter,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0004,W1-V11-RISK-ES_CG_00-0004,W1-V11-VER-ES-CG-00-CTRL-0004,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",NONE,A3 HIGH,CGP006-NR-0001;CGP006-NR-0002;CGP006-NR-0003;CGP006-NR-0004;CGP006-NR-0005;CGP006-NR-0006;CGP006-NR-0007;CGP006-NR-0008;CGP006-NR-0009;CGP006-NR-0010;CGP006-NR-0011;CGP006-NR-0012;CGP006-NR-0013;CGP006-NR-0014;CGP006-NR-0015;CGP006-NR-0016;CGP006-NR-0017;CGP006-NR-0018;CGP006-NR-0019;CGP006-NR-0020;CGP006-NR-0021;CGP006-NR-0022;CGP006-NR-0023;CGP006-NR-0024;CGP006-NR-0025;CGP006-NR-0026;CGP006-NR-0027;CGP006-NR-0028;CGP006-NR-0029,CGSRC-ATLAS-0006;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0001;CGSRC-CGP005-0002;CGSRC-CGP005-0003;CGSRC-CGP005-0004;CGSRC-CGP005-0201;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0014;CGSRC-GOV-0084;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0152;CGSRC-GOV-0153;CGSRC-REPO-0001;CGSRC-REPO-0002;CGSRC-REPO-0008;CGSRC-REPO-0009,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-00-CTRL-0005,ES-CG-00,Candidate Non-Authorization Boundary,"For the V1.1 draft adoption-candidate ES-CG-00 text, non-authorization boundary must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 29 frozen normative rows for ES-CG-00; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Code Guide Charter,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0005,W1-V11-RISK-ES_CG_00-0005,W1-V11-VER-ES-CG-00-CTRL-0005,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",NONE,A3 HIGH,CGP006-NR-0001;CGP006-NR-0002;CGP006-NR-0003;CGP006-NR-0004;CGP006-NR-0005;CGP006-NR-0006;CGP006-NR-0007;CGP006-NR-0008;CGP006-NR-0009;CGP006-NR-0010;CGP006-NR-0011;CGP006-NR-0012;CGP006-NR-0013;CGP006-NR-0014;CGP006-NR-0015;CGP006-NR-0016;CGP006-NR-0017;CGP006-NR-0018;CGP006-NR-0019;CGP006-NR-0020;CGP006-NR-0021;CGP006-NR-0022;CGP006-NR-0023;CGP006-NR-0024;CGP006-NR-0025;CGP006-NR-0026;CGP006-NR-0027;CGP006-NR-0028;CGP006-NR-0029,CGSRC-ATLAS-0006;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0001;CGSRC-CGP005-0002;CGSRC-CGP005-0003;CGSRC-CGP005-0004;CGSRC-CGP005-0201;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0014;CGSRC-GOV-0084;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0152;CGSRC-GOV-0153;CGSRC-REPO-0001;CGSRC-REPO-0002;CGSRC-REPO-0008;CGSRC-REPO-0009,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-01-CTRL-0001,ES-CG-01,Candidate Authority Precedence,"For the V1.1 draft adoption-candidate ES-CG-01 text, authority precedence must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 34 frozen normative rows for ES-CG-01; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Engineering Authority and Precedence,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0001,W1-V11-RISK-ES_CG_01-0001,W1-V11-VER-ES-CG-01-CTRL-0001,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",ES-CG-00,A3 HIGH,CGP006-NR-0030;CGP006-NR-0031;CGP006-NR-0032;CGP006-NR-0033;CGP006-NR-0034;CGP006-NR-0035;CGP006-NR-0036;CGP006-NR-0037;CGP006-NR-0038;CGP006-NR-0039;CGP006-NR-0040;CGP006-NR-0041;CGP006-NR-0042;CGP006-NR-0043;CGP006-NR-0044;CGP006-NR-0045;CGP006-NR-0046;CGP006-NR-0047;CGP006-NR-0048;CGP006-NR-0049;CGP006-NR-0050;CGP006-NR-0051;CGP006-NR-0052;CGP006-NR-0053;CGP006-NR-0054;CGP006-NR-0055;CGP006-NR-0056;CGP006-NR-0057;CGP006-NR-0058;CGP006-NR-0059;CGP006-NR-0060;CGP006-NR-0061;CGP006-NR-0062;CGP006-NR-0063,CGSRC-ARCH-0021;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0005;CGSRC-CGP005-0006;CGSRC-CGP005-0010;CGSRC-CGP005-0011;CGSRC-CGP005-0202;CGSRC-CGP005-0203;CGSRC-CGP005-0204;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0004;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0007;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0010;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0013;CGSRC-GOV-0014;CGSRC-GOV-0018;CGSRC-GOV-0134;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0140;CGSRC-GOV-0141;CGSRC-GOV-0152;CGSRC-GOV-0153,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-01-CTRL-0002,ES-CG-01,Candidate Founder Disposition,"For the V1.1 draft adoption-candidate ES-CG-01 text, founder disposition must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 34 frozen normative rows for ES-CG-01; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Engineering Authority and Precedence,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0002,W1-V11-RISK-ES_CG_01-0002,W1-V11-VER-ES-CG-01-CTRL-0002,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",ES-CG-00,A3 HIGH,CGP006-NR-0030;CGP006-NR-0031;CGP006-NR-0032;CGP006-NR-0033;CGP006-NR-0034;CGP006-NR-0035;CGP006-NR-0036;CGP006-NR-0037;CGP006-NR-0038;CGP006-NR-0039;CGP006-NR-0040;CGP006-NR-0041;CGP006-NR-0042;CGP006-NR-0043;CGP006-NR-0044;CGP006-NR-0045;CGP006-NR-0046;CGP006-NR-0047;CGP006-NR-0048;CGP006-NR-0049;CGP006-NR-0050;CGP006-NR-0051;CGP006-NR-0052;CGP006-NR-0053;CGP006-NR-0054;CGP006-NR-0055;CGP006-NR-0056;CGP006-NR-0057;CGP006-NR-0058;CGP006-NR-0059;CGP006-NR-0060;CGP006-NR-0061;CGP006-NR-0062;CGP006-NR-0063,CGSRC-ARCH-0021;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0005;CGSRC-CGP005-0006;CGSRC-CGP005-0010;CGSRC-CGP005-0011;CGSRC-CGP005-0202;CGSRC-CGP005-0203;CGSRC-CGP005-0204;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0004;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0007;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0010;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0013;CGSRC-GOV-0014;CGSRC-GOV-0018;CGSRC-GOV-0134;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0140;CGSRC-GOV-0141;CGSRC-GOV-0152;CGSRC-GOV-0153,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-01-CTRL-0003,ES-CG-01,Candidate Conflict Treatment,"For the V1.1 draft adoption-candidate ES-CG-01 text, conflict treatment must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 34 frozen normative rows for ES-CG-01; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Engineering Authority and Precedence,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0003,W1-V11-RISK-ES_CG_01-0003,W1-V11-VER-ES-CG-01-CTRL-0003,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",ES-CG-00,A3 HIGH,CGP006-NR-0030;CGP006-NR-0031;CGP006-NR-0032;CGP006-NR-0033;CGP006-NR-0034;CGP006-NR-0035;CGP006-NR-0036;CGP006-NR-0037;CGP006-NR-0038;CGP006-NR-0039;CGP006-NR-0040;CGP006-NR-0041;CGP006-NR-0042;CGP006-NR-0043;CGP006-NR-0044;CGP006-NR-0045;CGP006-NR-0046;CGP006-NR-0047;CGP006-NR-0048;CGP006-NR-0049;CGP006-NR-0050;CGP006-NR-0051;CGP006-NR-0052;CGP006-NR-0053;CGP006-NR-0054;CGP006-NR-0055;CGP006-NR-0056;CGP006-NR-0057;CGP006-NR-0058;CGP006-NR-0059;CGP006-NR-0060;CGP006-NR-0061;CGP006-NR-0062;CGP006-NR-0063,CGSRC-ARCH-0021;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0005;CGSRC-CGP005-0006;CGSRC-CGP005-0010;CGSRC-CGP005-0011;CGSRC-CGP005-0202;CGSRC-CGP005-0203;CGSRC-CGP005-0204;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0004;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0007;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0010;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0013;CGSRC-GOV-0014;CGSRC-GOV-0018;CGSRC-GOV-0134;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0140;CGSRC-GOV-0141;CGSRC-GOV-0152;CGSRC-GOV-0153,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-01-CTRL-0004,ES-CG-01,Candidate Supersession Treatment,"For the V1.1 draft adoption-candidate ES-CG-01 text, supersession treatment must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 34 frozen normative rows for ES-CG-01; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Engineering Authority and Precedence,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0004,W1-V11-RISK-ES_CG_01-0004,W1-V11-VER-ES-CG-01-CTRL-0004,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",ES-CG-00,A3 HIGH,CGP006-NR-0030;CGP006-NR-0031;CGP006-NR-0032;CGP006-NR-0033;CGP006-NR-0034;CGP006-NR-0035;CGP006-NR-0036;CGP006-NR-0037;CGP006-NR-0038;CGP006-NR-0039;CGP006-NR-0040;CGP006-NR-0041;CGP006-NR-0042;CGP006-NR-0043;CGP006-NR-0044;CGP006-NR-0045;CGP006-NR-0046;CGP006-NR-0047;CGP006-NR-0048;CGP006-NR-0049;CGP006-NR-0050;CGP006-NR-0051;CGP006-NR-0052;CGP006-NR-0053;CGP006-NR-0054;CGP006-NR-0055;CGP006-NR-0056;CGP006-NR-0057;CGP006-NR-0058;CGP006-NR-0059;CGP006-NR-0060;CGP006-NR-0061;CGP006-NR-0062;CGP006-NR-0063,CGSRC-ARCH-0021;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0005;CGSRC-CGP005-0006;CGSRC-CGP005-0010;CGSRC-CGP005-0011;CGSRC-CGP005-0202;CGSRC-CGP005-0203;CGSRC-CGP005-0204;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0004;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0007;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0010;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0013;CGSRC-GOV-0014;CGSRC-GOV-0018;CGSRC-GOV-0134;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0140;CGSRC-GOV-0141;CGSRC-GOV-0152;CGSRC-GOV-0153,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
ES-CG-01-CTRL-0005,ES-CG-01,Candidate Exception Boundary,"For the V1.1 draft adoption-candidate ES-CG-01 text, exception boundary must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",CGP-006 classifies 34 frozen normative rows for ES-CG-01; the control uses those rows to preserve source authority while keeping implementation authority closed.,Documentary V1.1 adoption-candidate review for Engineering Authority and Precedence,FROZEN_NORMATIVE_SOURCE_TRACEABILITY;DOCUMENTARY_REVIEW_EVIDENCE;PACKAGE_VALIDATION_EVIDENCE,"Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0005,W1-V11-RISK-ES_CG_01-0005,W1-V11-VER-ES-CG-01-CTRL-0005,NO_ACTIVE_EXCEPTION; FUTURE_EXCEPTION_REQUIRES_EXPRESS_FOUNDER_OR_DELEGATED_AUTHORITY,"If ambiguity or missing source support is found, retain an open finding and do not advance to Stage 22 without Founder disposition.",ES-CG-00,A3 HIGH,CGP006-NR-0030;CGP006-NR-0031;CGP006-NR-0032;CGP006-NR-0033;CGP006-NR-0034;CGP006-NR-0035;CGP006-NR-0036;CGP006-NR-0037;CGP006-NR-0038;CGP006-NR-0039;CGP006-NR-0040;CGP006-NR-0041;CGP006-NR-0042;CGP006-NR-0043;CGP006-NR-0044;CGP006-NR-0045;CGP006-NR-0046;CGP006-NR-0047;CGP006-NR-0048;CGP006-NR-0049;CGP006-NR-0050;CGP006-NR-0051;CGP006-NR-0052;CGP006-NR-0053;CGP006-NR-0054;CGP006-NR-0055;CGP006-NR-0056;CGP006-NR-0057;CGP006-NR-0058;CGP006-NR-0059;CGP006-NR-0060;CGP006-NR-0061;CGP006-NR-0062;CGP006-NR-0063,CGSRC-ARCH-0021;CGSRC-ATLAS-0017;CGSRC-ATLAS-0018;CGSRC-ATLAS-0019;CGSRC-ATLAS-0020;CGSRC-ATLAS-0021;CGSRC-CGP005-0005;CGSRC-CGP005-0006;CGSRC-CGP005-0010;CGSRC-CGP005-0011;CGSRC-CGP005-0202;CGSRC-CGP005-0203;CGSRC-CGP005-0204;CGSRC-GOV-0002;CGSRC-GOV-0003;CGSRC-GOV-0004;CGSRC-GOV-0005;CGSRC-GOV-0006;CGSRC-GOV-0007;CGSRC-GOV-0008;CGSRC-GOV-0009;CGSRC-GOV-0010;CGSRC-GOV-0011;CGSRC-GOV-0012;CGSRC-GOV-0013;CGSRC-GOV-0014;CGSRC-GOV-0018;CGSRC-GOV-0134;CGSRC-GOV-0138;CGSRC-GOV-0139;CGSRC-GOV-0140;CGSRC-GOV-0141;CGSRC-GOV-0152;CGSRC-GOV-0153,E2 DOCUMENTED,DRAFT_ADOPTION_CANDIDATE_CONTROL,IMPLEMENTATION_NOT_AUTHORIZED
