requirement_id,template_name,required_evidence
T1R2-REVIEW-REQ-01,INTERNAL_DOCUMENTARY_REVIEW_PLAN,"Evidence specific to INTERNAL_DOCUMENTARY_REVIEW_PLAN: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,"Evidence specific to SCOPE_AND_EXCLUSIONS_SCHEDULE: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-03,SOURCE_MANIFEST,"Evidence specific to SOURCE_MANIFEST: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-04,EVIDENCE_INDEX,"Evidence specific to EVIDENCE_INDEX: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-05,SAMPLING_RECORD,"Evidence specific to SAMPLING_RECORD: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-06,REVIEWER_INDEPENDENCE_DISCLOSURE,"Evidence specific to REVIEWER_INDEPENDENCE_DISCLOSURE: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-07,CONFLICT_DISCLOSURE,"Evidence specific to CONFLICT_DISCLOSURE: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-08,FINDING_SCHEDULE,"Evidence specific to FINDING_SCHEDULE: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-09,RESIDUAL_RISK_SCHEDULE,"Evidence specific to RESIDUAL_RISK_SCHEDULE: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-10,FOUNDER_ATTESTATION_SCHEDULE,"Evidence specific to FOUNDER_ATTESTATION_SCHEDULE: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-11,CLOSING_EXHIBITS_INDEX,"Evidence specific to CLOSING_EXHIBITS_INDEX: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-12,FOUNDER_DOCUMENTARY_ACKNOWLEDGEMENT,"Evidence specific to FOUNDER_DOCUMENTARY_ACKNOWLEDGEMENT: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-13,ADOPTION_RECORD,"Evidence specific to ADOPTION_RECORD: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-14,ACCESSION_RECEIPT,"Evidence specific to ACCESSION_RECEIPT: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-15,POST_MERGE_CUSTODY_RECEIPT,"Evidence specific to POST_MERGE_CUSTODY_RECEIPT: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-16,FINAL_SELF_DECLARATION_RECORD,"Evidence specific to FINAL_SELF_DECLARATION_RECORD: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-17,BOUNDED_SCOPE_SELF_DECLARATION_RECORD,"Evidence specific to BOUNDED_SCOPE_SELF_DECLARATION_RECORD: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-18,REOPENING_NOTICE,"Evidence specific to REOPENING_NOTICE: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
T1R2-REVIEW-REQ-19,PERIODIC_SELF_DECLARATION_REFRESH_RECORD,"Evidence specific to PERIODIC_SELF_DECLARATION_REFRESH_RECORD: source rows, evidence rows, sampled records, unresolved findings, exclusions, authority boundary, preparer, reviewer, and first-party self-declaration limits."
