package,source_artifact,source_sha256,source_bytes,repository_path,repository_sha256,treatment
Stage0 V1.2,03_MEDIA_FILES_DIGITAL_ASSET_GOVERNANCE_GAP_MATRIX_V1_1.md,a4388f3df3b803ff1f9c30f6570cfaed6743248a5a092c5e4f892167e4e5b314,61098,docs/canon/reviews/stage0_companion_reconciliation_v1_2/03_MEDIA_FILES_DIGITAL_ASSET_GOVERNANCE_GAP_MATRIX_V1_1.md,a4388f3df3b803ff1f9c30f6570cfaed6743248a5a092c5e4f892167e4e5b314,COPIED_BYTE_IDENTICAL
Stage0 V1.2,04_MEDIA_FILES_DIGITAL_ASSET_CLASSIFICATION_AND_HANDLING_MATRIX_V1_1.md,f688ebdd0d1f6649792840e6cb6ee0a45de49c2899bd2d0b135a76dd0c73258e,87677,docs/canon/reviews/stage0_companion_reconciliation_v1_2/04_MEDIA_FILES_DIGITAL_ASSET_CLASSIFICATION_AND_HANDLING_MATRIX_V1_1.md,f688ebdd0d1f6649792840e6cb6ee0a45de49c2899bd2d0b135a76dd0c73258e,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1.docx,58fa9b3b18d05a1f467c15de234cf18a9bc6a014394db6375fabd2ac8b928d6f,511115,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1.docx,58fa9b3b18d05a1f467c15de234cf18a9bc6a014394db6375fabd2ac8b928d6f,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1.md,516856c982af8d882ec6f94933b5a01ea6558ca63d47c9a6237ee76fe0f12a44,48610,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1.md,516856c982af8d882ec6f94933b5a01ea6558ca63d47c9a6237ee76fe0f12a44,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1.docx,c370c94e8adc9c4b93e2f2fc4e4e72878c57cdc8e829571517302737ec2d3dac,71077,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1.docx,c370c94e8adc9c4b93e2f2fc4e4e72878c57cdc8e829571517302737ec2d3dac,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1.md,1b614fafa17f5841363646e72191883db2bc2b8c5a54a959a6a0bf0f77c018fa,114254,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1.md,1b614fafa17f5841363646e72191883db2bc2b8c5a54a959a6a0bf0f77c018fa,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1.docx,df855e2e6169bdc25b0a9eb91931689c414ed1aa01dd22e3bec05bdddf7e5ac0,63685,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1.docx,df855e2e6169bdc25b0a9eb91931689c414ed1aa01dd22e3bec05bdddf7e5ac0,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1.md,94badc3b6eeae1dd1d96d8c577a187bbdfe696df4db35e573629581a7856904e,114020,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1.md,94badc3b6eeae1dd1d96d8c577a187bbdfe696df4db35e573629581a7856904e,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_1.md,ee88f5e8ba3602ffecd3f15f5acc2d8881e58809645dac6d7038c3b1a4d0d0d0,64520,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_1.md,ee88f5e8ba3602ffecd3f15f5acc2d8881e58809645dac6d7038c3b1a4d0d0d0,COPIED_BYTE_IDENTICAL
Stage0 V1.2,EQUINESYNC_GOVERNANCE_COMPANION_ARTIFACTS_REVIEW_MEMORANDUM_V1_2.docx,9d3a2a8c041ac8daead68ba37302f378f8e08309a584ad409514f9c7b70e06a3,42655,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_GOVERNANCE_COMPANION_ARTIFACTS_REVIEW_MEMORANDUM_V1_2.docx,9d3a2a8c041ac8daead68ba37302f378f8e08309a584ad409514f9c7b70e06a3,COPIED_BYTE_IDENTICAL
