guide_identifier,normative_row_id,source_id,source_or_document_id,repository_path,source_class,authority_status,classification_status,candidate_use,implementation_status
ES-CG-00,CGP006-NR-0001,CGSRC-GOV-0002,CGP005-NF-ES-CG-00-0001,docs/canon/registries/CANON_ARTIFACT_INVENTORY.md,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0002,CGSRC-GOV-0003,CGP005-NF-ES-CG-00-0002,docs/canon/registries/CANON_DEPENDENCY_REGISTRY.md,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0003,CGSRC-GOV-0005,CGP005-NF-ES-CG-00-0003,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0004,CGSRC-GOV-0006,CGP005-NF-ES-CG-00-0004,docs/canon/registries/DOMAIN_OWNER_AND_STEWARD_REGISTRY.md,ADOPTED_GOVERNANCE,SUPPORTING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0005,CGSRC-GOV-0008,CGP005-NF-ES-CG-00-0005,docs/canon/registries/IMPLEMENTATION_AUTHORIZATION_REGISTRY.md,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0006,CGSRC-GOV-0009,CGP005-NF-ES-CG-00-0006,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_BASELINE_MANIFEST.json,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0007,CGSRC-GOV-0011,CGP005-NF-ES-CG-00-0007,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_CERTIFICATE.json,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0008,CGSRC-GOV-0012,CGP005-NF-ES-CG-00-0008,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0009,CGSRC-GOV-0014,CGP005-NF-ES-CG-00-0009,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_SCOPE.md,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
ES-CG-00,CGP006-NR-0010,CGSRC-GOV-0084,CGP005-NF-ES-CG-00-0010,docs/canon/MASTER_ATLAS_GOVERNANCE.md,ADOPTED_GOVERNANCE,CONTROLLING,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,CANDIDATE_REQUIREMENT_CONTROL_INVARIANT_QUESTION_SUPPORT,NOT_AUTHORIZED
