normative_row_id,guide_identifier,source_id,disposition,linked_control_ids,linked_invariant_ids,linked_question_ids,source_class,authority_status,notes
CGP006-NR-0001,ES-CG-00,CGSRC-GOV-0002,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0002,ES-CG-00,CGSRC-GOV-0003,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0003,ES-CG-00,CGSRC-GOV-0005,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0004,ES-CG-00,CGSRC-GOV-0006,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,SUPPORTING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0005,ES-CG-00,CGSRC-GOV-0008,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0006,ES-CG-00,CGSRC-GOV-0009,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0007,ES-CG-00,CGSRC-GOV-0011,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0008,ES-CG-00,CGSRC-GOV-0012,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0009,ES-CG-00,CGSRC-GOV-0014,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
CGP006-NR-0010,ES-CG-00,CGSRC-GOV-0084,USED,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,ADOPTED_GOVERNANCE,CONTROLLING,Used as frozen normative support for candidate-only guide statements; no implementation authority created.
