invariant_identifier,guide_identifier,normative_row_id,source_id,support_type,non_normative_support_only,implementation_status
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0001,CGSRC-GOV-0002,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0002,CGSRC-GOV-0003,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0003,CGSRC-GOV-0005,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0004,CGSRC-GOV-0006,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0005,CGSRC-GOV-0008,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0006,CGSRC-GOV-0009,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0007,CGSRC-GOV-0011,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0008,CGSRC-GOV-0012,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0009,CGSRC-GOV-0014,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0010,CGSRC-GOV-0084,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0011,CGSRC-GOV-0138,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0012,CGSRC-GOV-0139,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0013,CGSRC-GOV-0152,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0014,CGSRC-GOV-0153,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0015,CGSRC-ATLAS-0006,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0016,CGSRC-ATLAS-0017,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0017,CGSRC-ATLAS-0018,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0018,CGSRC-ATLAS-0019,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0019,CGSRC-ATLAS-0020,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0020,CGSRC-ATLAS-0021,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0021,CGSRC-REPO-0001,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0022,CGSRC-REPO-0002,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0023,CGSRC-REPO-0008,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0024,CGSRC-REPO-0009,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0025,CGSRC-CGP005-0001,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0026,CGSRC-CGP005-0002,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0027,CGSRC-CGP005-0003,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0028,CGSRC-CGP005-0004,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0001,ES-CG-00,CGP006-NR-0029,CGSRC-CGP005-0201,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0001,CGSRC-GOV-0002,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0002,CGSRC-GOV-0003,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0003,CGSRC-GOV-0005,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0004,CGSRC-GOV-0006,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0005,CGSRC-GOV-0008,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0006,CGSRC-GOV-0009,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0007,CGSRC-GOV-0011,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0008,CGSRC-GOV-0012,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0009,CGSRC-GOV-0014,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0010,CGSRC-GOV-0084,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
ES-CG-00-INV-0002,ES-CG-00,CGP006-NR-0011,CGSRC-GOV-0138,FROZEN_NORMATIVE_SUPPORT,NO,NOT_AUTHORIZED
