classification_record_id,source_or_document_id,source_id,repository_path,title,primary_guide_family,related_guide_families,source_freeze_status,primary_classification,candidate_use,mandatory_authority,source_promotion_status
CGP006-CL-0001,CGP005-RC-0001,CGSRC-ARCH-0001,docs/API_CONTRACTS.md,API_CONTRACTS.md,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0002,CGP005-RC-0002,CGSRC-ARCH-0002,docs/API_VERSIONING.md,API_VERSIONING.md,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0003,CGP005-RC-0003,CGSRC-ARCH-0003,docs/ARCHITECTURE.md,ARCHITECTURE.md,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0004,CGP005-RC-0004,CGSRC-ARCH-0004,docs/AUDIT_LOGGING.md,Audit Logging (Phase 5),ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0005,CGP005-RC-0005,CGSRC-ARCH-0005,docs/CARE_WORKFLOW_STRENGTHENING.md,Care Workflow Strengthening (Phase 6),ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0006,CGP005-RC-0006,CGSRC-ARCH-0006,docs/DATA_MODEL.md,DATA_MODEL.md,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0007,CGP005-RC-0007,CGSRC-ARCH-0007,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,Field Reliability Offline Matrix,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0008,CGP005-RC-0008,CGSRC-ARCH-0008,docs/INCIDENT_RESPONSE.md,INCIDENT_RESPONSE.md,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0009,CGP005-RC-0009,CGSRC-ARCH-0009,docs/OBSERVABILITY.md,OBSERVABILITY.md,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0010,CGP005-RC-0010,CGSRC-ARCH-0010,docs/OFFLINE_IMPLEMENTATION_PLAN.md,Offline Implementation Plan,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0011,CGP005-RC-0011,CGSRC-ARCH-0011,docs/OFFLINE_SECURITY_MODEL.md,Offline Security Model,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CL-0012,CGP005-RC-0012,CGSRC-ARCH-0012,docs/RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY.md,"RF15 Offline, Lock-Screen, and Field Reliability",ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_ONLY_NON_NORMATIVE,BACKGROUND_NAVIGATION_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
