decision_id,founder_status,design_rule,requirement_ids,acceptance_ids,test_ids,risk_or_control_ids,review_result_ids,implementation_authority
FAC-FD-001,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Use five distinct concepts: Tenant is the application isolation and operating-context boundary; Facility is a durable physical or operational place; Organization is a durable legal, operating, administrative, or service entity; Barn is a facility subtype or an operation at a facility, not a universal synonym; Business is an Organization participating in commercial activity.",FAC-REQ-001;FAC-REQ-002;FAC-REQ-034;FAC-REQ-045,FAC-AC-001;FAC-AC-002;FAC-AC-034;FAC-AC-045,FAC-TEST-001;FAC-TEST-002;FAC-TEST-034;FAC-TEST-045-P;FAC-TEST-045-N;FAC-TEST-045-B,FAC-RISK-002,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-002,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Yes. Every tenant-scoped object, read, write, search projection, cache, export, job, event, and offline bundle must be bound to exactly one active tenant unless a separately governed cross-tenant workflow is explicitly authorized.",FAC-REQ-003;FAC-REQ-013;FAC-REQ-019;FAC-REQ-030;FAC-REQ-032;FAC-REQ-033;FAC-REQ-034;FAC-REQ-042;FAC-REQ-049;FAC-REQ-050;FAC-REQ-052,FAC-AC-003;FAC-AC-013;FAC-AC-019;FAC-AC-030;FAC-AC-032;FAC-AC-033;FAC-AC-034;FAC-AC-042;FAC-AC-049;FAC-AC-050;FAC-AC-052,FAC-TEST-003;FAC-TEST-013;FAC-TEST-019;FAC-TEST-030;FAC-TEST-032;FAC-TEST-033;FAC-TEST-034;FAC-TEST-042-P;FAC-TEST-042-N;FAC-TEST-042-B;FAC-TEST-049-P;FAC-TEST-049-N;FAC-TEST-049-B;FAC-TEST-050-P;FAC-TEST-050-N;FAC-TEST-050-B;FAC-TEST-052-P;FAC-TEST-052-N;FAC-TEST-052-B,FAC-RISK-002;FAC-RISK-003;FAC-RISK-010,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-003,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Yes, through explicit, temporal Organization-Tenant control relationships with verified authority evidence; access remains separately granted per tenant and never inherits from common ownership or email domain.",FAC-REQ-004;FAC-REQ-044;FAC-REQ-050,FAC-AC-004;FAC-AC-044;FAC-AC-050,FAC-TEST-004;FAC-TEST-044-P;FAC-TEST-044-N;FAC-TEST-044-B;FAC-TEST-050-P;FAC-TEST-050-N;FAC-TEST-050-B,PACKAGE_AUTHORITY_BOUNDARY_CONTROL,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-004,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Yes, only through explicit temporal Tenant-Facility association records with purpose, scope, steward, status, and conflict rules; facility identity may be shared while tenant-private projections remain isolated.",FAC-REQ-005;FAC-REQ-043;FAC-REQ-049,FAC-AC-005;FAC-AC-043;FAC-AC-049,FAC-TEST-005;FAC-TEST-043-P;FAC-TEST-043-N;FAC-TEST-043-B;FAC-TEST-049-P;FAC-TEST-049-N;FAC-TEST-049-B,FAC-RISK-007,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-005,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Use stable Facility -> Managed Area/Parcel -> Structure -> Zone/Space -> Subspace/Fixture/Asset containment, with separately modeled adjacency, route, overlap, and shared-resource relationships. Each effective containment version has one parent; history and aliases remain resolvable.",FAC-REQ-006;FAC-REQ-026,FAC-AC-006;FAC-AC-026,FAC-TEST-006;FAC-TEST-026,PACKAGE_AUTHORITY_BOUNDARY_CONTROL,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-006,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Use capability-oriented types: legal_entity, operating_business, service_provider_or_practice, nonprofit_or_association, public_body, and informal_operating_group. Type is multi-valued, jurisdiction-aware, evidenced, and never permission-bearing by itself.",FAC-REQ-008;FAC-REQ-044;FAC-REQ-048;FAC-REQ-051,FAC-AC-008;FAC-AC-044;FAC-AC-048;FAC-AC-051,FAC-TEST-008;FAC-TEST-044-P;FAC-TEST-044-N;FAC-TEST-044-B;FAC-TEST-048-P;FAC-TEST-048-N;FAC-TEST-048-B;FAC-TEST-051-P;FAC-TEST-051-N;FAC-TEST-051-B,FAC-RISK-006,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-007,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,Adopt explicit entity-specific state machines: Tenant DRAFT/PENDING_VERIFICATION/ACTIVE/RESTRICTED/SUSPENDED/WIND_DOWN/CLOSED/ARCHIVED; Facility DRAFT/VERIFIED/ACTIVE/PARTIALLY_RESTRICTED/SUSPENDED/CLOSED/DECOMMISSIONED/ARCHIVED; Organization DRAFT/PENDING_VERIFICATION/ACTIVE/RESTRICTED/SUSPENDED/WIND_DOWN/CLOSED/ARCHIVED.,FAC-REQ-014;FAC-REQ-015;FAC-REQ-027;FAC-REQ-028;FAC-REQ-029;FAC-REQ-032;FAC-REQ-033;FAC-REQ-038;FAC-REQ-055,FAC-AC-014;FAC-AC-015;FAC-AC-027;FAC-AC-028;FAC-AC-029;FAC-AC-032;FAC-AC-033;FAC-AC-038;FAC-AC-055,FAC-TEST-014;FAC-TEST-015;FAC-TEST-027;FAC-TEST-028;FAC-TEST-029;FAC-TEST-032;FAC-TEST-033;FAC-TEST-038;FAC-TEST-055-P;FAC-TEST-055-N;FAC-TEST-055-B,FAC-RISK-003;FAC-RISK-010,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-008,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Use explicit proposed -> reviewed -> approved -> effective -> reconciled events; preserve lineage and prior identifiers; prohibit automatic transfer or merge of people, relationships, horses, invoices, permissions, agreements, or evidence.",FAC-REQ-001;FAC-REQ-007;FAC-REQ-014;FAC-REQ-021;FAC-REQ-022;FAC-REQ-027;FAC-REQ-028;FAC-REQ-029;FAC-REQ-031;FAC-REQ-038;FAC-REQ-046;FAC-REQ-048;FAC-REQ-054;FAC-REQ-055,FAC-AC-001;FAC-AC-007;FAC-AC-014;FAC-AC-021;FAC-AC-022;FAC-AC-027;FAC-AC-028;FAC-AC-029;FAC-AC-031;FAC-AC-038;FAC-AC-046;FAC-AC-048;FAC-AC-054;FAC-AC-055,FAC-TEST-001;FAC-TEST-007;FAC-TEST-014;FAC-TEST-021;FAC-TEST-022;FAC-TEST-027;FAC-TEST-028;FAC-TEST-029;FAC-TEST-031;FAC-TEST-038;FAC-TEST-046-P;FAC-TEST-046-N;FAC-TEST-046-B;FAC-TEST-048-P;FAC-TEST-048-N;FAC-TEST-048-B;FAC-TEST-054-P;FAC-TEST-054-N;FAC-TEST-054-B;FAC-TEST-055-P;FAC-TEST-055-N;FAC-TEST-055-B,FAC-RISK-008,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-009,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Require a visible tenant context and, when relevant, a nested facility context. Bind both identifiers plus context version into server authorization, show them persistently, audit every switch, expire stale context, and require reconfirmation for consequential cross-context actions.",FAC-REQ-011;FAC-REQ-012;FAC-REQ-013;FAC-REQ-015;FAC-REQ-016;FAC-REQ-027;FAC-REQ-029;FAC-REQ-030;FAC-REQ-031;FAC-REQ-043;FAC-REQ-052,FAC-AC-011;FAC-AC-012;FAC-AC-013;FAC-AC-015;FAC-AC-016;FAC-AC-027;FAC-AC-029;FAC-AC-030;FAC-AC-031;FAC-AC-043;FAC-AC-052,FAC-TEST-011;FAC-TEST-012;FAC-TEST-013;FAC-TEST-015;FAC-TEST-016;FAC-TEST-027;FAC-TEST-029;FAC-TEST-030;FAC-TEST-031;FAC-TEST-043-P;FAC-TEST-043-N;FAC-TEST-043-B;FAC-TEST-052-P;FAC-TEST-052-N;FAC-TEST-052-B,FAC-RISK-002;FAC-RISK-003;FAC-RISK-004;FAC-RISK-010,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
FAC-FD-010,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Expose stable IDs, entity type, lifecycle availability, tenant-scoped association, containment path, public/private projection, provenance, effective time, and freshness. Consumers may reference but not rewrite Facility truth.",FAC-REQ-010;FAC-REQ-049,FAC-AC-010;FAC-AC-049,FAC-TEST-010;FAC-TEST-049-P;FAC-TEST-049-N;FAC-TEST-049-B,FAC-RISK-004;FAC-RISK-007,PENDING_FRESH_STRUCTURED_REVIEW,FALSE
