finding_id,severity,status,finding,effect,mitigation,owner,decision_ids
FAC-RISK-001,P1,RESOLVED_BY_FOUNDER_DESIGN_APPROVAL_IMPLEMENTATION_STILL_FALSE,Founder design decisions FAC-FD-001 through FAC-FD-018 were supplied and incorporated; implementation remains unauthorized.,"Removes the open-decision drafting condition only; does not adopt, lock, or authorize implementation.",Preserve decision traceability and complete fresh structured review before Founder adoption review.,Founder,FAC-FD-001..018
FAC-RISK-002,P1,OPEN_AS_BUILT_GAP,"Current code conflates users.barn_id, account_id, barn/facility and tenant context and retains a primary fallback.",Could produce cross-context ambiguity if treated as target architecture.,Treat as compatibility evidence only; require a later separately authorized migration design and access-delta tests.,Future authorized engineering phase,FAC-FD-001;FAC-FD-002;FAC-FD-009
FAC-RISK-003,P1,OPEN_EVIDENCE_GAP,No executed evidence proves offline revocation and suspension enforcement for the candidate model.,Blocks implementation and first-user readiness claims.,Require later authorized offline adversarial and stale-context tests.,Future structured review/engineering,FAC-FD-002;FAC-FD-007;FAC-FD-009
FAC-RISK-004,P2,OPEN_SEGREGATED_DEPENDENCY,The current successor Identity and Relationships text is pending a separate fresh segregated review and is not an approved dependency.,Facility draft must rely on locked canons and cannot represent successor text as approved.,Keep branches and review evidence separate; reconcile only after Founder-ratified status exists.,Founder review,FAC-FD-009;FAC-FD-010;FAC-FD-011
FAC-RISK-005,P2,DESIGN_DIRECTION_RESOLVED_IMPLEMENTATION_NOT_AUTHORIZED,Public facility discoverability and location generalization are not Founder-decided.,"Premature publication could expose private facilities, minors, horses, or security-sensitive details.",Founder-approved design direction incorporated; structured review and later implementation evidence remain required.,Founder,FAC-FD-016
FAC-RISK-006,P2,DESIGN_DIRECTION_RESOLVED_IMPLEMENTATION_NOT_AUTHORIZED,Organization type and international address/jurisdiction taxonomies are not final.,Hard-coded enums could create migration and legal-form ambiguity.,Founder-approved design direction incorporated; structured review and later implementation evidence remain required.,Founder,FAC-FD-006;FAC-FD-014
FAC-RISK-007,P2,OPEN_DESIGN_VALIDATION,Multi-tenant use of one physical facility creates complex shared/private topology projections.,"May leak occupancy, client, horse, route, or operational information.","Explicit associations, tenant-specific projections, field-level controls, and cross-tenant adversarial tests.",Structured review,FAC-FD-004;FAC-FD-010;FAC-FD-016
FAC-RISK-008,P2,OPEN_DESIGN_VALIDATION,Duplicate merge and organization restructuring have broad downstream reconciliation surfaces.,Unsafe cascade could rewrite historical truth or authority.,"No-cascade invariant, lineage, impact register, reversal evidence, and domain-by-domain reconciliation.",Structured review,FAC-FD-008;FAC-FD-015
FAC-RISK-009,P3,OPEN_EDITORIAL,Embedded metadata in several adopted source bodies still says candidate/not adopted.,Readers may misread lifecycle if adoption/lock records are ignored.,Source register records external adoption/lock evidence and prohibits editing sealed source bytes.,Governance documentation,NONE
FAC-RISK-010,P1,OPEN_STRUCTURED_REVIEW_GATE,Inherited open P1 as-built and offline-evidence gaps remain and require severity/gate confirmation under the fresh review.,Blocks a readiness-for-Founder-adoption-review recommendation if the P1 classification remains open without controlling exception.,"Fresh segregated, adversarial, domain, and machine review must confirm disposition without silently downgrading severity.",Structured review / Founder,FAC-FD-002;FAC-FD-007;FAC-FD-009
