template_id,template_name,path,bounded_complete_allowed,source_register_linkage_required,evidence_register_linkage_required,purpose,unique_required_sections
T1FD-AUDIT-TEMPLATE-01,INTERNAL_DOCUMENTARY_REVIEW_PLAN,templates/01_INTERNAL_DOCUMENTARY_REVIEW_PLAN.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Audit or internal documentary review plan,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,templates/02_SCOPE_AND_EXCLUSIONS_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Scope and exclusions schedule,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-03,SOURCE_MANIFEST,templates/03_SOURCE_MANIFEST.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Source manifest,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-04,EVIDENCE_INDEX,templates/04_EVIDENCE_INDEX.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Evidence index,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-05,SAMPLING_RECORD,templates/05_SAMPLING_RECORD.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Sampling record,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-06,REVIEWER_INDEPENDENCE_DISCLOSURE,templates/06_REVIEWER_INDEPENDENCE_DISCLOSURE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Reviewer independence disclosure,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-07,CONFLICT_DISCLOSURE,templates/07_CONFLICT_DISCLOSURE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Conflict disclosure,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-08,FINDING_SCHEDULE,templates/08_FINDING_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Finding schedule,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-09,RESIDUAL_RISK_SCHEDULE,templates/09_RESIDUAL_RISK_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Residual-risk schedule,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-10,FOUNDER_ATTESTATION_SCHEDULE,templates/10_FOUNDER_ATTESTATION_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Founder attestation schedule,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
T1FD-AUDIT-TEMPLATE-11,CLOSING_EXHIBITS_INDEX,templates/11_CLOSING_EXHIBITS_INDEX.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES,Closing exhibits index,purpose; triggering event; required inputs; required evidence; exclusions; preparer; reviewer; acknowledgement; authority effect; prohibited conclusions; completion criteria; reopening effect
