requirement_id,template_name,required_evidence,required_evidence_round_2_shared_text,completion_criterion,prohibited_conclusion
T1FD-AUDIT-REQ-01,INTERNAL_DOCUMENTARY_REVIEW_PLAN,Authenticated package bytes; branch head; reviewer assignment record; procedure list,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Every planned procedure has an evidence locator or a recorded exclusion,"Do not conclude audit certification, independent assurance, compliance, readiness for production, or Founder approval"
T1FD-AUDIT-REQ-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,Document inventory; exclusion rationale; unresolved issue link,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Each exclusion has a basis and residual-risk treatment,Do not imply excluded matters are resolved
T1FD-AUDIT-REQ-03,SOURCE_MANIFEST,Source file bytes; checksum records; repository locator,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,All listed sources have hash and byte length,"Do not imply source approval, adoption, or canonical status"
T1FD-AUDIT-REQ-04,EVIDENCE_INDEX,Referenced records; validation output; review notes,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Every evidence row resolves to a package file or external authenticated input,Do not imply evidence has been accepted by Founder
T1FD-AUDIT-REQ-05,SAMPLING_RECORD,Population register; sampled rows; selection record,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Sample basis is reproducible and limitations are explicit,Do not imply sampled review proves unsampled rows
T1FD-AUDIT-REQ-06,REVIEWER_INDEPENDENCE_DISCLOSURE,Disclosure statement; review assignment; conflict cross-reference,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,All limitations are recorded and unresolved limitations remain open,Do not claim independence when review is Founder-directed or machine-assisted
T1FD-AUDIT-REQ-07,CONFLICT_DISCLOSURE,Conflict source; mitigation evidence; residual risk link,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Each conflict has mitigation or explicit unresolved status,Do not imply acceptance of conflict or risk
T1FD-AUDIT-REQ-08,FINDING_SCHEDULE,Finding register row; source review; validation evidence,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,"Every finding has status, evidence, residual risk, and closure authority","Do not imply Founder acceptance, waiver, or closure authority"
T1FD-AUDIT-REQ-09,RESIDUAL_RISK_SCHEDULE,Risk source; mitigation record; decision dependency,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Each risk has individual treatment and Founder-action flag,Do not imply bulk acceptance or indefinite waiver
T1FD-AUDIT-REQ-10,FOUNDER_ATTESTATION_SCHEDULE,Founder instruction if later supplied; evidence locator,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Every row remains unanswered absent authenticated instruction,"Do not imply decision, appointment, certification, or production approval"
T1FD-AUDIT-REQ-11,CLOSING_EXHIBITS_INDEX,Package manifest; checksums; validation report,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,All exhibits resolve and hash-match,Do not imply closing completeness if unresolved items remain
T1FD-AUDIT-REQ-12,FOUNDER_DOCUMENTARY_ACKNOWLEDGEMENT,Authenticated Founder instruction if supplied later,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,All authority boundaries remain visible,Do not imply ratification or approval from review preparation
T1FD-AUDIT-REQ-13,ADOPTION_RECORD,Authenticated adoption instruction; manifest hash; unresolved risks,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Record remains NOT_ADOPTED unless authenticated evidence exists,Do not imply adoption from draft PR or validation success
T1FD-AUDIT-REQ-14,ACCESSION_OR_REPOSITORY_CUSTODY_RECEIPT,Commit SHA; file list; checksum; PR link,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Receipt identifies exact commit and package bytes,Do not imply protected-branch merge unless merge receipt exists
T1FD-AUDIT-REQ-15,POST_MERGE_CUSTODY_RECEIPT,GitHub merge metadata; branch protection observation,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,All merge parents and protected head reconcile,Do not create a merge record for draft PRs
T1FD-AUDIT-REQ-16,FINAL_DOCUMENTARY_CLOSING_RECORD,Final manifest; validation report; unresolved register,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,All blockers closed or incomplete determination is issued,Do not imply certification complete or unresolved issues closed
T1FD-AUDIT-REQ-17,BOUNDED_SCOPE_SELF_DECLARATION_RECORD,Validation report; negative-control evidence; limitation log,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,All checks identify capability and limitations,Do not imply certification or external accreditation
T1FD-AUDIT-REQ-18,REOPENING_NOTICE,Regression evidence; changed hash; review finding,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Trigger and affected records are specific,Do not imply remediation has occurred
T1FD-AUDIT-REQ-19,PERIODIC_REVIEW_OR_REFRESH_RECORD,Review calendar; role assignment evidence; package hash,SUPERSEDED_BY_FINAL_DRAFT_PURPOSE_SPECIFIC_REQUIREMENT,Next review condition is operable or explicitly blocked,Do not imply active governance unless roles are appointed
