evidence_id,path,sha256,git_blob,authority
S2A-E-0001,backend/.python-version,35cafb8c702c5f217b67df5648dfb141cba38156c135a85cf5026d4d92d6bab3,2d4715b6a211083d26526ff357cd6b9a42fe16f7,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0002,backend/requirements.txt,868ba96cc66725ea3a514bc547acd44846ff90adb00d74e65b3961d88807f430,64670400c38ec94c34aa07948fa6a9c0c2631311,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0003,frontend/package.json,fca09efd733f2da0c4fc97bb5da8688351eb83bd227691703d387e1a0ad897f9,485be46d9b05f83dfff91773b031deb808ab7354,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0004,frontend/package-lock.json,7b5781f7164b0ac9250d670fb5ab27b62570d2fa7d6a22e1cad82deb704602fe,0b34bfbb8546d64b8e87aada767fb665b0e7fe87,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0005,frontend/vercel.json,6e214be324a4798dfde5a006e1e31f97b748f900071dba8df78bcdc6b54302ff,f3fc7e58c463f2d15a8eb359dd54cc5a50fe29a8,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0006,backend/core/config.py,a3981e8c761507e2e533b7ba6676753565c43966e49f54dc21d2d683f6b39d7f,1bdb6aa7e3062d9dd0c8a46b24b97a0542bf9473,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0007,backend/core/db.py,15aee98d96b4e7408e1cf0cf8660ee1541a6307b138161d3575b8c2c40733907,39491e43b8af164c5f873a84cd4d2e753a7ae36d,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0008,backend/core/lifespan.py,385280f093abb0509d00879c0910fd2d4382a31c56b8f07c3df5b9dae0217d80,6c5cac308edbb9984f4d3f38ba2c211c82d4dd12,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0009,backend/core/billing_provisioning.py,6ac5383c2dd73e6f02ac17dea4b647c831b8e3be47565deba7e89510d8046456,818bd8e2b95f7ae451f45d0c9eb889bc6b37d8fb,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0010,backend/server.py,c69acbc963e2a0913e28a31d8fd5a6b6aa9a6bfad9656cd0aa09f024dfeeb241,81e0aa2cd6a8b6effa5759dacef39a1a47a3a448,SEALED_STAGE2_REPOSITORY_EVIDENCE
S2A-E-0011,stage2a/.gitignore,8d8fb917a62faad446219e20b2faf7ae00ff2e92deb20563f65c6daa0ff803e2,65476f071096e166b297daf83530e6a5bbb373fd,AUTHORIZED_STAGE2A_IMPLEMENTATION
S2A-E-0012,stage2a/.node-version,2a42bceee722abfa6c8a7ff6149ada5bca012b841687c62158e5ce60ef528c68,0a492611a09771e4ffc0ddc9460de6392f3dfc02,AUTHORIZED_STAGE2A_IMPLEMENTATION
S2A-E-0013,stage2a/.python-version,35cafb8c702c5f217b67df5648dfb141cba38156c135a85cf5026d4d92d6bab3,2d4715b6a211083d26526ff357cd6b9a42fe16f7,AUTHORIZED_STAGE2A_IMPLEMENTATION
S2A-E-0014,stage2a/bootstrap_backend.py,eaec69b552e4fe6897b50222dee0eb62548280f756fbd1b996fc2cb4ba43c1d3,d704eac2cbfe8848914e268692bbf28d6f43c6bc,AUTHORIZED_STAGE2A_IMPLEMENTATION
S2A-E-0015,stage2a/bootstrap_backend.sh,2935f1b4ee1f2ee44a9cd1801d2d646f9badeed436e7f811e6fa8246b40abc67,59bdb3b9e031d469dae1a969217242abd73bbe66,AUTHORIZED_STAGE2A_IMPLEMENTATION
S2A-E-0016,stage2a/build_successor_package.py,346b8223b802b098474de4e8647a944560d20056e374c443ddbacea8f8ce1af1,65ac64831f428c935c6176516cc3b8d1d09531e0,AUTHORIZED_STAGE2A_IMPLEMENTATION
